Application,Altitude_m,Speed_m_s,Fuel_kg,Payload_kg,Thrust_N
Aerospace,6852.5729,989.3764,65829.6893,46535.8464,120784.7727
Aerospace,7962.9555,238.1636,94751.0508,25052.4137,150527.6508
Aerospace,18627.3744,934.8703,15687.5091,5429.9542,898299.3781
Aerospace,5772.0646,695.5157,67341.5236,13820.4272,437393.6045
Aerospace,17682.4824,886.5708,17079.2095,44541.1801,739499.6216
Aerospace,9848.7485,551.5187,24229.1428,44059.7775,79182.5122
Aerospace,18229.4877,967.5223,66819.7817,45972.1151,660091.9709
Aerospace,14237.1901,884.3869,90743.6578,18303.1703,974812.6655
Aerospace,14446.5785,154.5758,15251.1284,30970.3212,299606.2553
Aerospace,10651.6848,297.5641,96122.1196,14345.6925,550800.006
Aerospace,17146.8287,231.2201,34613.0588,9212.3125,937478.516
Aerospace,4964.7469,552.3784,40643.6058,0.0,756904.369
Aerospace,17755.7989,787.6455,14944.854,11458.4814,84060.3548
Aerospace,12545.0536,764.9517,57851.9528,30317.5758,365816.4829
Aerospace,9144.7195,742.9113,59683.2854,46688.4341,79692.0282
Aerospace,18937.2057,418.3632,44492.6462,6235.531,876817.8783
Aerospace,16440.4419,151.1852,50126.1727,47287.1805,631254.0157
Aerospace,15530.2468,187.0267,59357.3351,18699.6792,972095.2525
Aerospace,5815.7462,766.5105,57362.6262,20668.4185,14975.4743
Aerospace,19866.8103,157.2771,36376.1995,18602.9627,430859.3489
Aerospace,14479.4314,223.5206,88299.681,20218.9503,98258.8797
Aerospace,11632.5209,445.8988,66948.1403,12707.2424,378356.4532
Aerospace,18161.5363,119.4715,21417.4518,35176.4759,131360.9304
Aerospace,3086.5142,208.9122,28200.5808,37119.2224,298329.5366
Aerospace,2646.2007,133.1088,79133.7658,39560.3517,804969.0344
Aerospace,11322.7395,977.8704,10943.8384,16532.5292,147131.9451
Aerospace,1696.522,244.6521,75173.5023,39412.2251,443134.04
Aerospace,13255.4469,864.6674,35529.0117,31680.4556,887452.1622
Aerospace,5189.8827,115.4164,48329.4743,47872.5604,1000000.0
Aerospace,2642.3958,873.1155,29192.1009,22031.9078,247301.0906
Aerospace,7905.8181,608.4204,96699.247,48018.3227,930714.7893
Aerospace,9576.2304,821.5365,91811.4502,37458.809,262514.6147
Aerospace,3639.4534,873.4666,95345.2733,40483.7412,445491.4811
Aerospace,830.4854,601.8427,15125.3455,1376.774,880249.6389
Aerospace,8350.6447,922.0127,85335.5281,22946.9386,783951.3007
Aerospace,15167.4026,588.7884,51068.5701,26340.4445,844735.7252
Aerospace,17047.1841,714.4906,70701.1252,2640.2222,812235.9403
Aerospace,2897.2362,374.0542,21498.5163,15718.6357,233773.692
