Application,Voltage_V,Current_A,Power_kW,Frequency_Hz,Efficiency_pct
Energy,212.4398,1731.5732,2509.2816,50.0422,14.1819
Energy,517.2315,925.1683,2601.9113,59.8248,68.8835
Energy,423.309,1617.8474,4875.8072,53.616,29.1406
Energy,654.5584,1139.4677,4544.7779,51.0496,90.4735
Energy,118.8628,1526.0034,787.0443,53.7474,88.2688
Energy,525.1294,604.5503,1958.7524,46.9395,16.6903
Energy,608.7771,1699.8835,2134.7945,60.72,19.5127
Energy,632.2133,533.7045,1873.9128,50.3176,56.1957
Energy,693.4985,1099.4815,4095.6179,59.4148,69.0522
Energy,576.503,386.5757,2659.0069,46.4478,32.2216
Energy,720.6059,968.4909,2763.472,63.904,74.3249
Energy,323.2777,605.8728,4129.7812,48.4539,61.4176
Energy,443.8565,527.7385,4044.5188,61.9569,42.0998
Energy,126.8276,1969.0831,643.932,60.7673,11.2255
Energy,130.3981,351.7786,3578.3121,64.2276,74.9158
Energy,266.9648,1573.7705,2175.5752,54.6426,30.4766
Energy,197.4991,1897.6047,1731.6019,59.9521,88.2424
Energy,292.3335,159.5154,117.0715,52.2359,49.0206
Energy,216.6959,1467.8892,2237.2532,48.3346,62.3056
Energy,157.6297,534.7306,1810.4211,53.2844,89.3018
Energy,709.8778,50.8475,1219.9229,48.507,90.2728
Energy,110.0,801.2355,3504.9654,65.0,41.8632
Energy,613.787,1848.6988,3905.8152,47.4315,28.5987
Energy,236.8758,74.0844,1352.3581,57.0682,78.9483
Energy,707.0778,1186.2715,96.5146,57.7847,46.8751
Energy,688.1835,971.4264,4188.0917,56.4406,26.6927
Energy,536.0471,1727.9381,92.6748,58.3766,93.3922
Energy,559.6764,212.851,4762.6088,47.5821,28.8493
Energy,130.2371,1427.056,3357.4443,55.9721,13.4824
Energy,762.5643,1421.3527,1704.8036,50.1994,12.0889
Energy,686.3129,1368.4413,1226.7107,63.53,66.9504
Energy,715.9185,1874.564,0.0,60.2378,68.1097
Energy,537.707,1516.5145,1120.9281,64.4746,37.4366
Energy,349.3405,95.8319,629.3712,46.5216,39.1466
Energy,691.5662,942.0926,3126.3545,50.7352,41.054
Energy,306.59,801.5054,858.4277,49.38,71.7906
Energy,477.0884,622.4503,2510.7842,45.0491,14.983
Energy,174.5921,849.623,2906.992,49.7218,92.9411
Energy,708.9372,790.6847,1577.9632,58.0439,35.7109
Energy,219.8222,889.9565,210.491,49.3248,100.0
Energy,247.7061,1985.8173,243.1339,55.3909,26.1807
Energy,465.8808,215.129,170.0288,62.7594,79.0194
Energy,638.2659,1868.6238,3858.2664,59.2523,29.2949
Energy,528.4849,944.0723,1613.6528,52.9651,17.0408
Energy,230.8027,1244.651,3942.8987,52.3084,89.2711
Energy,110.0,1664.0109,2067.0886,54.974,83.9028
Energy,582.1966,725.234,2289.9514,48.5033,43.4964
Energy,742.8568,900.7725,2320.3426,58.1452,72.0693
Energy,599.3786,844.7837,3546.7284,52.1226,60.5088
Energy,409.6408,832.5558,1346.9303,62.3311,86.3354
Energy,687.0081,1939.3174,471.4897,60.5023,41.0157
Energy,379.235,1661.0458,2687.4601,57.2937,54.4622
Energy,432.5427,64.5338,1715.8539,51.3423,52.3311
Energy,423.6061,265.72,2235.5277,49.2059,44.5877
Energy,397.7582,834.124,3244.9124,61.0152,90.467
Energy,637.4255,165.2554,2501.2635,54.9392,26.5217
Energy,473.5224,1222.2484,3110.6568,49.6733,27.148
Energy,327.7377,269.5175,2845.2863,48.2146,60.673
Energy,274.815,1069.2373,3711.3248,48.0198,68.9957
Energy,160.733,0.0,3383.8618,60.7078,27.0254
Energy,471.6481,590.0839,2833.9625,49.7439,41.6463
Energy,242.2381,1368.1078,3431.5491,56.0187,94.632
Energy,205.9302,992.9956,4308.8726,53.973,33.7815
Energy,567.7865,1982.2006,2036.0163,56.7545,71.1255
Energy,553.5414,1716.7261,2103.4068,62.5496,77.7278
Energy,600.2609,679.0109,3809.5109,61.9602,49.6557
Energy,420.9538,70.7077,3070.1839,53.1192,93.1964
Energy,707.9974,1700.8475,320.4432,45.4797,78.5838
Energy,735.7911,1881.8877,4376.822,53.5985,50.318
Energy,649.1649,1559.3573,243.4951,56.8766,61.7695
Energy,518.0709,247.0707,3834.51,55.5076,72.6292
Energy,299.6794,1942.5231,3810.8359,58.2786,65.9282
Energy,736.889,451.0787,4833.1911,47.9751,90.8313
Energy,290.6579,1487.0881,266.9033,58.1535,39.7885
Energy,228.5869,1837.8547,3007.6708,49.3987,34.8521
Energy,384.1868,489.3516,2255.7019,59.1539,30.2875
Energy,141.6802,1853.3581,1715.6966,51.5019,13.2847
Energy,744.5059,599.7744,434.6654,59.1142,13.0519
Energy,488.3765,1935.5209,2948.5069,46.5392,90.1331
Energy,480.914,649.9493,2158.7181,52.5026,71.3928
Energy,540.5821,1897.0088,727.9796,59.875,69.5423
Energy,431.7756,136.4946,2891.8516,49.5918,66.7215
Energy,133.3991,1418.7993,3627.0563,60.8673,85.7545
Energy,498.0749,990.2919,3832.2998,57.5364,56.0474
Energy,580.473,873.969,4512.2179,56.5767,86.9185
Energy,384.9435,423.8293,2147.9948,52.4902,43.5325
Energy,586.3387,1453.4356,4659.5802,54.2216,95.9846
Energy,271.7294,413.1506,4353.2237,57.0852,70.4
Energy,243.3894,1142.2467,1424.6866,54.2956,32.5279
Energy,216.9112,467.0089,825.9293,58.6614,62.8236
Energy,368.9104,1975.8777,2170.4698,54.7083,60.0558
Energy,676.9192,18.6667,2018.7871,49.2131,22.1022
Energy,652.7322,407.9695,2823.604,49.524,61.8895
Energy,356.0011,484.2071,2865.9248,45.5712,40.0514
Energy,508.2852,821.1807,3778.6622,50.4506,16.8418
Energy,590.9732,519.0042,2643.8213,60.6793,93.2827
Energy,259.8899,954.4938,464.2853,59.8797,65.5671
Energy,209.7193,1690.9468,4204.5799,48.7418,89.3282
Energy,719.575,1424.9267,1610.1689,63.9973,71.9779
Energy,516.5179,1143.9309,4853.2369,55.2807,41.5902
