Application,Income_USD,Expense_USD,Savings_USD,Investment_USD,Debt_USD
Finance,95689.7296,145239.5374,106699.975,0.0,53799.3805
Finance,109197.702,51171.3689,179298.4654,232823.2239,168761.9511
Finance,47440.2743,123991.2649,186469.9268,420827.9863,14196.0624
Finance,152076.3205,132121.4977,10092.5404,293488.1356,125163.0147
Finance,98111.1891,55893.5632,9491.2133,480676.0277,155895.4196
Finance,66730.4554,11928.6118,54882.0519,146538.2314,130908.1857
Finance,22040.9638,110870.8773,134582.7408,128349.88,236003.2631
Finance,45757.6655,47780.3413,181005.7614,75901.4976,254515.8257
Finance,200000.0,118463.5228,91580.4114,87375.4431,241234.1713
Finance,66527.1708,65584.2823,118024.8927,143504.2341,13990.6516
Finance,28879.291,69140.2689,40703.4617,387904.6228,65243.6901
Finance,93119.4977,113321.8206,163611.0909,452941.1269,156638.4644
Finance,59056.0313,59482.5572,197353.8501,472228.2317,276580.5705
Finance,3072.4442,66527.4766,53666.568,127647.501,234052.1913
Finance,59339.1208,56013.0336,96565.9022,438595.9326,259877.2253
Finance,110595.3163,53829.4072,10988.0741,175313.0441,100204.402
Finance,107663.145,77976.42,115104.8244,51154.9554,125515.3057
Finance,75245.4968,124460.6521,102252.2463,429776.7029,139688.074
Finance,93488.9623,53259.5145,25024.1663,310410.9495,42688.3023
Finance,198599.9416,74615.0139,86258.9479,91127.1874,11616.3604
Finance,72124.1183,102840.0541,64953.8952,207821.3172,290820.4651
Finance,53620.0517,39801.287,98434.2373,150074.8018,61757.1439
Finance,51297.6141,41722.6083,113860.1375,364572.7604,74441.3023
Finance,89711.3817,144834.704,0.0,206948.4823,23353.6855
Finance,148842.5334,108468.5043,150551.2805,488936.8319,279232.6919
Finance,47711.9016,87445.5525,139648.0684,15581.409,176675.0985
Finance,142797.8243,93621.2377,66749.2576,177846.6603,198981.8425
Finance,6870.4488,3735.9081,18677.548,229046.0062,272851.5451
Finance,80558.0424,94544.023,155996.6709,260826.5284,102402.7997
Finance,150320.7272,71760.2098,187918.9544,157057.1526,192274.0906
Finance,65536.0577,82464.9872,49120.0048,362844.1646,14152.3962
Finance,112295.2091,54215.9472,66374.7831,443932.4581,57355.2597
Finance,36820.5971,12344.947,41526.9213,478998.7203,241748.0312
Finance,148385.5191,32112.3617,112112.8046,402345.7009,227759.0284
Finance,3799.949,143615.0225,35336.7061,417578.0957,110584.8224
Finance,166045.3251,65739.15,69047.1675,257532.9541,113269.3678
Finance,42401.7608,67021.7048,134059.1532,406083.6156,164023.5189
Finance,177306.121,8314.2422,114919.7428,145579.8321,10671.3722
Finance,69003.872,5888.3348,82455.5466,200309.9556,78604.9372
Finance,140495.4248,104369.4536,94401.5563,155005.0381,63028.4926
Finance,59805.5776,83583.0846,107623.2755,240572.9974,72078.949
Finance,179699.4166,83279.9175,3968.6243,136659.9754,226450.4552
Finance,27991.5463,36417.6613,14062.7687,480235.3095,82891.8474
Finance,39497.2321,113227.673,179385.0484,168262.1884,55500.3216
Finance,96671.5881,25489.0423,9693.8396,52440.5212,153621.2354
Finance,11867.8312,26349.4575,136309.6401,262808.2076,258770.0795
Finance,40347.2778,63644.5449,180904.1335,22530.0948,70482.6008
Finance,185466.407,40824.6589,54452.577,48939.2692,12884.4793
Finance,193228.3092,32943.572,71533.9623,101188.5621,101281.6138
Finance,80612.6937,101897.9529,116420.4985,226765.0563,227155.4536
Finance,187971.6831,97300.4327,180449.3724,224182.1245,175502.6092
Finance,109642.034,122639.8025,190779.4276,397627.0483,244452.8586
Finance,48936.3868,65323.7465,154387.8002,356239.5962,289844.5107
Finance,141354.6678,7597.5103,18987.2587,230840.8399,243513.612
Finance,136062.975,38749.3656,128963.2443,170051.7557,176275.56
Finance,196324.3679,147205.0363,87514.2504,144164.958,150203.3607
Finance,58484.7069,92525.0933,91719.575,382579.0544,7577.7853
Finance,139613.0902,107965.6179,13471.3521,27145.0669,300000.0
Finance,17151.1525,1848.6499,44507.3647,23456.7457,115952.7551
Finance,24038.2052,77965.213,159929.4735,386691.0714,47459.1751
Finance,3231.6752,6830.0062,84807.1314,248333.5952,195317.065
Finance,200000.0,85989.4905,56659.5997,79435.4335,89528.6809
Finance,162263.193,135025.7106,82094.7927,111496.4242,188241.7588
Finance,155361.9967,145401.1072,170203.4119,463476.8404,169982.9022
Finance,100200.9682,77861.8353,150118.0976,419388.3953,131680.3922
Finance,61037.1526,68973.9684,57498.3771,352857.9137,252225.2295
Finance,25178.0659,140310.6203,26285.6595,240746.7154,84208.5557
Finance,56433.7312,108659.6197,51514.8436,266758.3131,131232.4998
Finance,79640.6426,9615.2088,183316.6167,498524.1024,144309.4568
Finance,142525.7555,65646.118,115067.0938,475404.2613,207242.5532
Finance,114113.251,35634.2121,110127.6371,87961.2723,239754.5919
Finance,20076.2291,72028.7245,121492.9981,405339.8354,107984.4997
Finance,1865.86,73339.9276,72176.4531,101556.7084,190168.6705
Finance,22728.6792,85553.3632,165749.8533,109262.9158,54592.3805
Finance,82171.2775,48768.2896,104141.1134,334779.7846,288481.2087
Finance,191562.7656,27091.0785,19942.9319,203748.0703,120549.4821
Finance,131445.5232,71416.1191,22777.1422,480926.6516,217799.752
Finance,154787.5146,123221.9663,103456.866,48322.2091,6600.2491
Finance,95676.1566,98828.9728,186224.4035,252029.1362,60770.588
Finance,71574.9499,50546.2795,66605.3214,454258.7871,152894.202
Finance,22100.3991,142395.9468,170687.853,450358.3067,258220.6859
Finance,172287.7799,134780.2328,153573.0204,94632.0063,153341.7471
Finance,163642.7418,30581.0722,46935.7312,181485.843,285022.7922
Finance,37864.9749,5869.8267,6226.9135,309362.7566,144872.9002
Finance,99543.2816,111645.1001,14329.2882,74874.3067,155405.5332
Finance,92190.4509,124435.0207,144816.6339,495000.9196,31894.9633
Finance,123513.8822,146487.7022,39159.1261,476973.0369,240468.2031
Finance,190979.9017,136006.9776,76415.3359,87981.22,68555.1458
Finance,116956.6542,91258.1176,101232.9569,61405.4597,269927.9229
Finance,113099.4567,80868.6075,140300.0652,43072.0697,264375.9845
Finance,13317.6533,0.0,26983.0376,430878.7641,280067.233
Finance,16551.5414,37149.1501,82114.4932,104263.4135,147451.6235
Finance,38857.3915,70380.7354,97808.1559,209484.1284,207291.6748
Finance,1036.4909,96462.4086,108128.6834,228709.1033,237854.3001
Finance,147913.8411,81510.7227,161601.0985,292390.9002,28922.8092
Finance,148931.9665,109418.2806,35206.8484,32023.1031,188290.473
