Application,Calories_kcal,Fat_g,Protein_g,Carbs_g,ShelfLife_days
Food_Industry,171.065,82.2147,109.1287,267.2059,516
Food_Industry,862.7842,32.3587,168.2901,138.7695,165
Food_Industry,955.1494,92.5812,129.1082,121.4729,426
Food_Industry,50.0,13.1271,115.5565,49.2729,42
Food_Industry,1432.6369,3.0532,7.4841,72.2279,403
Food_Industry,626.3472,31.941,53.7189,276.9234,724
Food_Industry,769.0289,81.0675,104.9204,46.0382,416
Food_Industry,373.8257,66.6814,116.6991,288.8209,300
Food_Industry,924.1323,46.2148,123.1947,160.865,55
Food_Industry,1197.9409,26.498,148.841,139.8821,336
Food_Industry,919.1029,5.4399,130.1261,44.451,430
Food_Industry,1174.4247,34.0421,171.8025,200.3811,685
Food_Industry,1078.1345,46.1838,62.8502,146.7204,334
Food_Industry,420.3422,69.1056,124.796,114.4534,406
Food_Industry,672.5575,64.3137,11.9197,80.9194,30
Food_Industry,289.8986,95.4795,98.2668,18.1608,535
Food_Industry,110.3705,11.6192,47.4167,155.2163,517
Food_Industry,145.1967,34.4851,77.4697,93.9376,575
Food_Industry,1432.9571,48.9409,69.5169,197.6839,221
Food_Industry,1459.1693,66.8682,18.5669,219.8389,594
Food_Industry,164.2212,47.773,96.7936,105.6123,494
Food_Industry,570.8837,89.0171,200.0,196.2486,253
Food_Industry,232.6986,59.4521,51.6219,78.9975,564
Food_Industry,1257.6744,3.1305,149.0091,220.2738,321
Food_Industry,792.7061,14.7092,106.5138,9.6849,39
Food_Industry,966.4942,77.8529,68.5392,45.5567,465
Food_Industry,860.2265,70.3921,17.2817,76.7404,411
Food_Industry,1046.7255,16.2491,41.0952,224.9111,412
Food_Industry,510.8806,5.7556,154.6242,13.8273,492
Food_Industry,282.1297,58.3438,54.3232,59.004,438
Food_Industry,124.1886,62.4766,23.4716,106.2097,479
Food_Industry,680.7125,18.0135,61.3956,0.0,72
Food_Industry,1370.9757,51.0909,115.4667,230.7213,582
Food_Industry,493.1972,29.9979,146.9132,160.383,220
Food_Industry,298.0561,91.9379,80.3308,286.4195,4
Food_Industry,1384.4227,23.7709,102.8455,0.0,290
Food_Industry,157.1184,70.9067,95.7723,81.7333,380
Food_Industry,120.2592,53.5053,2.9251,212.6786,355
Food_Industry,1295.0466,1.403,77.2934,208.04,80
Food_Industry,1071.2461,48.8317,115.82,70.4999,66
Food_Industry,653.0125,9.6437,110.686,184.7833,136
Food_Industry,1131.4501,64.5947,153.1975,242.7313,399
Food_Industry,1170.1372,56.8759,130.3302,3.6077,703
Food_Industry,110.1413,1.1577,63.7227,210.9245,347
Food_Industry,1085.0263,17.7747,47.5171,73.562,59
Food_Industry,992.2097,76.9542,97.72,283.9502,519
Food_Industry,1471.1308,28.7267,151.5071,160.2873,714
Food_Industry,1426.3866,51.4222,21.2629,14.3845,237
Food_Industry,577.6923,30.4737,196.1476,122.4329,79
Food_Industry,905.7714,93.0682,107.8457,286.2177,558
Food_Industry,290.1474,54.1905,61.7947,213.6372,672
Food_Industry,135.8363,69.5121,139.576,85.2483,115
Food_Industry,636.0187,9.2754,11.3056,174.5601,462
Food_Industry,1061.8706,2.1832,89.6035,178.572,626
Food_Industry,875.109,25.9248,96.7694,19.4863,126
Food_Industry,657.0232,27.7056,35.828,53.6485,602
Food_Industry,1225.4443,68.6598,165.9899,166.6655,573
Food_Industry,1176.6587,59.7631,167.2007,110.0196,500
Food_Industry,1138.1093,36.8189,31.0586,48.983,102
Food_Industry,162.3732,68.0618,74.8235,225.0722,626
Food_Industry,1211.8548,15.7494,26.2899,143.5003,174
Food_Industry,1365.8645,4.1795,170.2395,84.0985,452
Food_Industry,174.9416,86.7813,70.8026,41.5736,92
Food_Industry,638.8266,57.3225,90.1958,187.3386,695
Food_Industry,1421.0225,69.5475,67.1147,194.7192,385
Food_Industry,932.2358,28.7656,58.4486,200.6331,205
Food_Industry,787.0219,37.9083,153.8863,69.639,363
Food_Industry,302.5425,9.0208,147.0877,184.2812,707
Food_Industry,898.7721,87.8152,102.8121,273.3771,498
Food_Industry,689.1813,60.3035,136.5602,108.0727,537
Food_Industry,284.4504,7.7866,100.8657,69.0937,234
Food_Industry,726.3445,78.3108,7.109,234.1304,16
Food_Industry,274.8471,45.1048,12.9858,59.2774,141
Food_Industry,1056.8769,77.259,76.6721,63.2643,620
Food_Industry,1440.9719,2.5248,149.3514,29.6912,420
Food_Industry,721.5416,2.2951,178.5005,80.6964,456
Food_Industry,1009.4564,17.6346,8.1222,122.3932,300
Food_Industry,661.5584,18.0034,76.1425,19.9866,339
Food_Industry,298.3764,74.3371,42.4285,259.0627,303
Food_Industry,1424.0042,72.5405,161.2719,158.8363,592
Food_Industry,215.4875,61.9685,172.8456,173.2177,76
Food_Industry,244.5412,89.4375,40.2266,110.0793,624
Food_Industry,698.5422,23.5182,142.5358,209.6148,316
Food_Industry,1037.2642,88.9896,142.8248,137.3612,500
Food_Industry,540.676,90.1,35.1576,229.3399,75
Food_Industry,308.0931,43.9013,83.2345,242.5993,726
Food_Industry,1256.1105,10.8105,121.6477,191.7491,366
Food_Industry,552.9431,72.1578,2.1566,146.6126,546
Food_Industry,323.8077,30.3737,84.3715,237.7299,653
Food_Industry,590.8217,80.295,25.6733,143.9586,678
Food_Industry,353.778,16.9031,109.446,33.4885,396
Food_Industry,786.8844,54.9099,167.691,32.8114,231
Food_Industry,984.01,52.5204,110.5358,274.2418,28
Food_Industry,1251.3887,11.5866,10.3146,64.7719,475
Food_Industry,427.4122,39.0549,0.9716,247.388,295
Food_Industry,301.634,8.5324,118.8585,74.9681,427
Food_Industry,71.6936,45.6102,65.5407,138.909,91
Food_Industry,375.5893,86.3721,112.2904,194.5532,115
Food_Industry,108.7964,28.8372,36.3605,45.2523,159
Food_Industry,580.8593,76.0205,156.0522,234.1727,258
