Application,WaterLevel_m,FlowRate_m3s,Turbidity_NTU,DissolvedOxygen_mg_per_L,Temperature_C_water
Hydrology,59.6631,1252.0865,488.1281,3.654,34.2111
Hydrology,2.1797,3143.5982,416.2344,12.2513,38.1101
Hydrology,76.1415,4780.2744,638.9923,1.6248,-3.6736
Hydrology,10.1438,2451.2598,937.1338,1.2273,8.0199
Hydrology,41.3118,3619.7983,963.8112,2.082,23.5856
Hydrology,80.5816,4783.4421,168.2625,0.0,4.7579
Hydrology,65.4953,3556.7036,286.9922,13.9877,1.6861
Hydrology,2.9749,402.5942,823.4563,11.1627,31.9326
Hydrology,41.3161,1285.9904,495.9511,3.7692,39.3569
Hydrology,4.4909,2894.7256,445.9465,3.7079,27.5022
Hydrology,67.1616,1373.3633,740.2329,15.8499,15.4792
Hydrology,96.2494,4635.2431,594.712,9.0926,13.172
Hydrology,63.9262,2105.2978,956.8475,13.6226,16.807
Hydrology,18.6821,2271.148,598.4228,9.6227,12.7236
Hydrology,38.7782,3563.7535,460.3695,4.015,15.8951
Hydrology,97.7068,2603.3568,554.0331,19.5876,0.0048
Hydrology,19.183,1963.5046,807.8175,11.802,36.4168
Hydrology,54.1006,378.5784,596.7419,1.9906,27.314
Hydrology,40.6543,3056.2919,633.1859,8.8395,23.4785
Hydrology,77.4006,4391.2788,937.7239,6.5562,37.5128
Hydrology,85.2439,3448.4364,596.2918,4.825,5.1844
Hydrology,31.928,1817.4604,392.8528,18.7771,-5.6925
Hydrology,64.8952,594.8912,715.4414,17.4341,31.4105
Hydrology,51.0459,4004.4697,647.2509,2.82,39.1135
Hydrology,26.8931,4851.6113,0.0,6.597,17.9673
Hydrology,26.264,2019.4008,490.086,15.5182,-6.0938
Hydrology,56.9165,3646.9858,766.2522,4.785,30.0942
Hydrology,14.4989,1997.6022,513.5006,11.2694,-5.274
Hydrology,81.5867,2432.3576,750.6025,13.972,17.7917
Hydrology,10.0971,4194.6294,461.1861,12.901,4.3231
Hydrology,7.3229,601.4427,994.3532,14.2953,36.1825
Hydrology,32.9732,2652.2698,310.9031,14.1693,12.7002
Hydrology,10.7304,1193.2934,95.1424,19.1474,35.4852
Hydrology,44.2208,1726.5961,415.0083,7.1856,4.9124
Hydrology,39.4446,3278.4015,533.6182,17.2952,9.9274
Hydrology,74.5078,88.5503,372.6348,0.4406,38.2735
Hydrology,96.9915,2949.4187,249.872,6.0721,-1.192
Hydrology,77.7204,1334.1306,645.8976,0.6826,20.0214
Hydrology,16.6773,3377.8802,411.2544,12.8805,9.3677
Hydrology,91.2938,683.5645,654.4795,1.7926,30.1665
Hydrology,43.7254,3715.0466,812.3214,17.095,-2.2647
Hydrology,47.8485,3129.6776,783.6889,13.0717,10.83
Hydrology,38.9329,4901.7819,356.7414,0.3691,24.9473
Hydrology,33.1755,4573.0671,574.4983,14.4319,8.485
Hydrology,89.3245,1430.2013,461.7281,16.1159,-7.4595
Hydrology,27.3292,175.5204,843.9192,13.5565,25.6114
Hydrology,60.7687,3253.0827,855.3108,0.9688,16.0069
Hydrology,19.3826,3395.1087,358.6095,16.9558,-9.3653
