Application,CPU_Usage_pct,RAM_GB,Latency_ms,Requests_per_min,Errors_count
IT,24.6762,259.4719,341.8229,725119,3122
IT,88.435,213.6172,1653.6253,89440,4876
IT,22.4482,512.0,602.8602,167906,84648
IT,9.7308,268.7147,1372.5396,676106,74660
IT,84.028,427.8158,1460.0727,883372,57147
IT,76.6353,349.8479,1935.8515,283551,1823
IT,29.5334,236.3209,975.4779,479445,52652
IT,8.0549,245.2358,1579.6849,360694,58204
IT,20.0238,193.9302,119.7202,349801,50382
IT,78.7419,59.4459,1010.3014,509522,10387
IT,97.9248,400.4428,401.1275,26403,99780
IT,26.6871,453.5913,1691.6728,273781,51175
IT,83.0417,119.0617,1694.8177,663972,18980
IT,23.1933,463.158,465.7104,161482,24224
IT,65.5063,116.7549,628.3145,922664,7121
IT,10.4893,286.0063,1383.9799,60108,67966
IT,56.7426,179.5544,1493.4851,230747,73490
IT,26.7187,67.0612,1403.3084,400944,11881
IT,94.2911,25.2541,2000.0,200846,82453
IT,26.1726,167.4024,1745.5742,223372,83176
IT,41.0931,14.7599,858.7432,772660,50809
IT,81.6837,60.4076,650.6052,850026,77621
IT,45.0169,76.3689,1250.5954,280608,91795
IT,26.2466,18.1007,1570.0023,949447,23097
IT,53.2794,79.846,1027.9593,817270,2978
IT,82.2639,286.4684,1453.6026,530207,4332
IT,43.4698,419.3495,23.057,954596,85573
IT,11.4908,109.3326,1802.7812,794229,15089
IT,33.9542,23.5095,1553.8818,182959,56804
IT,95.3969,377.0771,761.2076,88003,64752
IT,7.8724,0.1,814.6234,351416,23484
IT,40.1876,377.5834,232.8672,467773,60408
IT,65.0291,74.6562,1604.5811,396274,79544
IT,9.9495,122.6092,1502.2058,861009,54018
IT,33.7795,75.2867,1234.8588,627926,18148
IT,93.6046,129.2794,165.1787,387804,3830
IT,3.0241,413.9443,513.5751,984193,68494
IT,74.5462,73.5654,884.256,234316,25998
IT,83.5101,499.0853,578.7458,899343,67076
IT,31.1233,166.2362,848.0715,601845,30677
IT,21.7229,446.8804,475.0194,813690,29101
IT,90.8885,101.2364,722.6216,639378,7053
IT,79.1688,68.1141,1230.5077,674719,5670
IT,13.5089,298.1884,1813.2694,91714,10281
IT,22.4683,42.9288,701.8511,537202,83658
IT,60.9161,415.2393,1350.4953,662896,53341
IT,47.4064,231.8252,296.366,710431,68069
IT,47.2859,370.3542,1086.6751,645736,10756
IT,91.5918,85.0424,1829.7993,33748,65075
IT,42.7894,315.8949,0.1,825880,54421
IT,87.4544,303.3244,573.7716,832564,60108
IT,61.1203,379.1122,282.4369,76022,65323
IT,11.8804,153.1256,1032.0329,395600,90610
IT,74.6085,480.3955,1320.8573,961816,84338
IT,51.6844,487.294,156.7259,369438,92858
IT,23.1142,437.1854,152.6774,76323,17048
IT,28.0154,270.8701,1684.8622,427350,52606
IT,55.456,213.5172,883.3062,625530,9876
IT,62.7865,25.3139,1004.2446,476398,58075
IT,98.7353,481.2394,1929.2538,908779,15171
IT,85.0548,494.8074,640.51,60120,42204
IT,21.6804,29.7871,1794.9524,60592,5166
IT,79.1465,179.137,1861.5012,989227,75902
IT,0.0,454.543,535.7266,729391,85794
IT,13.6417,44.089,1010.0704,534173,43734
IT,20.2827,112.3389,1036.4138,411916,78519
IT,61.0352,491.7501,1762.347,408234,91251
IT,17.5805,424.1902,582.689,129006,96621
IT,36.4589,458.5412,1523.1901,95964,64441
IT,22.7693,49.6541,1958.4092,712421,45078
IT,34.4057,107.8016,1620.0738,162394,27778
IT,92.5947,299.2357,1815.938,50073,76926
IT,98.647,259.5114,1429.4418,334794,20924
IT,68.8175,128.4104,1796.8081,989614,45832
IT,55.3503,451.9573,318.8506,811428,66243
IT,67.6132,458.8982,1486.7854,92290,25048
IT,79.2436,143.8337,1526.3903,497049,32815
IT,72.6145,90.0497,841.7182,462561,34682
IT,5.3897,68.1828,135.7799,439520,17489
IT,28.8121,251.1869,1223.3316,869518,59234
IT,34.1436,61.6723,102.5989,684609,57701
IT,40.0796,259.3881,761.5876,252028,16951
IT,34.152,235.1619,856.081,742309,50018
IT,79.875,459.5949,1990.4242,126379,11452
IT,73.9921,157.9721,558.4655,509364,28635
IT,0.8317,298.8269,1617.4064,725583,98283
IT,29.2248,382.1932,121.3725,234733,99332
IT,63.5065,291.6606,1049.2945,414339,27933
IT,9.7614,493.0226,1085.9732,295239,34581
IT,7.2702,311.2432,1247.7703,92971,38281
IT,83.1472,430.6789,1649.0199,873590,21187
IT,46.0603,108.4272,1520.3401,862253,22953
IT,82.8771,294.3768,1473.3865,501843,33818
IT,81.4034,292.7603,850.7712,977689,24702
IT,90.5391,505.7539,1543.422,614751,6278
IT,5.2791,113.0717,1032.1288,513036,44566
IT,22.0807,73.3921,87.5313,709244,59722
IT,28.5556,313.5877,1851.5067,249668,18036
IT,9.6486,113.1421,1785.8214,5291,24583
IT,47.6143,328.1101,626.2909,434409,70244
