Application,Distance_km,Delivery_Time_hours,Fuel_L,Load_tonnes,Stops_count
Logistics,1559.5106,50.8731,4720.197,98.4288,25
Logistics,1676.1479,0.1,202.7287,87.165,51
Logistics,1603.7985,142.0609,3728.4047,37.44,74
Logistics,1279.248,219.195,2994.7821,83.3544,60
Logistics,557.5348,164.321,3350.0917,73.2602,66
Logistics,1496.3474,240.0,2780.5545,4.9857,21
Logistics,32.1609,220.817,347.1419,94.1938,16
Logistics,1630.0982,120.7344,688.4116,48.4231,10
Logistics,1584.8299,117.3058,4680.2572,9.7077,38
Logistics,1426.7617,161.5891,1098.5061,41.5073,60
Logistics,260.7571,20.2385,5000.0,55.9593,90
Logistics,2000.0,152.4164,3515.4117,58.5627,48
Logistics,1491.5218,103.7118,2388.7625,58.3724,92
Logistics,1434.4863,162.2192,4583.1001,24.2734,60
Logistics,99.966,137.3857,3975.2098,62.9698,11
Logistics,818.3807,82.0458,2130.9135,90.0052,12
Logistics,225.0034,150.1825,345.603,34.786,57
Logistics,674.3009,77.473,4298.9619,65.6587,10
Logistics,1107.6809,45.1679,3930.9054,24.9091,63
Logistics,1759.2011,156.0366,3877.6059,4.5396,30
Logistics,521.1936,80.7598,3709.8358,58.2976,10
Logistics,1230.3019,217.2183,1398.0318,6.1704,42
Logistics,379.9048,48.6464,4343.273,69.1848,35
Logistics,737.4176,142.0955,0.0,65.2845,1
Logistics,1927.6924,139.2466,1161.7938,37.3584,86
Logistics,1456.174,42.9411,235.0065,43.3602,60
Logistics,1022.264,106.9787,633.2095,86.9561,35
Logistics,486.9895,161.5703,2640.5369,3.3055,77
Logistics,666.973,72.5958,176.0653,54.9143,100
Logistics,332.3248,30.7448,920.6492,91.763,48
Logistics,737.4608,156.7444,1268.6213,91.4663,26
Logistics,270.7043,47.0137,3071.5372,56.2559,11
Logistics,1614.0911,168.1185,2354.7076,35.6425,57
Logistics,185.4937,197.6144,2408.9975,10.3054,92
Logistics,334.7972,32.4951,3759.4442,21.1681,5
Logistics,1366.6564,102.1213,2208.321,66.0749,43
Logistics,1786.4259,105.3988,1864.866,0.0,46
Logistics,1966.5125,150.8819,4777.3462,85.9011,22
Logistics,1701.4898,86.8562,9.5024,58.3423,73
Logistics,446.6125,100.0731,1554.6836,2.5494,97
Logistics,549.6992,1.3493,2748.5703,22.0545,75
Logistics,1796.235,29.0723,3732.2044,59.8404,95
Logistics,1786.0213,145.9073,4140.0154,0.671,25
Logistics,1301.4786,54.5807,205.8788,81.2434,6
Logistics,697.159,31.8551,3529.6303,89.6407,31
Logistics,475.3707,85.1148,3535.5347,98.3849,32
Logistics,1699.9246,40.1986,1042.8976,77.3119,81
Logistics,391.3926,10.2633,683.0784,88.0787,98
Logistics,1254.6262,70.0866,3761.6273,63.2183,19
Logistics,1873.3142,38.8091,1353.4517,47.4467,94
Logistics,1445.0921,175.6472,0.0,71.741,68
Logistics,437.0873,16.7183,1119.795,24.7757,95
Logistics,606.1608,174.252,187.8935,10.4573,51
Logistics,218.8163,85.8266,1298.5894,77.9155,41
Logistics,1338.2068,152.7866,1590.3572,98.0342,82
