Application,Units_Produced,Defects_count,Machine_Time_hours,Labour_Hours,Cost_USD
Manufacturing,27846,9,497.129,7620.6651,736565.482
Manufacturing,49665,357,791.2988,5261.6851,320496.0157
Manufacturing,41401,202,784.0158,2109.9827,613072.6596
Manufacturing,73728,707,933.8114,1249.7098,500309.0456
Manufacturing,50054,57,63.3162,5020.1521,342410.1112
Manufacturing,38487,493,261.6375,7798.9821,874158.2402
Manufacturing,9412,509,784.7935,6468.9196,87120.9037
Manufacturing,81499,767,532.3187,2490.6256,456028.094
Manufacturing,51473,222,532.2497,4121.8943,243088.9268
Manufacturing,99159,368,133.9954,8687.1373,848875.596
Manufacturing,66553,691,263.9297,2063.3666,243048.6861
Manufacturing,5279,417,522.9884,5379.2808,635034.7221
Manufacturing,75948,873,264.8056,3828.9951,144328.7644
Manufacturing,7712,546,240.3498,967.5149,394880.308
Manufacturing,15817,870,96.8623,133.0307,936045.379
Manufacturing,53832,102,155.3497,5607.2427,173226.4361
Manufacturing,93616,160,794.2159,90.2197,682917.4602
Manufacturing,56224,199,692.163,1210.2142,235982.2312
Manufacturing,6624,159,63.1651,3413.554,419962.0423
Manufacturing,29126,694,198.5589,464.6403,536191.9742
Manufacturing,82115,864,551.3489,4020.649,548629.329
Manufacturing,80667,135,334.8493,1326.227,594853.4686
Manufacturing,37462,941,814.9994,3390.2018,636881.4601
Manufacturing,58676,397,788.6274,7638.6672,255623.1375
Manufacturing,46815,737,889.5823,6219.8051,432271.9939
Manufacturing,88911,391,569.0603,4744.0191,59364.5548
Manufacturing,26093,754,341.9349,796.5674,788467.82
Manufacturing,32525,105,624.5999,6068.6273,834775.449
Manufacturing,29030,582,48.2531,1668.626,178576.1265
Manufacturing,44067,588,22.4039,530.4429,228003.9949
Manufacturing,5207,53,0.0,6840.6578,48743.6279
Manufacturing,76433,276,392.474,8904.2519,985845.4702
Manufacturing,26639,110,238.5248,4548.0749,819571.5148
Manufacturing,2792,223,117.0643,917.7408,366915.748
Manufacturing,420,74,618.6556,8574.4643,521900.5878
Manufacturing,94760,505,967.6681,964.2118,278819.0872
Manufacturing,19198,13,158.3718,8699.3821,591065.3773
Manufacturing,35608,970,526.1199,3970.6574,750131.5844
Manufacturing,46205,769,92.8609,3492.0731,449009.7463
Manufacturing,82951,481,899.6442,5587.7239,871075.5246
Manufacturing,17875,188,333.1789,9497.6632,511965.7195
Manufacturing,70511,363,874.6904,8757.8484,157839.3213
Manufacturing,91997,238,258.328,4994.433,617705.6793
Manufacturing,21331,400,794.81,6881.0625,455399.8993
Manufacturing,16893,845,210.1146,5432.4158,948928.1754
Manufacturing,64913,984,285.2155,6880.8744,393759.0643
Manufacturing,18243,303,167.1385,8454.8885,382676.7993
Manufacturing,15535,90,246.2752,474.6106,651413.7181
