Application,Reach,Impressions,Clicks,CPC_USD,ROI_pct
Marketing,83404,18656631,2127536,29.1901,-38.9609
Marketing,9747246,8033340,4501826,43.283,183.8889
Marketing,5339546,8471907,1418038,33.4379,68.6864
Marketing,4702898,10306181,4620163,48.6707,481.6214
Marketing,9625491,6888114,3184705,13.4875,374.727
Marketing,9967597,16093539,36417,29.8467,710.5664
Marketing,1287156,8516453,4321694,34.6931,147.6298
Marketing,7068172,14556076,2537262,20.2722,582.0036
Marketing,6510824,18561380,2677482,44.001,846.1542
Marketing,9971586,9018633,2422549,49.1805,920.0515
Marketing,5805802,12027170,1228489,24.4502,972.7164
Marketing,350857,5421622,4509171,19.6533,729.1556
Marketing,5802944,4063450,3837522,24.8999,940.2209
Marketing,5921840,3766444,4895789,43.2843,163.0776
Marketing,7232716,299615,3483321,32.9781,131.7247
Marketing,4646989,6456835,2826614,2.9711,-100.0
Marketing,7902688,11481945,1129717,26.9593,724.1189
Marketing,8465793,9061954,3670573,1.1936,904.2737
Marketing,7285862,8735376,894208,37.844,128.1764
Marketing,9842280,332744,4240956,17.6909,578.753
Marketing,7816567,642624,2065512,20.8233,707.488
Marketing,9693470,16045672,4310352,39.8488,937.7282
Marketing,712515,3288403,4255245,3.4726,634.1524
Marketing,8766945,15010232,1385548,6.5719,939.3549
Marketing,8495353,9527912,2443841,20.3037,303.1308
Marketing,6169111,5009633,4567071,10.8233,307.911
Marketing,2398507,11159922,4587577,16.533,476.6788
Marketing,9784797,147483,4056167,50.0,357.0223
Marketing,7031474,2323426,1824472,41.4705,-100.0
Marketing,4164905,1548303,2423874,42.1623,691.2042
Marketing,6485355,4254996,784118,45.8771,737.4268
Marketing,9337549,14606668,3003780,18.0285,702.8936
Marketing,806951,10105314,3599413,15.3097,285.3268
Marketing,5229907,6364969,4649761,13.4586,479.8221
Marketing,5085291,2003509,4818671,43.1899,291.8552
Marketing,8637553,6782239,779558,33.6386,-64.0471
Marketing,5759236,14881221,4411503,14.319,513.6699
Marketing,2172127,13520753,687843,18.8804,41.2306
Marketing,8219909,4549349,1341915,24.378,13.2678
Marketing,4254970,15212788,4973872,25.7782,748.4441
Marketing,6654477,12592998,758049,42.1812,-72.2508
Marketing,9755333,5195084,4348111,20.6412,929.6273
Marketing,5874893,4053915,2332433,47.0216,478.3263
Marketing,9275445,11791480,2085445,21.0587,961.9911
Marketing,9943385,2323714,4559217,37.0933,-64.3938
Marketing,1637899,8874293,957217,46.609,540.305
Marketing,5931143,3149607,3925864,44.4195,264.3652
Marketing,4680009,216769,1345790,1.1023,845.2243
Marketing,7961881,11159619,2519128,10.0828,315.2648
Marketing,7884935,16419035,529254,23.5295,144.6786
Marketing,3071708,18687448,2864263,21.1951,825.0858
Marketing,8742608,3521241,1394682,32.2708,280.0031
Marketing,2140050,9788334,603986,48.6652,-91.6612
Marketing,6830971,17600897,2337427,5.3261,339.3319
Marketing,3416698,15097129,1051574,22.7688,614.6442
Marketing,1521267,11502497,3268387,10.3554,166.8208
Marketing,361116,11767036,897465,45.2605,403.7902
Marketing,4015373,14971284,1036325,47.6151,-88.3202
Marketing,5696528,9077092,165720,24.0367,574.1133
Marketing,5710092,11156907,864465,5.7569,719.9501
Marketing,451420,13702523,1711463,38.1388,352.9254
Marketing,6909146,549690,1707008,36.1234,350.6539
Marketing,822590,14406869,405234,19.1713,31.0543
Marketing,468205,4568161,2101628,43.6489,95.0534
Marketing,1173788,18547353,3124027,48.9855,70.401
Marketing,9429094,16875023,2717208,28.5393,441.4602
Marketing,1136045,13392581,3903881,27.7452,446.739
Marketing,7868654,15902700,4411787,15.3642,923.5964
Marketing,8747748,18312811,802651,29.3927,-22.7053
Marketing,2124420,17446436,4667423,20.5201,540.3481
Marketing,7929441,17391943,3564064,15.5756,461.2054
Marketing,2483057,10822820,793287,2.2687,460.1594
Marketing,802717,14778517,1498345,13.5819,874.766
Marketing,8606583,12530719,2559001,9.2297,118.5525
Marketing,5267016,5245733,1224233,26.9454,-31.424
Marketing,5172186,5842832,2753596,31.4595,617.548
Marketing,3576731,12693796,3244584,30.9288,252.1309
Marketing,5791593,7735984,4347320,18.3359,-38.2715
Marketing,9925401,14975932,706757,20.0526,162.0363
Marketing,3426695,13380784,3799838,41.1144,211.4194
Marketing,7935443,12391484,4736662,24.2114,540.197
Marketing,2201401,8812108,2867893,49.747,113.4966
Marketing,9463036,14036350,2153842,21.1435,346.8511
Marketing,7377567,3623509,745371,31.3156,425.1414
Marketing,3677020,14765758,585422,2.8092,401.6587
Marketing,1547824,8796166,4019915,32.4886,993.6196
Marketing,3304623,8583941,2390785,44.7296,-53.895
Marketing,3986246,3143053,4011179,47.1601,997.6342
Marketing,5492288,14591368,1227450,50.0,543.0737
Marketing,6298587,12264494,951077,12.946,798.6598
Marketing,738592,18820436,2524056,27.1999,391.1472
Marketing,3589750,16688625,4830058,21.4215,398.4198
Marketing,7764819,10443357,4312596,29.3841,854.3458
Marketing,8943476,5883357,236424,9.6368,892.8312
Marketing,2735603,6385659,46475,42.0269,173.7799
Marketing,1599333,1235369,999044,45.0189,106.5692
Marketing,1900187,10127874,2107424,21.3198,449.5181
Marketing,8345474,12423908,3953231,12.2174,917.5012
Marketing,4742828,5343046,4302948,7.7685,300.1295
Marketing,6577030,18573027,4400612,34.4144,636.0122
