Application,Soil_pH,Moisture_pct,Nitrogen_mg_per_kg,Yield_ton_per_ha,Pesticide_Use_kg_per_ha
Agriculture,8.5303,13.7869,134.6204,2.6564,1.4186
Agriculture,4.5948,5.9112,10.3696,3.9742,3.169
Agriculture,7.0234,19.3757,191.9424,9.9313,1.771
Agriculture,4.926,5.956,174.2992,10.502,0.7974
Agriculture,5.1446,10.5209,54.8762,3.6611,3.0773
Agriculture,6.5839,57.8058,15.2942,10.295,4.066
Agriculture,6.0455,28.3873,31.8516,10.2279,2.0962
Agriculture,4.3133,34.0809,19.1174,8.9047,0.6838
Agriculture,4.2713,50.3979,26.0436,1.7623,0.9488
Agriculture,5.593,58.5053,113.7586,8.4688,1.0263
Agriculture,7.7435,34.6271,41.8092,11.4272,1.4732
Agriculture,8.2317,47.591,71.4988,8.2936,3.1803
Agriculture,3.9217,20.2236,200.0,3.8782,3.1008
Agriculture,5.7102,17.4707,137.3552,6.064,3.5266
Agriculture,4.0717,26.7603,189.3436,7.3058,1.6946
Agriculture,3.6381,41.7791,23.3144,6.2669,4.1372
Agriculture,7.1639,41.1866,77.359,1.9527,1.0876
Agriculture,6.9541,20.1467,107.9193,3.5345,2.498
Agriculture,4.2919,9.3197,6.5919,9.53,4.0934
Agriculture,4.7115,37.267,5.6159,10.4424,0.9769
Agriculture,3.5454,6.7201,137.9204,2.1158,0.5553
Agriculture,8.1835,34.8033,128.5705,11.3324,4.4573
Agriculture,8.9598,42.6393,83.0741,3.9167,1.8396
Agriculture,4.2947,42.2036,102.2261,7.5506,3.2861
Agriculture,4.9033,43.3159,83.986,9.0959,0.0918
Agriculture,8.1467,51.4082,8.4171,10.2629,3.373
Agriculture,8.7789,29.9088,65.8844,11.4253,1.6184
Agriculture,5.9755,43.7242,40.6644,3.8872,0.4017
Agriculture,3.8593,39.5174,20.968,10.4064,2.9894
Agriculture,3.9127,9.5352,192.1203,1.7513,0.965
Agriculture,6.4745,2.1481,114.7917,8.3276,1.8928
