Application,Ore_Quality_pct,Depth_m,Pressure_bar,Temperature_C,Output_tonnes
Mining,100.0,159.4852,457.6731,2.5507,8615.0193
Mining,78.382,427.1341,462.4023,114.6657,8046.4302
Mining,66.6814,1485.139,432.8848,9.7702,2025.2119
Mining,90.0527,1359.4295,408.4367,71.0806,191.8341
Mining,89.8858,421.9471,38.946,182.9305,9822.2626
Mining,98.5316,814.4389,390.1447,21.964,9629.2274
Mining,75.2313,268.215,411.2061,-13.2962,5461.6271
Mining,22.7542,1718.7549,62.444,74.5481,9848.3133
Mining,76.2504,150.4404,329.3403,100.7323,7997.5907
Mining,9.9747,1299.9098,234.0484,41.585,5469.0399
Mining,30.1761,1208.3917,455.0402,100.9131,3934.3327
Mining,6.9294,965.2694,344.081,192.3226,6137.3895
Mining,95.949,526.2972,479.5961,49.4738,5240.1902
Mining,31.2887,785.9397,42.0052,46.5491,9926.5952
Mining,70.4952,1651.8156,22.6624,80.9859,4753.8514
Mining,60.1775,1540.1086,492.284,97.5667,8186.9198
Mining,13.9985,1506.9838,35.9622,-16.5008,7984.7004
Mining,59.5978,1429.7693,189.4608,112.9663,1037.0342
Mining,66.2992,261.9091,318.7265,200.0,1044.7152
Mining,89.9449,259.7141,425.6844,43.9378,6886.2969
Mining,3.0257,1719.7798,131.5145,115.776,2671.0159
Mining,26.5651,1669.4855,9.8752,-14.9056,6399.1711
Mining,68.6577,1359.6668,266.2545,113.3926,1566.9232
Mining,5.1158,1274.974,233.7851,76.4714,4224.6305
Mining,19.5025,704.543,159.6626,91.0223,1152.653
Mining,23.4724,475.7862,419.8299,94.4243,2557.5727
Mining,64.6255,1346.1975,363.2281,22.6565,588.1373
Mining,28.8001,1771.5352,420.655,151.3858,9833.0656
Mining,61.0593,862.6176,92.9564,97.0569,3888.0804
Mining,98.0497,573.7868,350.2671,34.2129,9074.3655
Mining,78.4212,491.3085,484.9188,195.4751,9567.0188
Mining,33.3476,96.2194,301.2208,-15.1454,9120.9745
Mining,44.1585,992.3394,91.7249,145.0282,4329.5399
Mining,19.8572,2000.0,492.0004,70.4377,7838.3975
Mining,3.7354,1596.2128,271.5635,90.8759,1682.6637
Mining,28.4458,1849.3214,417.9024,51.8003,1105.0751
Mining,35.445,1225.9229,87.6934,45.9331,8507.6774
Mining,57.9996,976.831,323.6371,-13.455,404.9919
Mining,98.9771,1958.2837,455.0381,140.0556,9605.756
Mining,99.1317,808.2394,256.8682,139.559,7026.7371
Mining,7.5327,1767.076,160.6799,123.0317,4387.348
Mining,63.0056,1448.0433,64.0067,175.5648,1418.9245
Mining,7.5125,672.7738,137.9713,184.2712,7668.7169
Mining,65.2907,1005.4754,168.4874,107.3442,5485.5785
Mining,12.6929,793.0494,360.146,130.3888,7099.8726
Mining,93.9943,246.1564,71.2114,-20.0,4287.4874
Mining,91.1698,627.3679,51.36,164.8862,1069.4982
Mining,3.6704,1830.1075,185.0085,161.5653,3442.4441
Mining,77.6786,1545.0974,227.7848,-12.6765,3310.5556
Mining,62.439,570.8334,315.2419,104.1296,0.0
Mining,45.8225,780.8715,352.8106,176.2476,0.0
Mining,57.1024,1229.1898,441.9889,15.803,3446.6601
Mining,66.3727,843.4653,146.2034,53.0948,7025.7395
Mining,90.3024,978.4539,281.8466,51.9647,6304.5104
Mining,77.388,1353.8321,195.8201,59.2495,2551.022
Mining,55.0282,871.9987,0.1,-9.1573,5732.0843
Mining,80.6085,352.6532,297.0067,35.1606,6603.3477
Mining,99.2555,1148.0529,414.6752,40.6736,5404.8757
Mining,33.3652,652.0998,14.5262,167.4006,5140.8835
Mining,9.6381,544.6901,1.5279,65.199,3666.1461
Mining,74.0627,661.4092,369.3105,76.7109,876.4166
Mining,96.9688,974.4157,334.6595,57.2647,3832.9067
Mining,10.8378,1731.3731,200.58,8.2267,3148.2174
Mining,40.8239,1443.2475,328.8599,197.4006,5781.7349
Mining,7.4798,1362.9428,474.0014,156.5119,8482.1523
Mining,76.6806,967.6345,120.9169,96.9184,3522.5821
Mining,94.1678,1.0,127.4597,83.2981,6847.9554
Mining,51.8681,648.4183,93.4623,122.2943,7878.7279
Mining,43.0251,1644.478,368.4131,55.9067,2361.6576
Mining,89.3123,764.8071,201.8555,-6.4715,9002.4923
Mining,13.9327,1139.5684,488.9985,69.4998,957.717
Mining,90.971,403.5046,359.5294,200.0,8936.2222
Mining,38.8457,1845.8458,188.8365,18.3131,1559.6513
Mining,57.2815,1864.6012,85.5953,92.9046,3286.9861
Mining,52.1921,215.1226,300.3969,-16.7668,5455.9658
Mining,60.9056,1430.0823,136.5958,7.8657,9158.1435
Mining,92.348,164.743,446.1411,102.6882,2535.6289
Mining,98.5367,1229.9036,222.2223,52.0013,7646.0199
Mining,82.1461,344.8561,139.4885,174.7681,6686.142
Mining,17.552,218.5197,279.5557,71.687,1591.3615
Mining,31.2609,59.1752,60.5113,28.1995,4706.9291
Mining,48.9515,1915.9824,272.8104,86.4492,4840.1754
Mining,88.5122,1662.8922,18.0584,155.894,3030.9325
Mining,50.6614,137.3024,328.7461,-8.523,7702.1343
Mining,99.3415,1223.1524,268.2812,88.0899,9371.9612
Mining,99.2815,448.3746,261.5864,141.8032,7370.6639
Mining,57.1678,563.7906,351.307,2.2739,9647.988
Mining,89.1992,1820.3008,40.3032,180.6663,215.0135
Mining,99.9878,210.0417,233.7857,37.81,95.7192
Mining,87.246,1234.5808,232.2484,13.3513,9023.1518
Mining,68.5271,776.9171,224.9261,105.1031,9237.1663
Mining,81.296,423.4841,480.8862,11.3693,708.4881
Mining,9.7948,894.5281,78.8153,121.2845,3370.8879
Mining,66.7518,1938.9223,354.1443,86.313,8287.4454
Mining,22.0715,1552.3374,209.0183,6.056,877.3609
