Application,Velocity_m_s,Acceleration_m_s2,Force_N,Mass_kg,Energy_J
Physics,1.1271,-31.635,-6064.9495,5326.8463,2307948.2284
Physics,272.6352,34.4741,-3646.2133,1904.4894,9544062.2232
Physics,-218.7151,-17.3565,2092.5583,8847.6521,9351932.4827
Physics,-45.8808,50.0,-7280.1375,930.922,9434289.9327
Physics,-142.0033,-33.4474,-4420.0124,4412.8861,8174006.0454
Physics,156.5175,-0.4352,-1157.2022,8636.9983,3655245.0005
Physics,154.7824,30.5858,-5410.4704,6178.2422,509260.5076
Physics,-105.4839,-5.8839,2074.0298,2818.8129,5551338.8816
Physics,-246.3659,-5.3329,8217.5429,4094.24,5445663.3269
Physics,-291.1501,47.0669,4631.721,7229.1268,8447636.0046
Physics,-33.4858,-6.0922,3419.0275,9601.8591,9662435.6202
Physics,-49.3755,9.9382,2101.603,9114.4679,5099014.064
Physics,287.5418,-41.3677,-708.7679,3668.8711,3701501.0405
Physics,-5.261,35.2233,-6328.7819,9648.2361,1886115.39
Physics,-159.466,13.8435,7201.2113,261.6329,356262.4771
Physics,238.6166,-9.6184,-5186.5604,688.383,5357936.5621
Physics,-23.9301,-48.2563,-8160.1406,8288.8061,5710733.6765
Physics,61.9527,7.7101,4658.4537,2114.4445,8264321.9667
Physics,-240.2829,-50.0,-6670.486,815.0947,5050269.7566
Physics,-50.1327,-48.4769,-3125.3707,2316.385,9317443.4411
Physics,247.7545,13.3004,-9403.47,4297.4582,6202500.6438
Physics,46.4926,-29.8907,-6836.3634,7042.8231,8026858.2319
Physics,-83.4267,-27.7806,-6974.7849,6271.0826,1581418.1589
Physics,79.4241,14.2436,-9160.8662,2475.8353,8327147.577
Physics,248.4103,-41.2817,3334.1576,5135.9376,6559010.2988
Physics,-147.0793,-20.4613,7224.9922,9475.2261,1702375.114
Physics,-4.0198,-37.0822,-3130.9678,7995.1175,1878610.6059
Physics,290.1549,4.4977,7424.0156,3125.3772,8982591.0692
Physics,-197.1804,15.2849,-5619.8162,10000.0,355251.9173
Physics,136.3027,21.1061,-3533.0141,7056.1386,4818577.3651
Physics,67.3063,-23.425,-7975.977,664.5012,2909084.5853
Physics,93.6081,-40.5872,2611.6199,338.2061,6905271.0662
Physics,-78.0625,-44.5176,-994.8736,1519.7442,8084259.7107
Physics,-105.6336,-8.1703,2312.3316,7603.2648,4027246.0444
Physics,138.1934,43.8415,4821.0557,1731.8498,4186768.7871
Physics,-182.861,-31.7791,708.8094,4889.4111,9848301.2444
Physics,-38.3363,-26.2877,3260.5723,842.4541,7460758.3823
Physics,-202.8337,-41.4527,9068.9913,8808.5205,8959614.096
Physics,-293.1289,13.4243,-3762.7032,3309.3493,4433318.6421
Physics,293.7525,18.3702,-2674.1562,8887.695,2323529.619
Physics,-65.8438,15.6175,4089.6124,9572.2422,4006018.4385
Physics,279.1506,33.1158,2145.8819,0.001,6971606.2746
Physics,-222.5644,1.031,-6460.511,4818.9132,1320409.3723
Physics,43.9966,-33.9521,-2257.2241,526.2583,2710852.4832
Physics,-174.793,-25.0562,-39.6722,9243.1628,774509.4799
Physics,187.4927,14.8324,-1164.868,5140.9983,4218180.9124
Physics,168.6224,12.3037,-7002.2576,777.6639,8187498.4211
Physics,-229.9699,4.3891,8578.1998,797.7712,409755.7319
Physics,248.6104,16.9395,5541.0806,3808.335,6428640.2757
Physics,-183.2006,13.1281,-125.3392,9230.2543,9082266.0731
Physics,54.7143,36.9377,3349.5271,7067.9571,2588775.6094
Physics,300.0,8.8225,9111.2971,9190.7392,6701961.6214
Physics,232.9803,30.2545,-7787.351,3764.5314,9387208.8079
Physics,278.6769,-26.6714,-5425.8144,33.91,9996486.0391
Physics,-104.1189,19.8199,947.463,9670.9304,2070528.4007
Physics,-242.1653,38.6561,6826.9286,196.2291,1040134.4118
Physics,-189.1055,-13.122,-9609.38,9493.9881,1496642.4175
Physics,-18.1126,29.5476,9574.0317,3540.6123,6458231.0215
Physics,155.6814,24.3228,-470.9505,149.9634,7204125.3499
Physics,-217.1168,-42.3446,-2822.522,6643.0725,6832048.2662
Physics,102.1092,5.5192,-4279.3528,9616.4213,3431645.7537
Physics,-113.6911,-37.913,-6286.6127,9785.4168,1878473.5343
Physics,-107.5044,48.3779,5940.4854,1406.2383,5730112.6565
Physics,87.3744,31.2238,9520.4588,1920.1212,4979305.346
Physics,-25.2645,-41.175,-1210.5173,5381.4969,7150475.6576
Physics,182.9737,-36.9082,9171.2151,6726.0138,4131507.3036
Physics,-180.4626,8.0178,6592.6454,7239.3254,3126851.2717
Physics,186.6244,-11.922,-293.3331,1765.7711,2642363.6826
Physics,-249.1616,-43.4197,3676.1758,9656.1936,2316620.3941
