Application,Price_USD,Area_sqft,Rooms,Age_years,Rent_USD_per_month
Real_Estate,4527370.287,18059.0448,7,194,5937.5774
Real_Estate,3958734.0884,10401.2162,14,12,29200.5339
Real_Estate,3113736.2422,12926.1491,17,107,14299.1056
Real_Estate,3850476.4036,8672.2417,8,111,25663.214
Real_Estate,2241964.4886,10320.6224,16,99,47961.2905
Real_Estate,2852889.5368,17911.673,12,145,29718.481
Real_Estate,310488.5625,17835.9444,12,112,46625.5619
Real_Estate,271867.3981,17098.3161,5,96,18465.0622
Real_Estate,4141617.9595,3463.2079,5,50,31958.0566
Real_Estate,208840.3789,17013.0284,14,117,47256.8069
Real_Estate,782262.0878,19050.1657,6,35,29431.1907
Real_Estate,3857211.4847,6643.6462,7,80,30663.473
Real_Estate,10000.0,10170.9337,17,102,35632.7242
Real_Estate,1359654.5563,15509.0757,9,33,44626.3303
Real_Estate,2687071.4335,11411.4511,13,139,4367.5004
Real_Estate,3051177.3048,19713.1313,9,132,17160.4321
Real_Estate,4109581.1335,8812.3435,16,47,19622.321
Real_Estate,2595074.4818,14025.3772,4,103,44454.7892
Real_Estate,2531663.5181,16371.8006,2,90,50000.0
Real_Estate,3623836.0817,10080.1229,13,123,5966.4496
Real_Estate,2456121.6821,17410.6934,13,39,9194.6284
Real_Estate,3055356.672,10657.9069,19,140,47170.837
Real_Estate,4486199.1928,7180.9717,12,25,15423.1887
Real_Estate,1929303.8946,2127.7594,4,141,11819.6549
Real_Estate,2099726.3651,7646.4269,10,95,1236.9978
Real_Estate,10000.0,14870.1507,16,138,13529.6335
Real_Estate,3142686.533,19742.6175,19,165,33860.1647
Real_Estate,148462.2948,5458.5379,8,79,20406.7502
Real_Estate,2715403.9789,8317.1035,6,56,27650.4905
Real_Estate,4057144.8943,3473.6605,4,149,46667.8679
Real_Estate,2718187.5693,13626.8784,7,110,7275.4416
Real_Estate,1330763.286,19349.5057,14,143,4732.2485
Real_Estate,3936963.1111,13595.9868,13,75,42003.1707
Real_Estate,1241837.339,13142.6221,5,28,37215.9009
Real_Estate,3591295.0083,10931.267,9,129,12763.8396
Real_Estate,2877052.2833,2051.6844,3,181,16337.2346
Real_Estate,766168.4263,14078.1861,10,1,16691.5767
Real_Estate,4535989.9023,12447.1497,15,2,32353.4994
Real_Estate,1041169.4479,13912.3685,20,183,6070.9142
Real_Estate,4750502.3964,18012.2202,17,71,24063.3459
Real_Estate,32785.6104,15458.1395,6,10,7327.4214
Real_Estate,1381010.365,15804.7338,3,159,40397.9478
Real_Estate,991044.2465,18723.5524,18,3,19469.9932
Real_Estate,16575.0099,19832.845,5,136,26276.7832
Real_Estate,3623382.1395,11780.1693,13,87,1266.0023
Real_Estate,3416226.5697,2287.0253,1,112,2342.1292
Real_Estate,3900285.6023,9685.1703,17,183,33916.3837
Real_Estate,1308273.3347,16086.0488,3,15,39185.5255
Real_Estate,2457539.7689,359.6526,19,85,34542.1862
Real_Estate,3224755.2212,926.1774,20,198,36815.5565
Real_Estate,2172694.1997,1428.9918,12,9,5768.4025
Real_Estate,3484496.1395,14966.2955,8,163,35370.0777
Real_Estate,3104929.3356,10181.73,8,23,10989.4566
Real_Estate,691696.4703,7249.4917,15,63,5523.9706
Real_Estate,3670790.8139,2394.7789,11,55,37470.5614
Real_Estate,3553175.3267,14567.356,20,88,43908.402
Real_Estate,3364281.3051,6904.8649,1,21,35269.982
Real_Estate,754566.4833,5585.3077,16,179,39653.0532
Real_Estate,1265382.5514,12991.07,14,49,49770.3736
Real_Estate,2015940.9117,11360.0971,7,46,7201.1875
Real_Estate,1497301.867,7896.4897,6,22,49083.0903
Real_Estate,1167794.7679,12675.8784,4,82,30744.1601
Real_Estate,3948772.9822,5729.6383,8,18,41916.8563
Real_Estate,3240308.0006,15909.7369,19,179,31857.6987
Real_Estate,2791581.4163,4909.6008,3,161,30158.2353
Real_Estate,1211873.678,3085.7787,4,28,34566.7425
Real_Estate,4739231.2824,15735.9931,13,60,16394.5047
Real_Estate,703966.8049,14654.9602,2,84,46022.7987
Real_Estate,3987889.6886,3445.197,11,34,5784.9921
Real_Estate,4660470.36,1975.2215,16,4,16607.2741
Real_Estate,3881883.2196,16288.8855,10,75,169.5778
Real_Estate,4917646.4597,15113.0676,15,6,12772.6927
Real_Estate,3333233.1233,6915.444,10,168,11698.2207
Real_Estate,1091602.492,12675.5882,2,129,2526.911
Real_Estate,946911.4325,2540.4051,6,137,24357.7533
Real_Estate,1537554.8843,10484.3862,14,101,22338.5507
Real_Estate,203829.5824,735.8568,2,43,3684.0237
Real_Estate,3507077.9841,7801.0359,10,69,13809.7
Real_Estate,1544621.9372,1757.4937,17,90,47105.5323
Real_Estate,4083298.572,9650.3437,8,162,6943.9937
Real_Estate,1831005.9045,8460.4972,16,61,16361.4896
Real_Estate,2378317.1841,8915.333,14,200,1491.624
Real_Estate,4800136.8898,1982.789,10,19,6893.1614
Real_Estate,1114458.5781,7680.4907,13,162,32223.1717
Real_Estate,3617442.1632,16160.718,1,164,17291.705
Real_Estate,3699270.9585,7307.7072,10,71,21494.0267
Real_Estate,1156883.3165,14326.7579,12,119,6461.5354
Real_Estate,2526941.2345,6988.1569,17,181,34086.9611
Real_Estate,1786218.2753,8259.5525,14,94,37900.2723
Real_Estate,4028990.1225,12118.2214,5,126,10909.3876
Real_Estate,3112427.5106,18816.7768,19,112,2363.8477
Real_Estate,2460676.7986,3115.4722,5,106,2061.4894
Real_Estate,4103763.3371,359.3212,15,79,32122.4393
Real_Estate,1313826.6779,11820.3785,13,27,7428.7083
Real_Estate,3885659.52,18856.9948,17,197,24639.9144
Real_Estate,4297610.3334,19771.2731,1,159,8530.4157
Real_Estate,4417240.145,10151.9947,14,138,8035.6598
Real_Estate,3788967.2552,9646.5212,4,169,1418.6924
Real_Estate,2095782.3505,12805.4218,9,150,16320.9556
Real_Estate,4936613.1591,11148.7751,17,29,4806.5795
