Application,Speed_m_s,Stamina_min,Agility_score,Strength_kg,Accuracy_pct
Sports,6.5503,184,1.5068,207.1288,46.6718
Sports,2.7257,71,87.3597,106.1828,39.9666
Sports,9.9301,117,51.8609,86.2441,64.6997
Sports,6.6881,48,37.4218,297.0395,88.9734
Sports,2.7479,164,50.6231,229.5624,18.3388
Sports,9.1294,14,67.2079,193.6859,39.3887
Sports,11.2138,68,3.3034,110.4844,10.7785
Sports,11.1911,236,89.5799,27.9761,60.4254
Sports,5.1847,211,44.8625,10.4085,72.6562
Sports,2.4178,73,32.2239,168.5321,90.0241
Sports,6.5883,72,12.1633,221.269,32.0683
Sports,2.4264,32,47.4708,166.4688,96.6656
Sports,11.2803,185,49.9633,242.5791,6.2996
Sports,3.133,120,43.857,24.8558,59.616
Sports,3.5645,55,68.8632,108.7332,4.5139
Sports,5.1639,185,43.5971,68.4695,85.4494
Sports,5.2384,8,98.0192,137.6002,49.5152
Sports,9.6711,83,57.4815,40.9136,70.7371
Sports,6.1573,21,81.3617,290.8231,86.3046
Sports,2.8609,112,8.4616,63.5946,13.8795
Sports,3.9844,199,39.1593,269.6791,5.6752
Sports,6.2431,78,34.9651,131.2145,88.901
Sports,3.0374,179,54.8976,300.0,32.7419
Sports,7.6921,238,87.23,165.231,10.0475
Sports,7.3767,188,4.8371,274.5424,43.2298
Sports,8.6778,27,9.5441,20.4103,62.1958
Sports,11.3825,22,83.7029,228.1197,0.0
Sports,10.7482,133,19.2308,277.9921,27.1932
Sports,11.5063,39,64.0046,46.3018,2.5446
Sports,3.6136,68,53.1291,37.287,41.1132
Sports,2.4536,190,79.4741,140.7567,90.1389
Sports,4.4786,227,11.4121,279.9268,96.9101
Sports,10.5748,63,15.1773,173.8058,64.4962
Sports,11.542,240,55.3044,165.2085,16.4461
Sports,10.5532,5,92.2828,44.8967,94.7824
Sports,2.6718,135,41.9523,10.1343,48.854
Sports,11.3913,71,32.97,250.6327,15.4335
Sports,5.787,41,64.5822,39.2792,93.0354
Sports,1.0789,215,94.6263,193.583,75.2341
Sports,6.2936,33,84.304,264.2668,70.4964
Sports,1.1224,93,100.0,60.0923,73.4323
Sports,7.0035,165,1.9881,193.746,20.7079
Sports,4.3665,104,11.135,29.862,18.5669
Sports,5.6563,193,64.2647,182.9017,69.7066
Sports,7.8103,225,78.7865,48.9828,25.3754
Sports,10.5875,126,30.4603,229.3571,43.7945
Sports,8.2183,94,23.6995,90.0272,78.1958
Sports,5.7512,136,78.1146,136.4342,81.5313
Sports,10.6953,18,4.5324,184.3466,43.3854
Sports,10.9046,223,37.2456,65.3179,82.6741
Sports,2.4296,165,50.4939,236.9931,85.808
Sports,6.7084,154,55.2055,101.1445,63.6291
Sports,4.1946,180,71.4562,211.2509,21.506
Sports,1.4653,135,31.6739,48.8722,26.3516
Sports,8.2637,219,59.8208,222.0806,27.817
Sports,10.8906,89,57.513,36.3779,12.2014
Sports,3.0509,237,55.0641,130.4311,25.5581
Sports,9.9666,155,67.9745,84.9415,21.545
Sports,9.8804,200,24.713,217.7186,42.951
Sports,10.9783,25,6.4174,80.6133,92.6898
Sports,4.5128,233,10.4982,259.3997,11.9233
Sports,10.8927,175,22.7649,266.8286,70.615
Sports,4.77,227,51.1971,75.2132,69.4476
Sports,7.3929,217,85.501,188.1129,9.7413
Sports,1.6038,30,71.7848,32.7523,95.2218
Sports,1.2975,45,80.8425,106.8167,54.7823
Sports,8.3883,126,34.5398,219.5705,36.068
Sports,6.0398,231,44.5717,205.8148,74.3725
Sports,3.64,42,38.6587,181.3031,25.8262
Sports,3.1333,92,19.406,91.5484,70.4175
Sports,8.0945,15,8.7133,120.7467,2.6675
Sports,1.0,237,60.2245,45.4491,83.2126
Sports,9.8722,33,94.44,214.313,46.7492
Sports,1.9308,64,16.6942,151.0507,66.3839
Sports,2.8611,199,6.3924,212.8943,23.1108
Sports,5.5119,197,75.2662,89.6434,67.4314
Sports,6.2021,65,26.76,110.1414,76.7578
Sports,4.5366,151,83.7447,106.7986,48.4176
Sports,4.5038,178,72.7615,23.38,62.2282
Sports,11.6106,181,93.1835,95.1655,42.3346
Sports,8.0927,26,42.8845,247.5499,90.5539
Sports,1.5574,82,66.5162,263.7277,48.0658
Sports,5.6799,117,50.0176,170.5321,81.347
Sports,10.5988,189,68.631,135.9229,76.7985
Sports,4.0733,127,48.0366,13.9931,40.6183
Sports,2.2206,146,19.8243,268.2313,20.9754
Sports,9.3828,48,55.4317,17.5949,35.9555
Sports,7.5737,148,54.0654,281.3888,81.9048
Sports,6.8544,101,79.2445,154.0269,21.7821
Sports,1.9071,81,73.4735,112.0342,52.1438
Sports,2.2754,234,67.9025,280.3034,79.3519
Sports,7.718,144,12.9906,14.727,39.0064
Sports,3.3649,59,69.8111,181.5434,65.2556
Sports,6.2815,55,47.8435,177.3474,23.5639
Sports,6.6651,106,88.7273,66.4951,10.8007
Sports,3.6513,171,93.0562,129.505,82.2677
Sports,11.5913,165,6.8408,199.3146,11.8101
Sports,10.1472,165,82.3468,214.7419,24.3457
Sports,9.5901,33,2.1009,10.0,83.5624
Sports,1.6392,73,40.1908,288.0276,33.0832
