Application,Open_Price_USD,Close_Price_USD,High_USD,Low_USD,Volume_shares
Stock_Market,728.419,1399.1326,264.3791,1367.8127,1117271
Stock_Market,717.8279,1129.3338,1680.197,1061.874,2529268
Stock_Market,825.5214,893.8356,1865.2144,1460.2158,3100555
Stock_Market,1386.5572,1072.1611,1191.1215,296.1977,1682641
Stock_Market,1181.6294,273.3805,1936.5874,442.9132,517409
Stock_Market,948.539,400.6327,1707.5798,1628.3854,667165
Stock_Market,156.0047,178.0198,1304.5989,681.6712,2789363
Stock_Market,144.8077,329.7793,1202.7608,26.248,4477321
Stock_Market,33.3042,909.1983,764.7402,313.7004,3711388
Stock_Market,1955.9477,1085.4163,297.6981,505.2023,3236192
Stock_Market,10.0,60.8102,1261.8767,1872.56,2768891
Stock_Market,237.9015,1636.675,695.3519,1061.1918,3264050
Stock_Market,735.6147,630.1708,1801.4714,1875.9589,1741687
Stock_Market,1635.4771,1855.125,2050.0,1141.0682,1936090
Stock_Market,1856.9561,2000.0,1534.9648,1001.1494,746182
Stock_Market,1589.1865,392.8898,148.5805,626.8791,3938270
Stock_Market,1311.3484,1032.7978,580.675,1189.2483,417978
Stock_Market,1173.4497,28.8576,208.6725,282.4358,1034316
Stock_Market,271.5232,1197.3738,1333.7692,1836.3643,4820075
Stock_Market,1890.2555,1203.6879,1615.5948,1678.9078,2622038
Stock_Market,1429.8233,562.6916,1844.8536,542.9429,3381355
Stock_Market,1246.5501,1186.5333,909.757,1908.6346,4737905
Stock_Market,1513.2779,482.6963,1805.4195,1657.2132,1771485
Stock_Market,1380.8434,375.1578,1770.7041,1331.5606,4743297
Stock_Market,1275.3437,1255.6904,679.8759,226.5546,3869452
Stock_Market,1953.8822,596.9502,1734.0075,1006.2196,4006605
Stock_Market,1812.6751,1234.229,806.3286,1063.5426,2202044
Stock_Market,1306.0031,867.1139,560.445,383.3375,1313743
Stock_Market,1350.9871,1998.6815,1361.3251,136.1163,2742094
Stock_Market,78.7098,279.1174,616.6768,1545.8244,1928205
Stock_Market,1344.9503,1000.4993,1270.4191,289.0364,3735445
Stock_Market,72.7757,1302.8,1331.4339,1190.6458,105195
Stock_Market,1216.7632,741.9884,1229.1241,1841.6357,4102036
Stock_Market,2000.0,2000.0,769.2252,1777.1276,1339486
Stock_Market,1190.2822,1342.6847,1144.8498,552.2224,2166251
Stock_Market,984.3433,1332.4649,1275.9563,1695.3138,1478852
Stock_Market,676.509,1512.2764,1150.9981,9.0,3215850
Stock_Market,255.1161,1876.4799,905.4583,66.9395,1721023
Stock_Market,1471.0001,1808.6015,10.0,1193.415,2671308
Stock_Market,462.1786,1417.5963,1243.0245,760.7748,3563169
Stock_Market,224.3552,1562.2134,399.7592,773.6089,4028446
Stock_Market,871.0695,372.2039,1390.8556,1087.5981,487275
Stock_Market,1582.134,187.2645,1490.2227,388.4192,299871
Stock_Market,1481.9867,1157.0658,979.7809,389.2219,1158655
Stock_Market,72.6943,10.0,1163.8284,973.0467,2950281
Stock_Market,886.1839,1012.5967,1887.7138,1539.8942,1295929
Stock_Market,1012.6997,470.2666,1788.7543,1196.678,2505594
Stock_Market,1316.3037,686.8215,1866.2732,614.0161,1244294
Stock_Market,1345.2332,1554.5234,1648.8299,830.7203,3568675
Stock_Market,731.9763,1879.3308,240.5749,355.9518,897816
Stock_Market,1134.8868,89.6938,259.0524,191.3821,3808085
Stock_Market,961.2448,1134.673,1117.9324,1478.8501,2415802
Stock_Market,1738.8778,1735.7169,580.9193,491.7924,444031
Stock_Market,1099.5457,143.938,1017.9783,347.3882,1091668
Stock_Market,913.6249,1644.7962,804.4477,1395.0669,2791373
Stock_Market,739.6027,761.6475,1068.0532,1229.8419,3684444
Stock_Market,1137.8635,627.4346,1472.4433,1264.6922,3917643
Stock_Market,1574.8095,1877.4611,1415.352,544.732,3288058
Stock_Market,1065.8596,374.4071,1072.8167,422.8752,3204503
Stock_Market,1300.0106,1406.3367,1692.3093,492.6155,1786516
Stock_Market,1476.4854,1731.8191,924.3912,340.1715,4159179
Stock_Market,1032.0039,41.8103,1766.0192,1333.0924,291998
Stock_Market,845.3905,1292.4663,208.9091,1777.7213,4856920
Stock_Market,1798.6382,1843.3831,1985.8382,1474.8488,1829022
Stock_Market,863.0128,192.0561,1332.239,1596.8935,3049593
Stock_Market,901.2513,1841.4669,736.8097,876.4468,1410854
Stock_Market,1958.6685,1253.0941,463.1594,1352.6715,182360
Stock_Market,30.046,1244.1178,975.29,680.7612,2445026
Stock_Market,398.6098,1211.1439,406.0822,1064.3507,2516419
Stock_Market,750.0577,675.9709,364.9678,897.3079,4139286
Stock_Market,1856.5411,1877.9732,1232.1391,338.843,1292210
Stock_Market,222.862,1938.587,1065.5799,790.2126,2644061
Stock_Market,10.0,1233.8016,1412.3008,1899.2354,3585197
Stock_Market,190.8909,1570.7721,1937.5711,513.5385,312955
Stock_Market,230.1273,1179.1472,1127.3536,274.2026,2128599
Stock_Market,153.4891,998.997,1147.9701,861.6076,2226198
Stock_Market,939.7278,1332.6314,183.1853,1561.7616,4934594
Stock_Market,1158.9983,1074.8693,1457.8041,1127.8037,1566070
Stock_Market,532.7804,1163.9089,843.1539,1420.1272,3832342
Stock_Market,847.4367,1634.1419,2016.2143,366.0449,4836451
Stock_Market,169.8879,1045.471,1695.6164,1264.4467,4383794
Stock_Market,708.4796,82.6179,1176.4633,708.4798,4699713
Stock_Market,1076.8095,339.0556,249.5093,1672.3877,3791328
Stock_Market,1465.3093,898.7529,1746.569,1224.7749,4711899
Stock_Market,68.3459,1458.2965,1594.358,396.8342,3897892
Stock_Market,944.2341,1123.9875,323.8095,177.7455,4858993
Stock_Market,634.2323,1321.1147,562.5788,101.8617,2264089
Stock_Market,1687.4262,880.6671,1599.2286,698.7492,3463092
Stock_Market,1405.1583,1206.1658,441.317,560.6791,4438610
Stock_Market,1211.4256,684.8607,1883.813,1322.7008,3240536
Stock_Market,578.9061,969.5431,883.9238,986.564,2327133
Stock_Market,1831.2585,1458.8744,183.6315,561.5532,1740461
Stock_Market,86.0716,1726.7014,1689.0315,315.1184,2151224
Stock_Market,289.4991,849.3394,829.1643,253.7768,4003713
Stock_Market,744.9039,92.7935,1002.706,1674.8363,588100
Stock_Market,211.0113,330.6619,288.809,535.3636,3416871
Stock_Market,1950.7655,78.1187,10.0,1333.4532,2382732
Stock_Market,1632.2306,1289.4209,1312.6405,1642.2142,1878971
Stock_Market,539.4552,686.1673,1150.3872,1289.9141,4964401
Stock_Market,1169.7624,1109.7117,1248.5895,1753.6396,2350316
