Application,Calls_count,SMS_count,DataUsage_GB,SignalStrength_dBm,Latency_ms
Telecom,648235,717039,5041.2114,-77.3706,752.3784
Telecom,851215,480853,695.5151,-90.9049,926.3687
Telecom,100229,404655,4575.4924,-94.3416,459.2736
Telecom,836621,953406,5153.4774,-78.9665,646.5855
Telecom,355698,2598,8297.3302,-84.9657,66.2545
Telecom,19567,616585,1012.3862,-61.3284,897.1155
Telecom,419194,921556,3667.9445,-49.6592,555.4222
Telecom,338233,12741,8234.1768,-92.8945,767.3899
Telecom,664990,69360,6510.2652,-101.094,806.6263
Telecom,405219,298432,2598.7535,-56.9596,240.0311
Telecom,303588,132321,8342.0581,-58.0014,517.5638
Telecom,86184,154042,5036.3778,-40.033,918.8196
Telecom,686967,15565,5072.2975,-117.8939,84.6683
Telecom,286965,319139,10000.0,-42.9245,661.6319
Telecom,538889,739354,9447.0648,-72.292,963.8843
Telecom,701264,575944,3307.8695,-65.9167,282.2734
Telecom,112882,979638,1617.1374,-111.1285,863.6752
Telecom,858089,570053,3543.8852,-81.4753,930.8331
Telecom,693917,657374,484.4815,-99.0344,780.7465
Telecom,707883,725840,174.9521,-98.4236,242.0314
Telecom,343990,230324,4164.0986,-75.6846,297.9108
Telecom,312646,114794,10000.0,-44.766,11.501
Telecom,123409,633275,8736.6039,-54.9525,832.7248
Telecom,22098,407228,4852.081,-68.57,831.1832
Telecom,176974,784419,5535.0068,-71.5452,573.7696
Telecom,118502,234068,184.4302,-82.9319,380.1393
Telecom,744427,319642,1834.0507,-34.0492,92.1243
Telecom,694613,855208,281.6219,-69.3935,763.7137
Telecom,337660,123675,7621.4627,-99.8521,714.6654
Telecom,779942,61711,1763.4823,-101.1062,921.2349
Telecom,44280,42530,8952.51,-61.2809,716.7284
Telecom,795383,210339,6606.1601,-72.1185,832.9593
Telecom,8117,513207,1861.651,-120.0,727.8154
Telecom,25979,411234,1761.4138,-44.5413,661.3519
Telecom,467741,652524,6417.3497,-55.6078,396.1661
Telecom,16915,804348,9059.5587,-58.6454,926.8362
Telecom,321405,40376,6837.5578,-114.0386,652.0951
Telecom,488287,897145,3330.1117,-85.6573,389.1774
Telecom,753020,640416,5640.4714,-39.4848,87.7225
Telecom,643113,720406,2704.6153,-44.2683,306.0664
Telecom,765272,189814,9990.9126,-94.0062,571.4906
Telecom,361046,609854,7328.8275,-105.2714,282.6163
Telecom,335108,339269,6668.8775,-81.2233,204.218
Telecom,463656,611807,4198.837,-87.5083,528.9776
Telecom,297821,12437,6440.2735,-59.7225,206.9501
Telecom,505071,62146,3102.3408,-33.5194,827.5363
Telecom,311974,27618,182.6305,-85.4853,503.0409
Telecom,970040,181839,3970.2648,-112.7637,590.1867
Telecom,533210,9705,9123.1774,-41.0094,162.2109
Telecom,96696,712506,6178.5708,-118.4876,348.4037
Telecom,67561,219288,795.9668,-34.9912,401.5562
Telecom,275364,867344,8803.1545,-60.236,781.33
Telecom,963462,313894,3059.7722,-36.4322,771.7681
Telecom,53380,484172,2513.3402,-100.1575,207.4192
Telecom,395982,568667,3066.8118,-115.7117,595.4836
Telecom,739378,52682,5879.9533,-75.3301,229.8217
Telecom,645737,195785,5569.4062,-81.7237,1000.0
Telecom,426375,105894,4897.5601,-88.0646,954.8915
Telecom,273079,187991,7111.2194,-38.8872,570.9324
Telecom,265928,60384,3198.7405,-44.4662,674.7809
Telecom,481802,130512,8052.006,-58.7759,764.7908
Telecom,675581,837560,1978.4644,-106.1211,704.9127
Telecom,946683,919339,7778.1282,-51.6197,728.864
Telecom,18069,21283,6791.6698,-54.6825,965.2743
Telecom,383329,573794,6793.1662,-81.6315,608.8196
Telecom,35682,239173,4822.3081,-36.1581,651.4229
Telecom,973772,708985,6575.3107,-99.2362,837.6043
Telecom,373691,691323,761.6414,-93.5196,697.9525
Telecom,94303,911439,8783.7772,-113.0478,720.5562
Telecom,913513,243244,573.9566,-50.0525,263.031
Telecom,864250,140251,1514.4716,-63.7832,380.7329
Telecom,937614,880872,5478.4535,-93.119,112.4089
Telecom,373413,523743,7332.2658,-103.777,491.3144
Telecom,686592,893081,714.2527,-116.1339,420.6086
Telecom,830705,492426,9041.8194,-107.017,1000.0
Telecom,987991,11955,9740.4096,-79.0584,611.1032
Telecom,55210,769432,5973.6653,-99.283,742.1361
Telecom,335335,400414,4828.4337,-96.4194,342.1881
Telecom,815893,460372,7438.2503,-42.7445,820.9812
Telecom,791042,306732,3092.4227,-73.5881,585.8234
Telecom,319117,404982,4852.904,-53.0165,730.8211
Telecom,662943,96626,9176.9851,-116.8815,297.2799
Telecom,25583,708930,9793.4141,-87.8389,543.227
Telecom,673061,856306,9322.035,-76.5089,626.4224
Telecom,269024,704039,2492.0936,-101.9676,559.2703
Telecom,493869,377261,2404.4914,-111.1757,889.2136
Telecom,89257,922805,3318.1548,-41.2035,924.047
Telecom,445061,670504,4596.4524,-33.0796,961.5449
Telecom,760872,407000,3251.1794,-111.8748,668.2015
Telecom,747750,592247,3887.246,-88.4844,931.0965
Telecom,112024,532560,6494.3603,-32.6028,806.31
Telecom,334561,132645,7840.3821,-111.701,283.7454
Telecom,528010,24419,7468.9341,-60.7158,435.5549
Telecom,20077,737699,8357.9641,-36.1432,274.1865
Telecom,80868,491986,105.5138,-34.7561,32.0252
Telecom,774440,48555,176.8848,-75.7812,184.2511
Telecom,651718,136248,7925.2493,-108.0621,14.5061
Telecom,236600,167233,5344.5244,-101.0896,713.7929
Telecom,275373,718800,5672.6247,-40.5696,467.1639
Telecom,335482,763421,691.0391,-39.7417,336.2195
