Application,Temperature_C,Humidity_pct,WindSpeed_kmh,Rainfall_mm,Pressure_hPa
Weather,24.9013,22.532,118.2475,274.9191,1029.6036
Weather,19.0551,13.5625,18.8694,56.8131,972.2857
Weather,-17.4342,8.5171,96.8745,320.2656,970.9355
Weather,40.3243,24.0007,26.385,126.9269,950.0181
Weather,36.2451,6.7163,91.0882,447.9175,995.4239
Weather,29.3652,54.7592,87.9779,422.2315,1046.1446
Weather,-19.7084,30.0043,38.4139,354.3971,957.197
Weather,-17.4171,83.5238,42.0645,497.2063,970.7209
Weather,-6.0459,9.0613,96.1262,21.1779,986.3292
Weather,-12.1283,20.2251,54.5598,366.974,1030.0818
Weather,5.5895,74.2005,83.8759,150.0245,1017.3206
Weather,39.0222,62.052,15.94,454.2444,997.0678
Weather,9.6294,6.8359,101.1807,141.5699,1032.0156
Weather,-17.9142,86.0867,83.6316,361.6227,1016.546
Weather,-0.257,89.5657,108.9761,433.7669,1051.2871
Weather,-18.896,33.2686,15.0642,15.1025,1037.429
Weather,-20.0,30.6917,71.5748,204.1752,978.1719
Weather,-0.6958,97.1105,74.7808,388.7484,979.7691
Weather,-3.6826,61.565,41.4398,241.0715,965.3312
Weather,31.4398,56.1433,51.6971,123.6763,988.9475
Weather,41.3289,86.4756,2.8737,115.1624,1060.0
Weather,5.8155,31.183,90.9038,64.5421,993.8398
Weather,11.1844,43.383,67.5458,427.6424,975.2951
Weather,35.149,28.6049,7.9035,291.696,1036.8116
Weather,-2.6933,76.6345,84.8125,42.269,1009.6118
Weather,-10.254,57.3485,55.5666,196.5778,965.8682
Weather,36.4672,66.7858,9.0605,173.2921,992.7298
Weather,-16.2395,23.0809,118.3166,83.3715,995.6769
Weather,21.585,22.4424,107.8371,232.6125,1029.9783
Weather,15.7132,52.2107,65.8699,163.844,952.8004
Weather,2.927,74.8741,9.3999,173.962,976.6293
Weather,-0.2179,54.3591,88.0727,380.0599,1007.7595
Weather,28.7957,0.0,60.2888,116.2661,977.8194
Weather,-14.4357,89.9711,32.1221,326.3952,1019.2089
Weather,-5.8083,6.0964,57.3011,294.2706,1003.8647
Weather,29.135,94.0451,66.4303,262.8796,995.1867
Weather,14.5203,2.1649,68.8603,326.6042,1056.047
Weather,-11.2082,66.475,54.8962,278.8771,1022.5401
Weather,36.5544,10.3166,71.1141,453.504,968.4114
Weather,5.9343,90.3969,106.5561,338.451,1012.6864
Weather,33.1302,44.9661,45.1685,265.0345,1036.509
Weather,29.567,13.4163,89.3186,406.7007,1025.5871
Weather,21.2166,36.3176,109.4583,311.9119,968.6732
Weather,11.8352,16.7454,55.2193,143.3944,1055.3754
Weather,44.0426,14.2388,50.8937,103.4755,998.4872
Weather,-11.1348,95.7408,78.1047,82.3142,971.6082
Weather,25.4088,42.6667,72.1203,420.7124,970.0737
Weather,-6.1645,74.568,96.3734,375.0714,958.8789
Weather,2.9449,66.9526,56.7713,461.3785,1041.411
Weather,-0.6716,68.5571,119.8938,304.0653,965.525
Weather,41.6481,13.0128,9.7036,219.6535,965.9806
Weather,44.2328,22.7272,0.8352,25.6328,1039.1384
Weather,-8.6981,81.4692,78.8842,348.268,992.1935
Weather,-18.9602,100.0,36.1755,271.9427,952.1656
Weather,27.1172,27.1651,28.5762,500.0,957.42
Weather,6.5725,25.0976,38.9669,116.8424,971.1911
Weather,-13.1112,46.9808,32.1736,270.2403,978.215
Weather,24.2244,99.2452,3.2877,332.0539,1021.0154
Weather,14.4126,22.1968,114.7859,326.7098,964.128
Weather,44.5248,41.3662,27.3096,271.9973,966.2229
Weather,-6.7032,90.0209,88.2716,384.8185,1034.4316
Weather,8.8779,2.9448,90.1799,87.875,1022.7141
Weather,17.3227,6.4208,109.4891,367.7316,999.2523
Weather,32.128,60.6295,4.6511,326.8878,1010.0657
Weather,16.2326,93.7673,105.966,429.7931,985.8612
Weather,20.3357,27.957,62.4031,415.9808,1003.2224
Weather,-5.9363,47.0201,74.5134,155.7558,1007.3232
Weather,35.4362,45.8829,75.3438,139.8521,990.6281
Weather,6.6609,43.7625,99.2931,499.6184,1052.8568
Weather,-10.1827,59.35,38.0793,262.1106,953.3016
Weather,24.3004,45.298,93.3449,450.0509,1037.4607
Weather,-6.4456,43.8596,62.4447,92.9718,961.2232
Weather,-14.4321,45.2366,89.3868,328.0294,1041.4694
Weather,34.4529,59.0148,118.7931,410.3199,1017.7201
Weather,11.8059,52.8733,23.9028,474.8228,1044.3623
Weather,28.0331,87.5554,120.0,178.5016,960.0164
Weather,-1.3702,4.0001,11.469,355.9275,1012.0618
Weather,31.5433,78.7583,0.0,261.4796,1005.7733
Weather,-12.3573,84.644,4.6121,37.7755,1021.4774
Weather,4.1088,28.4624,41.7997,328.7495,1010.0533
Weather,43.0809,44.5611,70.7534,345.9701,1013.8046
Weather,30.1291,44.0438,11.4962,462.1378,998.4431
Weather,10.6139,19.7005,0.0,234.5987,981.8648
Weather,1.3325,40.3394,115.8518,105.8128,1004.479
Weather,35.4514,9.7046,99.5731,21.1922,965.365
Weather,15.0204,24.171,98.613,218.1607,1056.8939
Weather,30.9975,80.6357,108.8895,144.4288,1028.4221
Weather,28.5265,27.1032,85.3796,392.678,1054.2387
Weather,-19.3245,80.9541,14.1434,177.7657,974.3981
Weather,-11.8148,55.1998,47.4974,487.6394,1048.2626
Weather,22.3486,89.0719,87.6711,475.1102,1035.8712
Weather,-9.5823,59.1755,32.2301,309.9662,1023.6686
Weather,-2.6898,3.0278,81.6646,468.015,1022.2636
Weather,42.6816,64.8978,7.6551,378.6321,988.4157
Weather,17.716,2.256,34.7968,282.9601,1036.5533
Weather,31.4713,46.5522,66.266,68.0783,1002.6776
Weather,17.0089,93.2843,76.1231,253.523,957.2027
Weather,18.8182,19.0408,68.4991,289.015,986.3786
Weather,-14.8896,39.5738,84.9653,430.2455,1048.8622
Weather,5.0568,70.62,2.146,235.1435,1043.4542
