Application,EngineTemp_C,Mileage_kmpl,RPM,CO2_g_km,FuelRate_L_per_hr
Automobile,26.9858,13.8567,2724,383.2204,21.0514
Automobile,107.8043,5.6165,7317,154.548,31.39
Automobile,109.2057,15.2507,6170,153.8457,46.5998
Automobile,64.0128,20.6159,4109,229.3475,10.3974
Automobile,-19.9124,1.2564,5219,371.3006,26.2794
Automobile,-10.7013,13.3919,2488,174.7107,11.2085
Automobile,113.696,20.8271,1443,125.0324,42.0561
Automobile,118.6635,34.4401,5068,121.594,36.3925
Automobile,96.8109,14.5054,6182,202.1361,42.6839
Automobile,124.6534,6.1081,1493,338.7599,47.9825
Automobile,100.8311,19.2548,7522,159.2706,10.5859
Automobile,127.7223,10.7858,3959,227.5917,1.9035
Automobile,10.5086,6.7834,1621,262.3766,14.3489
Automobile,47.822,21.0002,6030,207.177,19.1596
Automobile,61.1816,32.5331,3946,113.4003,30.2519
Automobile,31.9089,30.0966,4765,367.9312,40.6539
Automobile,107.0435,7.1192,5609,257.8519,17.0533
Automobile,133.8189,26.7978,555,303.9826,24.0986
Automobile,52.9383,9.3083,2256,267.211,41.0737
Automobile,142.335,12.1022,6968,400.0,10.8206
Automobile,70.0111,32.3454,1157,212.6938,11.209
Automobile,64.7659,31.8517,5552,188.2963,28.4812
Automobile,82.5103,7.5881,759,171.5396,22.2739
Automobile,26.9323,2.4143,5236,164.6784,48.7474
Automobile,51.2198,11.0086,3109,164.3705,19.1618
Automobile,74.3899,22.4176,6983,390.6814,38.044
Automobile,143.8158,31.1226,4409,350.0362,28.6784
Automobile,84.2037,5.5619,903,157.3344,3.0597
Automobile,34.1937,14.8851,7175,151.5508,4.3618
Automobile,-16.7274,10.6382,7841,84.9557,10.6977
Automobile,148.3465,2.3344,1294,365.6064,6.6101
Automobile,61.3705,26.7775,2061,180.7995,16.1363
Automobile,142.7937,28.5862,1683,240.7022,28.7737
Automobile,72.8191,8.7596,7677,357.0963,30.823
Automobile,82.2803,6.1038,3141,194.0575,30.2272
Automobile,100.7585,5.5838,7923,326.5758,5.538
Automobile,39.1172,17.7229,3164,199.2642,28.9026
Automobile,102.5297,9.5193,7295,313.8492,20.9083
Automobile,75.9573,17.9093,5309,193.8746,45.8928
Automobile,96.1932,14.7542,6987,177.3423,45.4741
Automobile,128.6567,9.1153,4107,391.5664,37.7197
Automobile,12.1285,27.3162,5992,251.7282,34.708
Automobile,83.8738,5.8298,2457,187.5896,7.4722
Automobile,-12.6307,27.9094,2593,132.1217,4.5475
Automobile,-3.2395,19.3819,2252,57.1005,43.069
Automobile,94.2486,29.462,5499,287.9642,20.6066
Automobile,-10.2719,1.9088,6698,168.4135,23.8308
Automobile,79.2026,26.8561,5697,337.055,43.2978
Automobile,19.4678,3.9429,4062,172.0958,31.0072
Automobile,30.0349,31.9839,2194,168.0324,9.6601
Automobile,-3.7431,24.9885,1355,320.1078,11.9209
Automobile,16.3192,12.4514,1795,223.873,0.1
Automobile,112.4885,11.4609,5255,356.6193,35.0378
Automobile,83.7898,29.5213,4121,260.7425,24.855
Automobile,137.3794,30.8757,4706,146.1154,47.5234
Automobile,-15.0251,31.3845,1538,254.5966,36.1397
Automobile,115.6825,27.6593,6721,52.9115,5.9341
Automobile,94.5183,29.8488,5096,165.0244,8.6585
Automobile,21.2257,20.8243,7231,138.3731,24.8837
Automobile,97.7302,1.8234,5013,268.877,46.0676
Automobile,99.5679,3.8956,6459,102.0425,13.9901
Automobile,60.5499,23.8205,4870,144.5554,41.3825
Automobile,96.9893,15.5514,5816,167.65,17.035
Automobile,55.8575,19.6535,3947,50.0,14.9898
Automobile,37.0361,8.3581,6350,71.6596,44.3001
Automobile,54.9351,22.8372,7730,160.8536,3.1914
Automobile,130.7822,8.8315,3932,138.3213,31.9929
Automobile,46.1306,15.4404,7616,89.0184,3.868
Automobile,51.9235,16.7224,7634,101.8349,40.2463
Automobile,84.6648,6.5621,6364,340.3862,41.627
Automobile,111.004,29.975,5729,306.3899,43.8151
Automobile,101.1923,19.1773,4248,223.8756,8.7803
Automobile,-20.0,30.3851,2741,377.5189,6.5382
Automobile,90.9024,10.346,6138,65.414,25.3172
Automobile,59.3722,6.1898,6563,176.9009,13.2701
Automobile,64.2003,2.0436,4030,327.8585,31.2308
Automobile,79.0926,4.2898,7498,265.9823,25.7335
Automobile,102.876,5.641,5394,389.2414,6.3195
Automobile,127.0004,4.772,2463,380.9938,37.7085
Automobile,88.3391,31.5705,6944,108.7554,39.0519
Automobile,74.5253,31.6309,3515,378.9417,46.2363
Automobile,43.7685,33.0614,7211,381.2378,19.9334
Automobile,2.0296,32.9917,7315,166.6764,15.9243
Automobile,144.3796,17.6022,4067,399.4434,9.8717
Automobile,54.9611,20.4006,6792,63.2731,9.9399
Automobile,76.8896,4.2449,4370,289.9802,17.1031
Automobile,105.1296,5.3006,5364,144.6417,49.5893
Automobile,-9.0691,27.1734,1984,92.0753,3.3803
Automobile,120.6763,29.8456,4734,241.1036,12.3237
Automobile,118.4602,27.3399,5456,154.461,4.3957
Automobile,110.443,30.527,6455,277.8749,13.7693
Automobile,-13.1483,10.0261,2839,241.5942,3.7708
Automobile,67.0025,17.1161,834,184.4586,25.0031
Automobile,-10.8052,16.1962,7342,117.8722,22.7827
Automobile,76.7965,35.0,2358,269.9144,9.2878
Automobile,98.1396,33.9083,1707,330.3321,8.5151
Automobile,-2.2854,21.298,6950,259.9833,32.3704
Automobile,100.8861,5.3023,1424,263.3487,18.0935
Automobile,61.0019,9.7083,5576,231.3427,3.7247
Automobile,118.0191,13.7317,3445,190.6906,46.7008
