Application,CO2_ppm,PM2_5_ug_per_m3,Temperature_C_env,Noise_dB,AQI
Environmental,724.2023,306.2463,-17.2873,96.1416,192.8918
Environmental,555.9119,472.3597,33.9659,33.6669,158.3929
Environmental,561.7884,344.6076,47.7866,24.1991,328.6543
Environmental,786.6989,145.8734,40.2454,62.7412,273.2375
Environmental,537.3435,491.153,30.9277,116.9968,63.4344
Environmental,706.2953,13.9782,-30.0,76.3849,449.2709
Environmental,492.9069,487.0755,2.0413,42.8334,305.3406
Environmental,416.9255,21.9374,5.4023,121.7274,225.5259
Environmental,607.469,383.5453,41.9873,44.0254,487.7584
Environmental,448.3884,32.2025,-22.4965,119.2273,30.984
Environmental,923.2422,465.3169,12.3336,69.94,394.4997
Environmental,509.8884,49.9493,-17.156,73.1389,169.0178
Environmental,716.862,30.5791,23.0663,54.7372,350.9696
Environmental,495.7964,452.0293,33.5945,131.7753,469.8369
Environmental,485.504,63.4374,21.3954,24.1351,267.8468
Environmental,527.5261,393.1403,34.1437,34.7132,0.0
Environmental,948.8177,382.0407,18.1855,100.6971,18.738
Environmental,566.3655,300.4968,-17.0354,122.3547,156.5457
Environmental,859.6349,171.6386,0.5559,28.977,391.7871
Environmental,422.117,473.0123,46.7614,111.5951,139.7113
Environmental,336.0956,438.5154,-4.3302,110.5064,154.5889
Environmental,862.0274,219.1916,-28.5878,90.0468,399.4533
Environmental,676.3611,125.3257,3.3742,73.8062,55.5089
Environmental,665.7298,142.2464,0.9818,63.5609,431.9825
Environmental,491.7435,100.4919,8.7217,62.8051,142.1864
Environmental,320.4434,277.3728,15.0711,100.1888,38.7248
Environmental,646.5721,439.2357,47.7614,31.3427,53.6033
Environmental,899.468,370.1076,33.62,87.9922,466.9883
Environmental,372.6679,414.4156,-25.1533,50.8233,237.6686
Environmental,959.0701,220.371,27.4182,73.657,129.2472
Environmental,494.1844,171.1781,36.3956,86.1658,274.1241
Environmental,671.5887,375.3179,41.4764,126.3434,329.3454
Environmental,347.9146,391.317,4.8715,91.0253,166.286
Environmental,585.6733,346.8876,-4.9809,44.2566,363.0667
Environmental,412.908,37.2708,37.6386,30.263,125.7115
Environmental,335.9977,314.9718,32.91,93.7925,52.9524
Environmental,978.8113,168.1776,16.7719,85.1465,263.7485
Environmental,809.8475,110.5698,-22.0257,103.5177,82.1973
Environmental,780.7089,347.4313,22.3969,76.3104,466.3219
Environmental,353.9409,154.4462,-22.7827,120.3978,2.3391
