Application,Sales_USD,Discount_pct,Footfall_count,Inventory_count,Returns_count
Retail,153880.6943,23.5729,17270,82328,3371
Retail,435600.232,91.0506,28108,72882,3041
Retail,288283.1032,20.799,16044,24124,1705
Retail,394065.7092,99.3524,6263,89584,712
Retail,237943.5357,73.4143,20752,86951,3456
Retail,380856.4744,38.603,11621,17511,2684
Retail,427890.5948,16.0836,42369,54588,4406
Retail,201802.482,32.6658,7056,77567,4973
Retail,18410.0414,20.6753,21337,11215,3599
Retail,127191.871,65.8052,14245,11851,4952
Retail,451398.7965,37.6593,32676,33550,2321
Retail,336574.9048,28.9535,48446,55958,3877
Retail,364966.1144,72.0073,260,1178,3522
Retail,158302.0548,22.3173,1352,67942,4626
Retail,359276.7664,61.5999,5243,46314,4112
Retail,317276.3593,21.4193,42459,84727,2765
Retail,87429.252,70.7451,45333,84684,4565
Retail,492142.4745,62.3541,19390,31146,4906
Retail,173712.9265,80.071,28194,68260,554
Retail,160201.3932,5.6178,49974,35303,2140
Retail,193294.124,19.8983,30847,75676,4977
Retail,57459.8627,14.1483,49683,54013,2678
Retail,312865.4515,20.0408,19204,88220,4916
Retail,135919.1307,8.1897,166,89776,583
Retail,403313.9043,59.0919,21310,85066,4941
Retail,205841.4257,59.3307,45291,88498,1996
Retail,248829.3184,82.1374,17439,1201,841
Retail,316924.3447,43.8258,1254,75547,2375
Retail,375722.3102,56.2391,4286,76087,4038
Retail,123551.8214,100.0,8009,55103,1804
Retail,481541.3121,55.9261,4007,86142,729
Retail,301751.4555,55.6072,14992,12664,4349
Retail,0.0,100.0,40526,69856,1463
Retail,193663.4648,100.0,9723,68624,4946
Retail,218655.0923,40.8467,28104,41456,2167
Retail,406213.4078,60.9547,14590,8664,4917
Retail,163419.2675,47.3003,15638,52534,1572
Retail,177418.2438,70.0421,45002,66696,4966
Retail,32074.6899,92.6235,46779,10714,1393
Retail,162848.9436,29.6435,25548,4312,256
Retail,347742.219,83.3196,40657,20845,127
Retail,303377.8401,62.8917,12016,84686,1382
Retail,28275.5243,28.2802,48183,50703,3728
Retail,45634.1359,78.2001,4744,35215,4651
Retail,196043.7493,43.8133,24681,87564,2700
Retail,388700.4885,13.3574,42564,96845,3147
Retail,433691.5442,100.0,44733,41078,2205
Retail,0.0,44.3495,37055,36264,4180
Retail,173073.5072,52.913,33770,34484,321
Retail,227401.5987,80.7875,46357,92995,2356
Retail,465545.7648,99.0269,30239,86857,4379
Retail,244369.5849,88.1726,30894,99976,3113
Retail,136534.3918,54.2801,30465,42162,1917
Retail,185508.3951,52.1356,12922,66991,3956
Retail,225691.4839,29.9959,84,79567,4709
Retail,320362.0342,42.5081,45783,88465,2696
Retail,27397.7059,91.6259,15373,97673,1516
Retail,187625.0865,70.8953,5156,39794,3293
Retail,326909.3658,2.0389,39962,29237,4324
Retail,139126.2681,12.8442,38551,65294,3045
Retail,292272.118,90.753,38463,68007,118
Retail,188107.1951,81.0225,45125,367,2371
Retail,394625.2467,50.5234,49305,13417,4415
Retail,21649.2104,62.873,9653,52328,3918
Retail,460847.3906,29.8202,22798,68910,3260
Retail,74941.753,83.1364,23068,6773,2585
Retail,74668.5222,60.6318,34787,14205,4796
Retail,413053.1386,67.4988,25673,55443,2441
Retail,422049.8971,40.1485,16155,87905,2699
Retail,57079.1483,42.2289,570,84117,1017
Retail,455393.9834,20.5578,40690,54063,4501
Retail,131182.3566,93.7324,16200,47119,3047
Retail,308728.8776,92.991,11769,33668,2068
Retail,46259.9785,80.932,38921,82112,3665
Retail,200607.0818,96.5968,19075,2770,4250
Retail,230945.3895,64.3998,24053,62537,4962
Retail,293219.5638,25.6042,10301,44308,4654
Retail,263829.3495,72.3229,5507,37948,193
Retail,219836.6358,35.7295,37637,50102,2446
Retail,478947.3315,47.4596,48359,3606,1399
Retail,102290.9063,25.3875,3655,80214,2519
Retail,90629.2389,42.5201,16347,33025,3927
Retail,350281.5456,69.2194,22053,50373,3687
Retail,45602.1443,9.8528,2492,14388,4897
Retail,247717.7914,14.2862,12304,82570,552
Retail,239620.5154,68.4202,39280,30920,729
Retail,162473.8376,76.9179,31403,35193,2560
Retail,477484.6614,55.3043,48011,15011,3997
Retail,149778.3028,16.6916,41542,97883,4266
Retail,133684.1334,43.1175,37118,31254,4945
Retail,114368.4828,74.918,10882,58266,793
Retail,76890.2042,67.0152,37424,98701,124
Retail,173970.5713,12.5815,8511,11106,174
Retail,356023.1476,93.5299,20699,21786,2551
Retail,374215.929,25.862,21178,56852,3848
Retail,402173.7808,22.4997,17821,16944,3456
Retail,93611.2991,49.68,16415,73917,2758
Retail,10864.6524,34.6483,714,41164,3839
Retail,494401.3565,95.7117,47857,76743,3755
Retail,15414.3199,7.7904,9231,28715,3642
