Application,Balance_USD,Deposits_USD,Withdrawals_USD,Interest_pct,Loans_USD
Banking,677130.7929,322427.2155,160532.7142,13.9721,396065.0924
Banking,887716.5158,429877.7913,451626.3522,18.5716,730029.0532
Banking,203122.8531,372100.8213,363141.3763,14.3858,277346.6026
Banking,806059.6384,222773.2198,350842.6129,14.6697,911934.9481
Banking,135109.3716,319128.561,401541.7709,6.0784,486200.2626
Banking,214838.7423,357092.4067,114389.0962,6.3006,646974.3521
Banking,54213.8695,253546.9857,312673.0961,15.8623,180498.5618
Banking,159109.2181,231516.8571,232482.0925,6.3789,849829.97
Banking,918618.8393,313904.4197,385187.8491,11.6972,2000000.0
Banking,447422.1538,285665.0322,160363.6436,4.9362,687958.2627
Banking,93259.7854,319924.0803,304912.6558,16.5964,1777063.8703
Banking,958523.7481,302562.4381,451011.8742,2.0568,1675186.9747
Banking,861536.6087,351461.6345,192294.0211,16.2197,1848890.7498
Banking,736279.4762,313705.0903,23461.5824,11.9468,1596701.87
Banking,903929.5036,263071.8251,256887.1634,3.7077,1340200.4266
Banking,209923.5976,327744.023,177315.9732,10.1761,1617627.63
Banking,858423.1339,234689.6695,337751.9309,5.9941,117915.8339
Banking,693547.7923,115497.1665,468089.8707,5.3624,898019.1393
Banking,859163.8954,0.0,237743.2661,8.1165,1983246.4853
Banking,813008.6845,266612.294,221764.6916,1.8671,1507065.8853
Banking,329845.5307,295203.9539,325045.6011,19.6148,1922625.3733
Banking,776305.5425,482741.273,62498.9639,0.6345,1550847.3147
Banking,258863.6955,180238.3611,126710.4651,13.3711,1743397.956
Banking,344174.7755,211783.7104,468083.8053,7.1889,1384403.4929
Banking,76361.1498,102676.7711,349525.3201,12.9973,1495444.6067
Banking,918072.6611,27320.5558,841.8368,7.0674,1003145.3373
Banking,258238.4502,379289.0473,100447.0037,13.4373,1863678.0993
Banking,515430.5307,130791.844,363130.5616,14.6573,1672921.9264
Banking,415561.3865,317439.3634,396643.0354,13.2856,1656945.2133
Banking,949819.1764,346705.698,403205.7411,2.2951,1406843.8058
Banking,324835.4922,242505.4711,149959.8849,13.2032,596575.8363
Banking,795980.3099,444273.4337,465519.8981,5.6513,132467.0157
Banking,876787.1458,236088.0646,284737.9779,0.4897,1845625.1719
Banking,433835.0761,122958.4098,340819.7235,8.7518,1091177.5865
Banking,391866.1115,454679.9509,289973.3477,8.5294,612373.8553
Banking,726206.7301,440619.5026,54609.3202,9.4344,308212.0199
Banking,940455.467,68632.7365,475838.0442,14.6154,1660422.0828
Banking,797905.859,4123.8273,69591.0316,6.1451,1647351.0898
Banking,237550.6814,36484.9507,115628.9665,6.3914,1627633.0472
Banking,846621.115,135985.7973,400587.8011,1.1725,1269715.0056
Banking,376417.0622,481312.7304,291408.3568,14.2314,719936.7925
Banking,588485.9182,281684.1047,429145.7609,11.2534,641805.8598
Banking,823005.9593,195287.6125,270578.3952,7.5018,24478.2294
Banking,213838.7385,455171.2169,185225.8834,14.0623,1691613.1729
Banking,796273.281,218189.9351,457943.2561,10.4034,165590.6547
Banking,582033.2879,149172.2842,22658.3778,9.6566,1247829.3022
Banking,893986.938,483767.9828,442809.9303,10.1046,962010.5924
Banking,154093.7374,431226.2725,119495.0001,12.9752,1038577.2533
Banking,417030.5395,422662.8361,417392.7445,12.1083,1720581.1084
Banking,821751.2281,260875.7383,53410.081,5.7812,39621.1439
Banking,42726.9395,394421.1616,278958.2192,2.631,1543509.4822
Banking,154521.6079,94922.5265,444786.154,2.7074,126651.7429
Banking,961941.4461,283250.8118,230216.5482,12.5665,65560.0968
Banking,241929.8529,494611.0108,375233.014,17.228,873542.338
Banking,970639.7453,130373.7548,396806.5688,8.1707,38958.8022
Banking,152163.237,390298.3217,357665.64,2.8435,1576014.4285
Banking,362018.6751,238469.0918,450894.5521,15.2586,991946.0756
Banking,767848.1668,16158.9413,239040.6604,17.1963,9745.4247
Banking,687661.2452,372244.5664,95452.5971,17.724,73514.751
Banking,585150.2911,78949.1359,41210.7114,12.4602,1276387.619
Banking,526036.0713,300592.6429,128629.4438,17.6524,1627071.9059
Banking,803872.7453,48319.1018,67298.8379,0.8029,876328.3024
Banking,235472.2658,472608.5636,292207.7799,2.8928,1108380.1275
Banking,443896.6722,128809.8675,92141.9886,1.6518,1571113.7524
Banking,168231.4284,104884.0467,21675.2713,13.9647,1199253.0115
Banking,581771.8337,67934.2163,17566.6706,1.705,466615.5171
Banking,241843.3723,467570.8772,386315.707,10.2106,1170689.631
Banking,304282.0192,348982.4566,311772.3158,9.7644,1280281.0801
Banking,425424.8605,370084.5176,183952.6904,6.9698,1452673.6791
Banking,4600.6439,253138.256,450412.252,17.4127,1274770.6581
Banking,60531.4196,223000.3681,34480.5451,3.5791,1976927.9992
Banking,692663.4666,60511.9063,491795.3146,6.6571,327653.2569
Banking,418607.2996,271917.615,302173.1058,16.3376,1878918.1286
Banking,854025.4794,123278.9679,97897.9205,0.4738,1042457.8732
Banking,674983.7427,488218.465,326463.566,13.3357,1271403.1624
Banking,0.0,393019.8088,383551.3142,16.1893,157621.8639
Banking,646878.5457,196259.4326,220287.1264,18.3874,858802.1166
Banking,73719.4556,72813.7639,428829.6118,17.2342,1563138.6888
Banking,772684.7784,408919.1487,79074.8816,6.1782,1490513.5489
Banking,962409.845,47410.1332,129505.4479,11.181,113442.7139
Banking,550637.4011,111590.0069,37087.9131,1.2317,1063514.8006
Banking,685648.0789,103163.0472,107806.0915,5.937,161285.5381
Banking,220786.8552,278799.0333,126149.9025,2.1787,2000000.0
Banking,429753.1515,382661.2189,440067.9389,6.6741,1812093.4252
Banking,889658.9307,149444.7452,44275.0507,17.9746,19067.6402
Banking,165963.5591,37305.8106,208275.5451,7.677,1656899.431
Banking,261900.9349,221812.2821,264271.2827,10.5294,1970369.6486
Banking,426606.0456,371965.941,435951.3477,8.1757,701450.4582
Banking,674357.2688,106761.7626,490331.9369,8.8568,1425973.7544
Banking,372683.1813,128470.0854,386355.3107,19.2035,888740.871
Banking,934241.982,461953.7718,485724.129,5.8029,1300755.8256
Banking,116448.7406,478103.7687,389722.7823,12.3677,685543.9649
Banking,325834.2669,497711.3288,480436.437,8.489,696596.3647
Banking,686452.1969,393126.5953,358527.4812,1.237,843885.8385
Banking,214371.9439,100960.3595,44286.6577,9.4975,244627.0997
Banking,656343.5173,102007.4903,200209.8235,15.3966,1655812.1771
Banking,161316.2844,145188.7242,334228.233,1.5779,678819.7195
Banking,53546.5111,165664.7618,185063.8811,1.1721,857255.0653
Banking,129177.6379,467094.4657,140825.6793,2.9738,1834953.988
Banking,911918.9209,384059.242,289245.7514,14.8361,997548.6281
