Application,Tourists_count,Hotels_count,Flights_count,Spending_USD_per_person,Duration_days
Tourism,45311,2750,1214,18690.6863,73
Tourism,95381,1714,1564,8077.7282,32
Tourism,39038,1135,1071,13517.5917,75
Tourism,24967,3721,1273,19661.0119,24
Tourism,28478,1909,1249,16468.0699,7
Tourism,55775,2247,1295,13674.7791,72
Tourism,70624,4516,664,14041.1505,89
Tourism,40332,4102,1508,19151.6708,1
Tourism,7066,1548,327,19048.1168,3
Tourism,39313,2639,796,19304.1775,28
Tourism,67857,4766,1203,12512.7319,43
Tourism,45900,4511,813,7982.5016,46
Tourism,90069,2831,664,2319.7905,1
Tourism,90045,1006,745,7454.4922,38
Tourism,41098,3221,1046,19059.8033,35
Tourism,8294,3062,929,17118.1117,74
Tourism,62580,4523,962,10464.2968,76
Tourism,38101,3052,1629,10425.8433,74
Tourism,25059,4429,1393,5782.2278,54
Tourism,96784,2319,1268,8440.5549,24
Tourism,40626,3539,1825,14600.5918,28
Tourism,20703,2366,1183,8118.0888,22
Tourism,61417,526,372,3499.0196,16
Tourism,59228,2807,284,10755.9927,13
Tourism,3205,1195,520,4077.5505,62
Tourism,34929,1753,1473,19271.6411,43
Tourism,83384,1672,696,7733.596,87
Tourism,33411,2028,806,18219.7702,78
Tourism,80522,1654,646,4675.5714,32
Tourism,11628,4549,1645,3070.3082,67
Tourism,70089,4841,1604,12499.8449,83
Tourism,6518,4041,135,14899.9344,86
Tourism,38491,847,95,11512.1507,57
Tourism,7946,867,1142,4518.334,65
Tourism,610,773,1397,1203.874,69
Tourism,69838,542,273,12099.9392,49
Tourism,34311,4417,1893,2941.614,33
Tourism,99770,785,877,6403.3722,19
Tourism,41876,3305,849,13561.2712,36
Tourism,80192,4635,1200,1154.6958,70
Tourism,50333,2883,1896,2906.8057,15
Tourism,51298,448,1772,1933.1115,24
Tourism,84192,3310,783,19642.4725,27
Tourism,41811,4585,1300,7796.6923,49
Tourism,70072,1905,1161,18294.2918,75
Tourism,42974,4559,1897,5258.985,23
Tourism,19856,4409,131,14767.0264,33
Tourism,44830,3251,1067,4064.8999,41
Tourism,81983,384,1146,10933.855,56
Tourism,45823,294,1159,16912.1804,29
Tourism,98863,1238,1390,16241.7349,31
Tourism,74397,4857,372,16199.132,65
Tourism,85814,2816,1149,16560.9085,18
Tourism,67078,1098,1462,4474.4272,82
Tourism,67951,1737,1810,9228.3083,6
Tourism,12905,2189,1599,10251.6567,52
Tourism,21601,2765,807,17504.2021,40
Tourism,87099,1222,743,5658.6221,65
Tourism,40955,3242,50,18866.5757,42
Tourism,72179,3899,1160,9159.6419,68
Tourism,48435,4323,1181,13408.3003,32
Tourism,24044,410,55,5720.6455,10
Tourism,11246,2999,1616,7747.6693,69
Tourism,2458,2945,743,14936.2932,9
Tourism,58507,4786,427,10059.6534,69
Tourism,6028,877,442,18579.5064,61
Tourism,51901,786,1934,15488.6868,11
Tourism,6306,2109,1987,11008.7804,68
Tourism,27678,1986,325,18143.5408,74
Tourism,90444,878,639,13228.7863,8
Tourism,12363,1607,1661,12613.3708,49
Tourism,14066,2403,828,4781.544,24
Tourism,63804,70,79,8129.5896,33
Tourism,48544,2310,473,14074.7437,19
Tourism,98247,4401,376,17927.1136,2
Tourism,189,3295,1892,5678.9361,55
Tourism,11752,761,918,4571.6431,11
Tourism,7482,4683,332,11821.1583,17
Tourism,16679,2121,1198,912.4974,42
Tourism,90088,3582,1680,14432.1768,61
Tourism,799,4197,440,14519.0485,3
Tourism,90917,1629,125,7108.4572,86
Tourism,9934,4288,1717,18223.7747,35
Tourism,57558,1085,218,10233.467,85
Tourism,59223,2457,947,13108.868,89
Tourism,84620,4395,277,4077.3402,66
Tourism,41556,3266,1508,8679.9482,1
Tourism,9909,453,594,17615.2153,7
Tourism,91467,2621,934,4583.5702,20
Tourism,91404,618,140,7692.1299,43
Tourism,43558,636,845,6762.185,6
Tourism,79382,2348,1007,3185.1411,55
Tourism,87793,4874,1630,5412.7255,21
Tourism,28013,3036,876,4510.5973,51
Tourism,22875,2249,1729,18260.5792,46
Tourism,90253,2721,109,14029.4041,35
Tourism,11408,2349,1075,6730.0352,8
Tourism,35607,4432,1638,16509.0021,68
Tourism,61684,1994,612,935.6752,16
Tourism,36281,2820,1677,10600.3401,67
