Application,Speed_kmh,Fuel_Usage_L_per_100km,Distance_km,Load_tonnes,Idle_Time_min
Transportation,83.9663,24.2655,423.0474,4.9815,466.7499
Transportation,65.5206,32.7843,1800.8881,46.8086,281.2126
Transportation,7.0265,14.5671,1161.2654,35.865,320.5871
Transportation,50.5189,31.3128,917.6138,31.1431,590.4322
Transportation,115.025,9.4784,395.7997,34.9858,244.6011
Transportation,96.1201,13.7867,1865.2513,42.1808,389.9173
Transportation,102.4421,8.6404,1559.6457,6.4477,238.8176
Transportation,101.2181,34.0214,405.9498,25.7297,212.5981
Transportation,41.354,11.1291,657.1677,33.2483,424.3093
Transportation,12.1277,29.058,1638.38,29.736,560.5959
Transportation,37.2803,38.5488,1348.8537,42.7119,327.2772
Transportation,110.5571,22.5856,1572.455,2.7602,456.2606
Transportation,137.6525,23.1165,840.2206,35.5004,54.935
Transportation,63.8574,19.4409,1390.9808,27.4057,128.5117
Transportation,1.5066,13.7869,736.663,20.8101,294.3316
Transportation,22.0291,20.774,452.9832,16.596,1.2506
Transportation,43.756,25.9736,1240.721,29.944,146.3286
Transportation,85.6979,39.3146,1898.1131,44.1881,313.2519
Transportation,6.4237,38.7602,597.0449,26.2444,16.1647
Transportation,135.4056,34.3788,920.7115,39.4078,168.968
Transportation,53.0021,35.1173,1300.7988,18.0394,302.4882
Transportation,122.9569,20.2607,1036.9935,5.2091,347.2957
Transportation,116.8633,27.2643,1771.3189,2.6327,567.001
Transportation,105.5827,36.6872,1489.0883,2.5744,401.1945
Transportation,82.4838,16.9657,103.7675,19.9528,248.1355
Transportation,83.8099,39.5976,1982.1539,16.3093,555.5595
Transportation,88.7044,19.8396,1487.9762,34.0238,473.2233
Transportation,87.6643,25.2111,1752.6729,39.1856,106.2089
Transportation,77.8094,30.1876,1340.3541,1.5455,76.1821
Transportation,137.2641,37.3901,1700.3471,9.9971,414.422
Transportation,104.2937,12.8465,175.3981,14.8168,343.6333
Transportation,107.6871,31.3818,746.516,26.9961,470.561
Transportation,116.7269,22.9091,1749.0408,7.1624,445.8956
Transportation,29.7714,12.9251,472.5997,7.1799,365.2311
Transportation,5.1036,29.5483,66.7574,48.273,600.0
Transportation,68.5958,22.9573,1584.0748,39.8767,319.22
Transportation,69.2293,26.9929,1747.7292,10.5527,64.552
Transportation,116.5429,14.2234,311.2583,18.1926,492.6235
Transportation,65.8091,20.8976,1699.6872,18.5409,150.3573
Transportation,77.2629,25.5321,1385.3868,38.7107,461.0068
