Application,Cell_Count,DNA_Concentration_ng_per_uL,Enzyme_Level_AU,Protein_Mass_mg,Growth_Rate_fold_per_day
Biology,122958,84.8026,10.4312,3.5976,1.0849
Biology,147867,58.5195,18.3769,3.8778,2.0
Biology,132932,5.6545,32.554,1.8085,1.5166
Biology,104694,48.0507,6.9274,1.1904,1.4892
Biology,120879,145.3809,6.1355,0.9562,1.4983
Biology,111268,149.4524,48.1822,1.3222,0.4061
Biology,55886,125.0419,35.3478,1.4996,0.4804
Biology,138337,189.2419,3.1313,1.0664,1.4303
Biology,169266,128.6935,20.1045,4.3998,0.9811
Biology,88498,186.0582,21.9998,3.7001,1.4832
Biology,113727,178.0596,35.8881,0.1739,0.2192
Biology,127324,94.1887,9.2606,1.2316,1.0703
Biology,176203,21.1651,10.4195,0.01,0.7843
Biology,192335,75.272,6.2745,2.4568,0.9077
Biology,17023,135.4749,21.131,2.3565,1.2682
Biology,42090,136.3282,34.705,4.3754,1.0145
Biology,68221,120.5481,3.3277,1.7018,1.0741
Biology,65820,60.527,47.4411,4.1392,1.0186
Biology,1769,113.8694,23.0606,5.0,0.7592
Biology,60735,80.3752,12.5605,0.59,1.5596
Biology,195027,198.2466,4.8397,3.7608,0.0353
Biology,65925,166.3854,9.2851,3.0604,1.1447
Biology,6311,146.1612,45.3007,2.4764,1.0674
Biology,104355,51.4295,31.567,2.0796,1.4754
Biology,185779,58.5239,26.7676,3.7843,1.2404
Biology,86305,12.0003,32.6566,3.2598,1.6622
Biology,160765,146.1262,21.8843,3.8197,1.9869
Biology,131608,30.9242,35.3552,4.5146,0.7092
Biology,157730,83.4564,2.9257,3.0286,0.5122
Biology,85478,48.8929,26.8864,4.7769,0.8697
Biology,123537,175.8309,8.3058,3.163,0.572
Biology,150503,93.4308,5.9094,3.1827,1.1917
Biology,131523,103.6089,15.42,2.7959,1.8006
Biology,3747,137.4932,5.7481,0.5547,0.2766
Biology,124855,32.1507,4.6349,3.6338,0.2648
Biology,191222,121.3664,17.4966,2.7868,0.5501
Biology,66725,108.4652,50.0,2.3415,1.4681
Biology,130981,40.2582,7.9713,4.6098,1.2246
Biology,85654,192.2386,0.1662,1.5254,0.2344
Biology,167845,125.5166,37.0223,2.8007,1.8487
Biology,120346,142.1137,38.7817,3.6152,1.5226
Biology,68435,169.3338,16.9593,3.9758,0.1012
Biology,57886,135.6151,24.7281,2.2114,1.288
Biology,67803,63.2218,30.6126,4.2758,1.5881
Biology,32551,27.6759,3.3484,3.8684,0.8023
Biology,117216,88.1809,48.2292,0.5111,0.1205
Biology,12394,47.5513,44.8989,0.3374,0.2017
Biology,70092,87.8315,13.8503,3.1841,0.2031
Biology,4890,176.6901,0.1,1.7449,1.6683
Biology,42606,71.6487,47.4385,0.9662,1.8325
Biology,88313,33.8785,24.5537,2.8827,0.2657
Biology,142699,69.2383,24.5607,1.762,0.481
Biology,9792,185.147,34.2871,2.5183,0.2863
Biology,175073,59.6037,29.9886,2.4299,0.3759
Biology,155969,131.2813,48.5563,3.1343,1.7673
Biology,69148,5.0,46.9324,1.8134,0.5602
Biology,125243,79.5223,43.4187,3.3516,0.6644
Biology,121174,65.9798,32.2449,0.9315,0.5046
Biology,155555,30.1532,39.8005,3.4274,1.1656
Biology,125358,108.1992,33.7871,2.0902,0.7461
Biology,49555,100.818,29.5529,4.3657,1.4512
Biology,18159,142.0007,5.448,2.4789,0.4929
Biology,111510,57.0377,39.8787,4.9944,1.6216
Biology,107530,53.9367,40.0847,3.06,1.2572
Biology,81077,46.0804,32.7683,1.0711,0.2422
Biology,36920,53.6905,40.339,4.2609,0.8871
Biology,199193,110.1268,32.4661,1.6812,1.7281
Biology,20457,81.4202,9.8141,1.6207,1.9008
Biology,198629,17.2203,13.4631,0.187,0.9308
Biology,79953,47.6921,10.072,2.7833,0.9398
Biology,53995,47.9094,19.387,2.7299,1.9098
Biology,172829,134.4547,1.0055,1.8559,1.1774
Biology,10692,139.4167,29.6011,4.5237,0.0396
Biology,177830,39.2964,16.3368,0.6999,1.7902
Biology,197769,196.224,32.0239,1.5999,0.4679
Biology,38065,53.0168,17.9961,1.5468,1.1931
Biology,100299,198.883,33.7898,0.5446,0.3354
Biology,164678,83.3999,15.4404,2.4352,0.1689
Biology,12534,13.0776,14.8329,3.5239,0.677
Biology,41397,69.449,23.3627,2.3928,1.5734
Biology,92387,121.6711,34.0302,0.7433,0.6183
Biology,2016,139.5617,17.0792,2.083,0.4283
Biology,56591,102.4817,48.5201,0.0781,0.3594
Biology,24247,90.3268,0.3285,4.3723,0.9958
Biology,25300,109.9556,21.0973,0.5024,1.9572
Biology,83798,121.3377,49.4174,3.2108,0.9145
Biology,10268,18.5982,27.1347,5.0,1.1518
Biology,87807,76.5845,20.0637,2.53,1.7177
Biology,13185,46.135,28.3614,4.5002,1.1046
Biology,195776,169.4136,30.3627,1.0272,0.4368
Biology,171171,92.0281,35.9947,3.7276,0.6011
Biology,140643,200.0,7.905,2.6665,0.6489
Biology,39044,83.3551,12.834,3.6295,0.7308
Biology,52214,164.7538,30.2992,0.1683,0.8544
Biology,193300,162.0595,43.5874,0.5609,1.5525
Biology,115752,27.0567,27.6537,0.5979,0.7111
Biology,49984,107.8677,13.6416,3.5304,0.9512
Biology,41774,138.6908,34.249,4.3326,1.263
Biology,3568,177.1005,37.1875,3.9208,0.7426
Biology,121151,67.9722,12.7939,0.1588,1.7662
