Application,pH,Molarity_M,Conductivity_uS_per_cm,ReactionRate_per_s,Turbidity_NTU
Chemistry,9.1394,3.6441,12769.9745,45.0656,789.1802
Chemistry,13.7195,1.9742,13536.7263,78.2045,430.3047
Chemistry,10.8679,1.2103,8311.5735,78.6171,153.2094
Chemistry,13.0944,3.6488,838.091,28.6336,536.2575
Chemistry,2.9494,2.1385,16159.6311,35.2186,921.6494
Chemistry,10.458,4.8281,13049.2778,97.2064,798.3798
Chemistry,0.4417,1.7931,9670.645,14.0783,601.6904
Chemistry,9.2091,4.5719,17326.7334,3.362,615.3188
Chemistry,5.9661,4.5752,6387.8485,44.6268,938.7158
Chemistry,4.7507,1.2667,5401.372,82.8326,439.9628
Chemistry,12.3484,4.1403,17768.7035,77.097,290.2109
Chemistry,11.8514,2.2379,15913.589,90.1384,993.2116
Chemistry,0.7989,4.6799,10294.1949,54.4375,880.9753
Chemistry,8.6532,2.1986,2172.0016,9.1973,316.8079
Chemistry,5.2445,3.5618,4181.552,56.4202,488.8275
Chemistry,5.7833,2.4839,12819.1737,76.054,437.8072
Chemistry,11.6295,1.3445,7854.2068,12.801,151.158
Chemistry,4.264,1.1511,16333.0274,18.0342,948.7904
Chemistry,13.118,2.0936,19531.0179,1.4447,384.8559
Chemistry,2.6635,3.662,15442.5063,58.8655,874.5778
Chemistry,9.0161,2.9188,7228.3005,89.2577,200.7514
Chemistry,9.1082,3.2748,16444.6088,67.6268,541.3873
Chemistry,3.2162,1.401,6854.778,98.7883,0.0
Chemistry,5.1193,2.5678,2816.0503,6.5331,789.5948
Chemistry,11.8357,0.2079,755.4927,92.0377,584.7184
Chemistry,10.7505,4.1179,7524.1774,81.4531,617.9971
Chemistry,4.3112,5.0,17736.838,29.4683,68.8641
Chemistry,7.6499,1.994,4341.3834,96.1278,241.5311
Chemistry,0.8309,0.2585,5237.6127,24.8358,18.2926
Chemistry,2.9824,1.0483,19295.7949,92.9841,297.5996
Chemistry,6.528,3.2496,0.0,89.8004,598.906
Chemistry,1.2485,3.0027,16313.1269,74.1056,576.1682
