Application,PageViews,Clicks,Conversions,Revenue_USD,BounceRate_pct
Ecommerce,562,18033,1900,22183.7108,79.7633
Ecommerce,43498,7351,2217,6296.199,46.1114
Ecommerce,49492,19340,4796,159846.2657,26.2781
Ecommerce,20951,14901,4606,113549.2209,26.31
Ecommerce,48920,10638,1283,143261.8494,55.6409
Ecommerce,46766,5828,583,24373.8338,51.9729
Ecommerce,28351,11556,458,113368.2757,41.5231
Ecommerce,18680,18099,2265,46076.3243,10.0134
Ecommerce,49386,8150,2666,43958.6683,70.4453
Ecommerce,21586,10107,815,2434.7877,20.2961
Ecommerce,9308,19867,2511,31917.1631,18.2549
Ecommerce,9609,1757,246,60691.8066,39.0245
Ecommerce,29495,18193,4825,27665.9193,22.6953
Ecommerce,17675,11199,416,200000.0,55.4368
Ecommerce,28064,16295,4463,67463.7684,39.0399
Ecommerce,8720,12807,3717,27203.8077,45.0012
Ecommerce,42940,17535,107,31963.306,54.5618
Ecommerce,14457,5492,2631,119383.9451,19.4212
Ecommerce,2939,6302,838,17002.3043,14.8408
Ecommerce,47113,15929,4513,172162.5576,88.6173
Ecommerce,48926,4747,4916,199278.2713,41.0443
Ecommerce,38203,14238,1421,52788.8184,40.4934
Ecommerce,23365,8402,4778,92292.1472,1.842
Ecommerce,5392,10686,3912,8772.4131,48.0165
Ecommerce,25905,4681,255,129475.5244,51.1973
Ecommerce,7972,18891,2827,72813.9696,58.5627
Ecommerce,30653,19347,837,52015.1374,69.33
Ecommerce,26329,3428,2962,46156.0942,20.0749
Ecommerce,19184,7494,2282,127574.2502,27.3599
Ecommerce,14799,3955,552,82349.5162,78.501
Ecommerce,15052,14026,180,31752.5126,92.5402
Ecommerce,6044,9244,4252,144957.5067,18.7143
Ecommerce,19871,713,1477,119740.4264,53.2668
Ecommerce,23767,11080,570,168198.9354,21.3546
Ecommerce,47183,8521,4952,24084.3718,6.5221
Ecommerce,20234,1746,1727,154411.3442,31.2886
Ecommerce,21381,17591,591,137163.1359,15.2335
Ecommerce,17274,17168,4516,25040.9197,69.5589
Ecommerce,46626,2696,2260,142210.9683,49.3078
Ecommerce,22304,12012,2947,89637.1316,11.7403
Ecommerce,17572,14688,347,200000.0,0.9663
Ecommerce,38412,5036,165,24210.5751,78.5536
Ecommerce,49892,7127,4443,121724.2647,17.4849
Ecommerce,25965,3718,2896,74823.6483,58.4723
Ecommerce,18384,7910,4493,185090.9811,32.1275
Ecommerce,17855,2693,582,60025.13,60.2549
Ecommerce,17920,17009,3506,188431.9233,32.0603
Ecommerce,16702,15858,4403,176608.4146,8.6746
Ecommerce,37921,15932,3038,50258.1747,24.0529
Ecommerce,1894,7692,2845,162781.2312,19.7671
Ecommerce,30985,6398,2766,197096.0841,45.6951
Ecommerce,28287,7252,4194,49814.5421,64.9087
Ecommerce,7991,11721,1265,90932.365,25.5213
Ecommerce,15439,17939,4253,100970.8572,0.0
Ecommerce,29084,11825,4649,57928.0436,51.0358
Ecommerce,42235,4187,4746,4516.0079,62.5055
Ecommerce,27659,36,2967,36259.5776,98.887
Ecommerce,24976,18171,2274,46847.7548,60.8677
Ecommerce,38703,6283,2470,90104.4096,43.5289
Ecommerce,17107,15202,2290,36188.5528,59.5065
Ecommerce,2329,8060,2577,182907.7519,89.113
Ecommerce,42095,8065,3660,141614.606,84.634
Ecommerce,2770,3880,1068,20319.0544,31.5623
Ecommerce,4846,5932,2736,129236.5997,25.1305
Ecommerce,16651,8328,4829,131920.2042,23.5985
Ecommerce,49044,6333,1950,197913.2621,52.7844
Ecommerce,14633,13870,91,0.0,71.475
Ecommerce,13628,11268,3093,51240.955,48.985
Ecommerce,569,5067,2219,194100.6428,4.7835
Ecommerce,1973,15616,1387,187554.92,68.8495
Ecommerce,35590,12075,4274,150719.5757,80.7861
Ecommerce,33038,17045,2285,150635.8156,32.562
Ecommerce,49088,7973,3206,18168.4016,71.7464
Ecommerce,7641,10002,2924,102909.2658,42.8535
Ecommerce,8930,7887,279,37446.2339,91.1453
Ecommerce,6680,414,1618,31570.8974,84.9867
Ecommerce,1257,6850,2787,157673.1595,53.541
Ecommerce,8250,2729,370,30295.8916,68.4663
Ecommerce,38138,11929,3183,97218.9398,88.7251
Ecommerce,28757,14988,3834,189011.7937,50.6467
Ecommerce,4858,3897,1703,40462.8227,30.1682
Ecommerce,41349,2169,2268,194942.0871,75.2116
Ecommerce,13491,13563,303,200000.0,21.8898
Ecommerce,25294,18262,3774,111158.5847,40.5059
Ecommerce,45204,12888,1348,34260.0042,84.4407
Ecommerce,45638,4570,2422,62158.6071,72.3391
Ecommerce,49272,1515,3628,87636.3684,44.2051
Ecommerce,6908,16958,2428,60180.0496,23.8026
Ecommerce,10844,12634,3033,60032.8415,38.2952
Ecommerce,37629,19251,668,189917.3453,28.4593
Ecommerce,2911,13798,499,26277.3005,18.2509
Ecommerce,8991,19928,1414,149415.2888,76.3378
Ecommerce,11572,4477,529,0.0,28.3275
Ecommerce,43066,16455,3621,117420.9682,41.5135
Ecommerce,29693,19364,3456,186748.8317,35.9551
Ecommerce,40004,9551,754,55157.7732,100.0
Ecommerce,38333,14179,2347,36304.39,38.5554
Ecommerce,17493,39,4910,135932.8708,6.6548
Ecommerce,39697,10222,726,148676.8508,6.4743
Ecommerce,17634,16116,4826,143895.6966,57.9653
