Application,GDP_USD_millions,Inflation_pct,Unemployment_pct,Exports_USD_millions,Imports_USD_millions
Economics,189427.4159,32.9664,39.3322,54348.39,71281.3305
Economics,56114.1748,-5.0,47.647,7872.3881,54701.4722
Economics,81266.7961,11.064,45.1111,31259.0168,24321.9216
Economics,177676.5529,2.2081,38.0282,7595.6823,23679.334
Economics,103605.2308,2.5289,34.2052,98829.812,38006.8059
Economics,117878.4857,47.1333,27.0814,22580.0175,12687.5661
Economics,29957.7975,14.4082,6.581,63030.9949,30255.1314
Economics,94871.9797,25.3037,7.0672,27730.6007,69516.6825
Economics,177011.3349,33.0168,40.727,68082.9955,81758.9201
Economics,110238.8303,-0.4269,40.1215,20136.3285,29792.0458
Economics,44342.7132,9.354,30.694,79126.969,24480.0383
Economics,100.0,40.9691,21.4691,15926.498,82762.6223
Economics,66407.9874,41.919,1.6383,87822.0621,89976.0255
Economics,115815.1386,15.1076,15.1046,84427.6039,41838.8813
Economics,4975.7165,15.8401,22.7713,68369.6639,501.7124
Economics,123441.2354,36.8326,23.2567,6719.2686,71357.127
Economics,105172.8891,10.1738,46.5059,20939.1158,74737.9112
Economics,158868.2783,1.5147,6.0604,84178.1905,1008.093
Economics,1714.1812,9.449,26.6261,12915.1322,58576.3199
Economics,164123.2315,15.9732,19.1715,11918.7392,57283.6517
Economics,99668.2082,0.3344,47.9121,57996.0069,40322.9149
Economics,71668.4267,21.18,42.1758,30843.8225,75579.2284
Economics,195138.925,33.7607,22.0752,21549.1063,40001.6472
Economics,32578.8941,22.1447,50.0,59684.8466,65150.6981
Economics,111696.873,-0.2719,26.9603,36670.9294,56020.1853
Economics,63025.1603,18.4136,7.8419,14075.6097,23892.7269
Economics,100639.7848,32.8966,26.8887,52123.506,59057.9886
Economics,104402.6712,-0.2698,10.7635,40340.7844,76003.7625
Economics,25095.5919,-1.5216,34.0751,72289.0995,93836.3513
Economics,131049.5524,14.7217,48.3724,11845.8539,40784.9155
Economics,126263.6047,2.6774,39.1404,61977.2369,4851.5333
Economics,161118.4711,47.0953,14.943,43614.8401,99826.9103
Economics,16255.2452,26.9909,14.2704,37623.5429,61422.8735
Economics,59618.9021,12.2337,4.4189,23348.4729,91496.3191
Economics,125928.9778,32.5587,12.9145,750.9205,10739.6437
Economics,22185.8788,15.2105,4.9877,84892.1083,36098.9765
Economics,143107.2103,2.5948,25.9919,36520.5451,8696.8586
Economics,19510.1693,9.4293,35.0907,65329.9968,81239.5329
Economics,71134.9582,30.6354,38.1725,94464.9291,90510.0625
Economics,173305.6305,-2.925,2.4149,55228.0343,50926.4182
Economics,157896.7939,11.4254,17.3013,37634.0537,19588.62
Economics,126031.9558,6.1136,13.927,25244.8737,14573.6666
Economics,175266.971,6.2605,6.0342,96346.025,59752.1133
Economics,139868.8676,33.3777,16.8592,71680.6538,50932.5705
Economics,93569.2543,42.1394,13.9508,64435.4495,71711.1923
Economics,200000.0,34.7784,33.0307,43417.6509,29740.5113
Economics,141219.2213,33.361,41.7057,82666.8847,40203.6451
Economics,115047.056,45.3063,22.1011,70010.5713,3787.8185
Economics,80392.7954,-1.4655,37.1912,24219.8637,59484.565
Economics,184698.9156,3.5311,7.6535,64221.5229,45164.1395
Economics,59739.7453,18.1472,44.2705,45216.0326,92559.1523
Economics,100.0,15.8117,6.504,0.0,61880.8436
Economics,34578.1055,19.1431,10.8313,81332.0218,39482.279
Economics,29417.9688,6.844,6.3764,11483.0716,23587.3448
Economics,64130.1648,2.6427,15.1047,52887.3549,90700.2862
Economics,169425.097,23.2877,25.8299,32940.1073,868.8985
Economics,137690.4614,45.3033,49.7059,33819.3548,30961.8369
Economics,32044.7151,17.1628,39.8502,46412.3819,90790.2849
Economics,159192.964,-3.2307,18.3547,100000.0,63819.7451
Economics,93030.9288,32.3014,26.8372,45256.6248,52910.7077
Economics,100164.6295,9.7677,30.8938,17664.4049,19609.4699
Economics,74788.0704,7.1877,41.9029,60769.1741,80497.1698
Economics,172168.8546,12.2533,37.7398,23578.4896,20462.7344
Economics,65540.2452,33.8778,28.4204,11075.3317,22854.2855
Economics,22636.1868,40.0108,32.8357,4419.463,21028.8944
Economics,62855.4448,26.9119,38.0303,1503.6047,17953.2049
Economics,144421.8032,13.3041,5.5202,43281.5131,94817.0927
Economics,132313.6787,12.4973,8.668,39170.4408,63355.4115
Economics,35412.9431,1.4807,34.3408,17459.7381,63501.7861
Economics,18752.7198,47.6981,44.0677,74399.919,92831.5658
Economics,137626.8114,29.0786,22.0471,11941.7191,25427.9609
Economics,138475.7988,-2.4093,47.6767,89635.1989,3819.9829
Economics,70138.3235,31.602,10.3663,60011.5611,61877.6098
Economics,168832.2412,19.1596,23.2689,1291.2089,49256.788
Economics,190078.4331,49.7331,18.2377,95566.2373,45294.3112
Economics,39297.8606,40.6617,48.1345,26498.4256,5487.4289
Economics,117597.7775,3.2392,15.2449,47042.287,50396.2991
Economics,2209.0259,35.0065,24.7304,26254.0695,26402.1939
Economics,143102.4392,22.1054,8.9158,71876.7881,29097.9779
Economics,79382.2941,6.3956,25.6471,50124.216,22053.0886
Economics,34390.8907,34.0746,41.9596,14800.9826,35141.1404
Economics,154267.2039,25.8289,16.0008,8198.778,32793.3309
Economics,168919.7342,-3.815,38.9031,73591.4338,30378.5748
Economics,24520.925,30.3317,45.4022,21410.6832,96079.1722
Economics,7606.1945,29.6469,5.2824,14243.9576,91590.8068
Economics,71779.9639,1.1661,38.4158,48374.2453,58924.296
Economics,121868.5476,15.6096,13.7698,78246.3037,95867.3911
Economics,162914.7063,25.9934,7.1223,27948.7721,99699.5396
Economics,106872.6091,2.9287,29.062,26196.1318,35705.522
Economics,114002.6971,41.5356,36.4643,87425.2867,42611.1441
Economics,158661.1578,-3.7506,19.8638,13547.8262,94430.7356
Economics,105411.2188,1.4014,0.919,59288.8462,61530.4849
Economics,125927.7056,0.5275,46.0616,93703.632,21242.6354
Economics,98077.1279,24.5481,36.0038,84095.5535,69014.6558
Economics,173687.158,29.619,16.1209,6405.492,20109.4141
Economics,48017.9503,16.3526,25.4422,32610.1312,33341.1279
Economics,55102.5029,11.879,0.467,16060.4645,22712.8921
Economics,18863.5315,41.0166,17.8452,91582.2549,27376.4261
Economics,160751.3825,0.9829,27.7415,100000.0,1523.7241
Economics,75422.8737,10.1278,25.8552,21671.4951,87809.1042
