Application,Attendance_pct,Marks_percent,StudyHours_per_week,Assignments_submitted,Participation_score
Education,53.0578,47.5787,39.4467,11,8.6585
Education,51.6052,39.908,28.3181,2,4.2425
Education,92.3037,89.3242,29.3983,4,5.8838
Education,55.3087,85.4023,1.149,16,6.1102
Education,52.1254,31.3391,37.2839,9,3.8851
Education,71.9673,63.3658,5.0067,9,1.3465
Education,90.6995,92.4265,26.6778,10,0.9191
Education,62.3416,95.1584,19.3554,16,0.2153
Education,72.4367,48.1788,32.1317,4,8.9256
Education,52.8823,43.123,7.4079,12,2.4701
Education,72.3913,23.8258,42.8782,9,2.0769
Education,79.1238,95.6846,48.0566,8,7.3207
Education,78.2511,13.0846,11.3224,16,3.3022
Education,67.9779,56.0498,6.6053,0,5.315
Education,65.5763,28.1188,7.3424,3,1.6504
Education,55.563,28.6288,51.0279,3,9.5036
Education,69.4859,44.6833,29.8295,17,8.3172
Education,54.1974,96.8555,28.8301,8,8.3489
Education,89.8886,7.8154,7.829,17,4.201
Education,96.7833,59.8004,41.1926,13,7.7392
Education,100.0,6.699,53.0917,14,1.5542
Education,92.8809,15.8586,51.0866,5,0.0605
Education,79.7969,43.041,36.8673,9,0.4811
Education,83.1533,51.4174,3.129,14,5.7692
Education,63.8055,28.8975,7.7639,3,4.745
Education,80.4987,32.8569,3.4598,17,5.1724
Education,72.1748,9.7139,15.5777,17,0.0
Education,73.9636,29.4614,8.6045,16,4.3454
Education,88.8466,93.6877,15.9907,11,7.2626
Education,64.3035,94.0538,24.6441,6,4.4983
Education,66.2097,35.901,58.1329,15,7.3384
Education,95.1366,54.0311,37.2756,10,2.3226
Education,51.9305,88.8494,51.1134,13,8.6091
Education,76.0804,0.8709,43.238,2,6.1212
Education,94.9048,79.099,6.1968,18,2.2522
Education,82.1744,93.2519,45.0631,17,2.3896
Education,77.0773,8.2854,14.8325,9,6.4817
Education,62.4895,13.4135,39.6111,5,8.403
Education,68.2341,94.1264,19.0243,12,4.1615
Education,93.8743,55.1609,60.0,9,2.5223
Education,77.8501,0.0,14.7989,17,8.6539
Education,75.3489,22.5675,17.4119,19,6.0586
Education,54.9231,43.7343,55.7996,15,4.523
Education,51.1394,70.7548,0.0,5,4.7813
Education,99.0756,72.9222,42.3062,12,2.3611
Education,68.8535,98.613,42.8261,3,6.2719
Education,80.7795,28.8398,51.2401,13,3.3496
Education,55.6241,50.3306,58.4679,0,9.9465
Education,84.537,54.3218,59.0106,19,4.5926
Education,96.94,41.3314,2.7675,4,4.9535
Education,77.2644,16.0976,48.6032,7,5.7167
Education,53.675,99.7575,38.2282,11,9.3591
Education,79.4745,83.0767,39.8686,1,7.85
Education,88.2225,52.0891,9.7138,11,4.5181
Education,69.806,60.6335,38.045,4,6.914
Education,94.2354,22.053,60.0,4,6.0027
Education,82.3737,54.339,52.1055,12,5.0274
Education,96.0902,69.2825,24.9148,8,2.0223
Education,81.2614,53.9573,1.2463,9,4.6397
Education,55.8175,96.8752,20.1146,0,2.5411
Education,66.4748,59.6091,47.6831,2,9.4693
Education,59.8726,39.17,42.5855,17,3.297
Education,95.9679,76.0241,27.3037,11,9.5504
Education,87.5426,18.8473,3.7614,2,5.1133
Education,83.1701,41.8505,26.4423,8,6.1418
Education,65.1325,33.8923,28.4602,1,5.449
Education,59.2151,44.5434,56.5026,2,1.5146
Education,88.3024,75.8706,38.3817,13,3.707
Education,73.4393,49.9268,17.2748,3,0.9443
Education,59.4531,79.8003,32.7885,18,6.1482
Education,80.3983,58.595,3.2564,12,4.3618
Education,52.8105,32.9158,57.2314,6,7.8388
Education,66.0111,77.6757,21.3901,11,1.9053
Education,73.1815,24.8355,27.5767,2,1.9018
Education,58.3843,18.3115,20.8161,8,3.9302
Education,98.5208,49.8156,41.3636,1,9.4102
Education,58.9121,27.9673,40.1519,8,6.8502
Education,56.357,1.2925,41.8419,11,4.323
Education,59.6926,68.7264,15.5033,11,5.3071
Education,87.4868,53.1596,20.2293,14,0.919
Education,71.0999,43.244,8.1108,1,9.6469
Education,78.7623,96.7515,41.8207,17,6.714
Education,51.0412,57.0252,3.804,12,2.6174
Education,52.0285,83.1788,37.2341,13,5.8075
Education,74.1047,12.0642,50.5163,4,1.3007
Education,90.4899,55.7991,54.3666,9,9.8177
Education,94.5403,82.7255,26.8785,11,1.7509
Education,53.8261,58.4056,26.897,9,6.2853
Education,76.0718,71.3033,4.8198,10,2.5837
Education,95.0766,33.8586,41.3802,1,7.1795
Education,68.9199,10.0534,49.8766,4,7.3042
Education,91.8378,47.2218,13.6251,6,6.8907
Education,59.0339,39.902,26.169,5,6.1401
Education,96.0537,86.0579,49.5653,2,9.1652
Education,87.1545,25.5824,52.8872,12,0.5672
Education,97.0036,98.0339,14.2268,2,2.6738
Education,84.2267,96.4286,32.7716,20,2.5387
Education,68.4337,23.1139,12.4691,5,9.9385
Education,98.1932,35.3584,4.8645,10,3.5558
Education,61.3519,91.9465,57.0015,16,7.1304
