Application,Altitude_m,Speed_m_s,Fuel_kg,Payload_kg,Thrust_N
Aerospace,15704.7873,689.2079,72583.558,7367.1603,225004.2081
Aerospace,9283.5782,80.395,5300.5419,31629.2213,525874.9244
Aerospace,2317.3121,499.1949,90113.1695,17672.0611,436628.1996
Aerospace,12806.7642,37.0994,35756.8749,25030.984,66928.1329
Aerospace,5664.7748,802.2543,18784.8475,45358.824,401036.9607
Aerospace,12342.5289,673.8472,35929.1467,20835.6526,395943.7802
Aerospace,5309.5001,231.5235,13505.1974,29919.2378,276245.1519
Aerospace,7750.4807,7.6012,91834.5856,44117.0412,966408.8451
Aerospace,10267.613,780.6571,73599.1587,10656.8949,852777.9923
Aerospace,6955.8035,0.0,33717.0642,32969.0803,0.0
Aerospace,19622.2435,901.045,80861.6059,17381.8732,465437.9283
Aerospace,11433.7124,230.5026,4370.8193,17232.1251,907129.6723
Aerospace,18953.8928,280.7009,1224.0269,3194.9946,665982.8742
Aerospace,2693.0802,520.9893,90513.1837,21597.9898,510598.6261
Aerospace,6986.7928,334.3033,86393.514,41025.7198,865195.5525
Aerospace,10212.8896,276.5147,36563.455,16421.7757,781470.63
Aerospace,18009.0432,363.2951,81445.6737,49090.2775,707868.0315
Aerospace,8147.2913,880.8657,9077.6594,20673.2942,492707.0803
Aerospace,14169.6374,611.2524,15069.5622,13065.9487,595439.3847
Aerospace,12527.4991,139.9452,30543.6483,50000.0,133622.2341
Aerospace,581.0756,535.6956,84107.2131,39529.3065,56298.7296
Aerospace,12670.7324,363.3471,74124.7116,1790.3849,168038.275
Aerospace,10943.3334,335.1969,80019.6699,42978.6195,986267.7884
Aerospace,6846.6685,653.0175,33938.4462,17363.9478,321008.287
Aerospace,10730.8882,635.0985,10836.6932,15583.9179,683072.6692
Aerospace,869.7823,873.958,73043.562,20215.4272,158182.0721
Aerospace,1158.1846,268.4082,10819.4449,3717.3423,366296.6005
Aerospace,15001.178,456.3726,54786.7857,20210.8532,309484.3975
Aerospace,17407.694,755.8382,68749.6942,34725.0033,734202.3447
Aerospace,10752.0038,768.4712,36634.1381,10343.5292,554519.4914
Aerospace,11324.4972,72.904,60653.6294,40986.2715,744701.7446
Aerospace,0.0,512.7802,64847.9184,43065.4713,651052.6761
Aerospace,6140.846,978.1374,2166.7573,12981.1602,445796.1561
Aerospace,19486.8932,33.8156,70751.4042,24034.1328,178571.7386
Aerospace,14679.8018,242.1621,36866.65,20139.1925,96608.6543
Aerospace,3397.4258,224.1033,95191.9722,46460.9145,601106.2331
Aerospace,18685.168,774.3218,19272.8183,40954.4213,892833.8577
Aerospace,14450.1069,805.2438,41831.4704,38857.3109,173958.0017
Aerospace,14473.7499,430.5505,93110.2066,34615.9432,121545.1814
Aerospace,15446.7901,200.7295,68883.8839,544.7305,672777.2585
Aerospace,2171.505,510.5159,84137.6628,23168.301,772646.1366
Aerospace,12910.8676,646.7791,96298.8952,47404.0207,242571.7472
Aerospace,5117.3009,242.0789,11313.2462,11417.5552,710275.0403
Aerospace,16350.6362,114.0527,4855.8434,7263.9549,895484.7124
Aerospace,9689.7029,453.2827,91328.0218,46900.3654,950882.6977
Aerospace,4973.2302,393.1516,92017.619,19062.9894,611440.0436
Aerospace,15017.2447,919.9722,2613.219,17961.2972,944554.4065
Aerospace,5988.9307,487.8227,94438.7619,34045.4938,420686.6329
Aerospace,13040.7659,534.1307,65738.8453,29435.8754,776256.3723
Aerospace,9970.3743,422.3285,15040.3645,1971.8427,352821.3394
Aerospace,10318.5492,895.543,47359.3951,18564.3804,787876.083
Aerospace,14288.5114,170.8816,67505.3191,12357.4233,734360.2145
Aerospace,14573.4891,38.1925,56634.0948,42803.8729,33990.4899
Aerospace,10731.0338,444.6975,14637.259,439.0484,217837.1114
Aerospace,1623.4393,942.9913,10430.3784,34731.5712,219106.1881
Aerospace,8264.1571,400.3384,84612.293,35652.1297,20190.6689
Aerospace,19077.5898,449.2858,89439.0814,6519.3635,785112.6
Aerospace,4371.5486,829.3244,73982.1678,22165.7926,238921.2648
Aerospace,4893.3651,888.7055,32139.9276,2754.615,364215.2177
Aerospace,4835.101,171.3518,6863.9935,23257.3032,625177.1276
Aerospace,5559.3922,733.2726,62124.7951,13852.4081,905149.5781
Aerospace,8188.9581,826.7126,18152.9607,49362.1097,817265.4788
Aerospace,18560.8588,90.7468,71881.5343,38929.0032,185307.0544
Aerospace,1715.1143,815.4196,35869.9955,31435.1099,153921.8242
Aerospace,18956.7871,319.6623,88090.5286,49799.7885,0.0
Aerospace,4416.1172,192.1946,7008.8588,31561.1553,514231.3083
Aerospace,9752.4132,950.3882,83004.2571,48928.8216,390232.4065
Aerospace,17337.3679,432.7427,51702.0163,28624.692,846392.9612
Aerospace,14178.14,808.7532,61310.6962,45831.3782,408845.221
Aerospace,19034.6738,269.0572,52580.2955,21437.5509,804186.921
Aerospace,5253.452,722.2378,8633.4914,19965.2862,806551.8041
Aerospace,6155.0276,232.1392,81303.3075,16732.7437,684940.0527
Aerospace,15095.6008,879.0642,1423.4907,29960.5049,381140.0103
Aerospace,19620.0751,0.0,39247.143,28035.0929,703489.8275
Aerospace,20000.0,678.276,50898.3067,2357.0447,653573.6117
Aerospace,2940.2605,363.0259,47165.8374,15970.4143,26476.0064
Aerospace,19745.6196,77.2089,3845.7084,13912.6717,927534.9893
Aerospace,791.2999,142.2617,94189.5722,2148.8277,989180.491
Aerospace,3517.4939,595.2326,33935.1689,6965.9623,63610.8123
Aerospace,13143.8026,272.4023,72739.8429,40872.4133,274286.1562
Aerospace,9279.6643,137.796,75417.1241,21055.2243,238946.9993
Aerospace,12990.8205,256.4698,87268.6412,24563.6478,582005.4886
Aerospace,4794.7911,709.001,29738.0555,40825.5696,1000000.0
Aerospace,9952.7083,818.4671,86417.6222,48672.8227,276485.843
Aerospace,14306.615,1000.0,85999.3512,31776.1017,879498.8597
Aerospace,3181.831,442.5627,20674.7955,12045.6733,188609.0487
Aerospace,18898.7525,468.8689,18645.9002,9562.7867,918028.8349
Aerospace,16340.9422,569.4584,99649.9247,4066.1983,564173.9374
Aerospace,14345.6052,510.6248,48041.1301,24874.0171,821937.9016
Aerospace,12952.1459,368.8721,99593.5109,47195.4307,433798.3064
Aerospace,3476.8507,867.0749,52199.353,33052.7759,725755.4486
Aerospace,17832.3016,270.4229,16401.7129,9630.825,405305.4379
Aerospace,10664.3831,660.6086,65689.8801,25653.0745,502598.2519
Aerospace,2021.4903,966.7087,50184.1312,15701.7142,650319.6071
Aerospace,18356.4505,575.6587,6662.5174,17919.5896,308266.0238
Aerospace,12790.2666,92.4817,78936.8719,10464.363,308432.337
Aerospace,16748.5591,634.2254,90436.0382,36149.0198,811301.3981
Aerospace,10765.1227,879.3049,98720.5991,23396.1895,6936.2261
Aerospace,16040.0971,894.3736,69502.8977,26594.0129,449397.4003
Aerospace,17032.7704,545.5391,43034.831,23730.402,135746.6953
Aerospace,11324.3306,129.1954,53489.4246,28393.0966,515625.2478
Aerospace,10126.8721,143.4104,88740.1901,32483.4815,750438.5285
Aerospace,11583.935,543.9736,4773.9023,22874.7631,820851.7456
Aerospace,1088.106,954.1349,84137.4254,35074.8829,186959.0813
Aerospace,18975.3482,851.576,49452.805,33814.2982,135521.3869
Aerospace,16831.625,473.2287,73816.1495,43077.6406,789258.5754
Aerospace,13706.1352,449.3469,51936.0198,29163.1366,267901.4961
Aerospace,12479.4152,62.8275,44352.5775,1100.4019,48503.3985
Aerospace,1243.2,951.2056,97319.0125,33913.4094,83416.2819
Aerospace,0.0,739.595,74898.4069,34506.6428,128694.937
Aerospace,6413.8234,352.5948,67478.9209,23159.297,829950.13
Aerospace,18509.1068,138.8351,89439.5239,18355.5574,198919.8774
Aerospace,15968.3798,315.1948,21675.812,30484.3481,172408.0035
Aerospace,10230.3403,949.998,36278.0442,12128.9466,836690.21
Aerospace,11353.4428,353.7431,36951.4211,30702.2569,664084.1869
Aerospace,15529.3753,652.2566,53673.3997,20269.2879,649018.5026
Aerospace,3543.2968,988.5763,98278.3267,39621.1446,162105.634
Aerospace,11344.9136,671.4758,41213.6179,30768.5916,664295.2141
Aerospace,9223.0588,760.4968,68846.4691,40215.3223,477071.2393
Aerospace,18066.6927,550.1347,21119.8228,10529.3967,502609.6209
Aerospace,9115.7609,296.3875,34345.9313,26400.5609,778749.3416
Aerospace,9249.5287,648.1555,87680.7612,44861.3349,761793.8282
Aerospace,15021.2426,634.857,68128.908,23066.7554,851099.6958
Aerospace,3117.4664,838.258,78243.1096,25655.8592,64660.1929
Aerospace,9124.7328,96.6308,67151.9754,31344.6365,361859.5076
Aerospace,19282.1707,658.7541,57541.7112,1755.1041,638797.5019
Aerospace,1671.6022,311.3069,37646.5402,3002.8264,214816.3783
Aerospace,19695.3726,77.6312,46130.2738,14636.0293,200828.7512
Aerospace,7326.6655,190.3585,42317.4098,27284.4489,942822.1233
Aerospace,1685.5492,207.6212,79719.3933,15905.6573,605603.5943
Aerospace,18402.8044,985.3272,63708.9471,27385.8515,625794.6221
Aerospace,13103.0742,516.2816,5092.6461,13326.4025,898201.7959
Aerospace,9137.1339,984.9201,82022.573,21291.2419,964631.82
Aerospace,17334.6551,135.865,3346.2348,32584.7358,177035.2184
Aerospace,12300.282,478.2348,35677.5987,18799.8838,505629.6504
Aerospace,18438.9243,689.5349,29873.1848,24576.7958,440432.5093
Aerospace,4112.0937,493.9084,96268.3761,0.0,926862.9515
Aerospace,7690.7295,635.4741,81718.129,17992.9756,565609.9951
Aerospace,4565.3714,240.0409,98163.0256,19388.7567,4584.1577
Aerospace,18403.6038,87.8129,92240.7718,9047.3296,799655.3744
Aerospace,11790.1989,401.9159,28182.8502,25360.0488,390135.0124
Aerospace,16174.7399,225.3774,18305.3424,50000.0,496976.1504
Aerospace,14243.1021,916.0621,52495.4963,7626.436,950513.9783
Aerospace,7610.407,472.9603,13278.8107,27175.8253,282980.8105
Aerospace,11134.4828,584.7474,64467.3104,6951.1665,344836.5454
Aerospace,10721.4801,339.7739,45216.4648,25720.9499,486013.415
Aerospace,10054.6447,36.9415,93299.6541,24702.4169,860555.2755
Aerospace,16701.1181,122.4363,61214.2222,17097.4447,98582.0503
Aerospace,18140.2207,432.285,79847.5929,25690.8068,888025.7469
Aerospace,3568.5556,732.2338,11334.3455,4801.0561,107154.7528
Aerospace,5436.5759,399.1202,62031.5965,7880.0383,480527.9729
Aerospace,6407.0862,464.3879,80333.0229,23429.1194,587647.8901
Aerospace,380.0313,590.6127,5739.3594,4345.9413,578982.4187
Aerospace,4088.2839,329.5872,13885.1003,42063.0112,909466.703
Aerospace,19668.0063,745.1968,80053.9321,32194.8959,220069.041
Aerospace,3560.9387,939.967,7143.2606,19609.2707,711150.2374
Aerospace,18041.7959,819.3305,19592.2896,18402.2052,810422.2221
Aerospace,18923.4911,913.5113,44804.3975,36082.4623,556602.654
Aerospace,15368.5232,650.8961,20003.7305,15523.1392,130650.4256
Aerospace,15999.4793,275.0355,62637.9457,19752.1508,267295.1546
Aerospace,5635.092,63.1735,20656.6232,12450.9271,868118.9146
Aerospace,329.9278,747.3755,96348.0165,50000.0,493221.2112
Aerospace,16794.061,912.5225,0.0,34307.6063,819823.1338
Aerospace,3092.7479,10.8021,29075.9432,21765.7321,749704.2881
Aerospace,19708.7099,355.5254,31996.1409,48784.6148,236354.7255
Aerospace,8267.5436,72.4028,41992.0811,27743.659,846687.4591
Aerospace,15081.8174,625.4603,52349.6563,10777.3402,289048.3051
Aerospace,58.1113,833.9658,53037.5846,37990.6831,166143.6897
