Application,Voltage_V,Current_A,Power_kW,Frequency_Hz,Efficiency_pct
Energy,309.7341,11.2371,1586.3157,52.806,66.1078
Energy,377.2411,1650.0512,3673.8794,50.4459,83.9596
Energy,165.9653,1301.5555,2096.4302,55.9722,83.5628
Energy,294.1024,1007.0246,71.6652,60.5349,16.7554
Energy,478.157,323.0897,4218.809,48.1756,59.2478
Energy,581.738,121.518,1442.0656,53.4822,100.0
Energy,735.0477,699.4416,4206.1012,59.5852,78.1388
Energy,247.6072,48.427,3834.9636,59.5786,64.3192
Energy,635.5588,123.4735,2089.6808,49.8873,14.0445
Energy,127.7701,172.7948,3269.4421,58.6669,17.1355
Energy,710.85,1626.8641,5000.0,64.2962,14.8514
Energy,531.6076,1491.4849,1526.0037,57.9972,82.3613
Energy,680.655,589.0643,2107.775,51.3658,56.488
Energy,280.9895,601.5452,585.2835,55.3662,35.0894
Energy,361.0986,644.5462,4289.9272,51.3186,90.4493
Energy,165.2835,1068.1697,2891.4491,55.5595,82.9357
Energy,168.314,1585.9004,408.4279,61.9099,79.7452
Energy,667.1562,922.8297,2932.4046,47.062,78.7975
Energy,326.2249,297.5563,2554.6818,53.8217,26.5874
Energy,335.2965,350.948,1502.6742,57.756,88.6144
Energy,466.789,164.1176,0.0,54.5742,26.0327
Energy,533.863,1576.1184,1041.4961,60.6162,88.3823
Energy,137.3823,779.7571,954.1916,48.0279,90.0186
Energy,482.5392,1810.7445,3560.439,61.6854,74.5174
Energy,529.9872,762.2859,1310.6276,64.8408,74.5574
Energy,634.1725,1598.9047,5000.0,52.6717,29.9974
Energy,234.9608,948.4668,938.1942,47.3067,39.9822
Energy,387.1041,1665.7827,4404.7192,64.2455,59.8254
Energy,418.4083,1095.8352,1783.578,52.4621,59.6221
Energy,690.731,411.3215,4962.6554,55.3201,45.1937
Energy,316.3799,1592.7707,4111.0736,49.9787,91.4666
Energy,146.8768,0.0,3127.758,46.3593,23.039
Energy,516.1597,1047.6766,4067.0134,48.0859,44.0796
Energy,520.6563,379.3439,4488.3358,50.0112,32.3357
Energy,522.1393,662.4058,4906.2265,65.0,92.2026
Energy,428.3929,784.9925,800.8718,61.5695,23.1127
Energy,252.8778,1162.3054,2975.5663,53.5696,48.5929
Energy,466.3302,747.3535,1977.0728,50.9485,13.3458
Energy,128.7831,1302.9232,1869.1032,48.9658,80.6037
Energy,498.0579,370.7734,3337.3289,55.2129,71.4664
Energy,413.5764,1628.3046,2585.1835,63.6061,83.3299
Energy,727.6693,1140.6849,4158.4746,64.7008,38.3913
Energy,319.6434,753.12,1639.632,63.1225,60.112
Energy,117.5508,1082.772,2664.3185,45.7552,93.5871
Energy,583.9553,763.6785,4889.0122,48.0195,32.979
Energy,225.4486,1679.2022,470.0371,47.7097,92.4268
Energy,461.925,1066.8485,1412.25,48.0621,96.9766
Energy,243.1929,1572.4377,594.0654,46.9011,43.8215
Energy,492.7462,1625.2014,180.295,46.3886,41.2802
Energy,498.6786,1498.5,90.6091,52.2767,34.3485
Energy,532.8642,1524.2591,1732.649,48.3061,86.7685
Energy,350.7317,482.926,4144.4676,48.3943,71.7644
Energy,138.3537,1797.7876,1297.5809,55.1422,27.5954
Energy,489.5854,1495.8362,1663.4103,49.2487,86.2831
Energy,663.8101,85.9472,4377.1738,45.0974,30.2526
Energy,455.2697,1292.8111,752.7668,58.9349,53.1308
Energy,261.4487,916.5643,1181.5631,51.2881,21.4266
Energy,363.9418,283.2342,3615.9135,59.0118,68.5993
Energy,439.2184,912.3881,3786.7422,62.9135,69.9324
Energy,170.7527,1905.6909,1716.9984,63.1513,44.9686
Energy,487.3686,1750.4533,91.3314,48.2043,21.2463
Energy,176.2813,124.8608,1867.9963,58.2996,58.3481
Energy,233.645,855.1504,3537.9957,46.747,94.79
Energy,339.9717,1003.0408,3651.0138,53.602,81.1279
Energy,610.1162,1325.8405,2120.0136,53.4685,64.5312
Energy,648.5439,1535.5569,1748.6595,48.4508,18.1567
Energy,303.0557,1706.7462,3344.164,60.8653,69.8947
Energy,454.9418,1127.6906,4707.6346,63.8907,43.6771
