Application,CO2_ppm,PM2_5_ug_per_m3,Temperature_C_env,Noise_dB,AQI
Environmental,342.4083,193.1957,-27.2459,82.2142,332.5156
Environmental,413.3245,487.8958,46.8794,91.6449,489.1726
Environmental,673.0447,146.4548,3.0004,39.3336,408.4668
Environmental,694.3629,480.7914,39.4475,59.1259,124.3116
Environmental,443.4803,453.6817,-9.0536,42.6109,196.2898
Environmental,720.1394,153.2725,14.2746,93.0631,301.8437
Environmental,861.603,466.983,17.6804,66.4605,97.1297
Environmental,597.5799,121.0135,44.076,31.5972,421.1485
Environmental,376.0618,114.144,9.2991,48.0166,120.9827
Environmental,461.0765,260.7768,45.1598,30.8662,425.7766
Environmental,365.5545,255.4442,46.6953,108.4449,95.2627
Environmental,930.4911,341.9851,-2.5165,43.3218,422.6979
Environmental,891.4712,95.6239,-11.656,87.2839,356.7667
Environmental,336.8532,411.5952,-25.5555,64.7906,335.1278
Environmental,984.9546,193.7624,-14.2161,67.9522,252.3419
Environmental,738.7931,19.2532,-10.5154,103.2531,93.0467
Environmental,557.0574,236.0896,21.9959,70.5321,452.8407
Environmental,647.4648,220.1302,39.883,118.0757,259.9061
Environmental,762.5854,104.7023,-30.0,34.5934,123.7341
Environmental,869.2035,31.9251,12.4152,42.4198,462.7029
Environmental,460.3126,401.7376,-2.4038,62.9496,268.6392
Environmental,585.6983,402.7261,23.5612,70.7044,33.9749
Environmental,942.5568,366.712,-13.9838,128.8489,291.7902
Environmental,407.8974,93.2815,-9.6909,109.3418,211.0614
Environmental,943.1942,483.9221,14.938,132.1783,354.0975
Environmental,383.1305,388.2128,39.69,133.665,281.8131
Environmental,396.1402,228.0649,28.4644,128.5139,77.7982
Environmental,630.6228,472.4505,-8.6025,124.6845,10.5158
Environmental,649.7919,447.3857,1.8696,31.1571,373.6541
Environmental,405.9445,326.6559,36.4945,136.6329,417.3273
Environmental,602.2099,39.5895,34.3761,53.3625,32.3426
Environmental,478.3211,31.0777,20.8465,114.3043,256.3912
Environmental,692.0776,117.3974,11.4193,43.6635,294.9267
Environmental,971.5698,293.1867,35.1957,88.2755,481.7614
Environmental,690.8695,130.4854,21.7145,122.4135,109.8927
Environmental,433.0993,457.9618,-6.8191,76.0725,9.6961
Environmental,351.709,45.8898,38.7191,88.4186,366.1376
Environmental,940.6089,134.4927,-22.9557,49.2327,395.9721
Environmental,661.6319,266.1976,13.4038,75.7143,165.6992
Environmental,817.7707,307.4763,6.9416,103.6577,183.3565
Environmental,641.9632,196.2646,38.7299,127.6706,419.4391
Environmental,491.8173,376.5091,-8.2737,122.0092,440.3693
Environmental,887.4883,284.5746,-1.4661,73.2328,33.4729
Environmental,914.0991,223.3532,45.5071,121.8372,339.5276
Environmental,650.4527,24.559,-29.6153,48.5975,358.5893
Environmental,856.3062,178.2667,-24.952,44.7799,172.9302
Environmental,598.9439,113.4314,41.8796,65.9931,216.7522
Environmental,482.0151,229.5775,0.7218,93.6819,280.8035
Environmental,361.0279,64.9839,-10.9902,99.518,347.6449
Environmental,780.395,118.9325,-26.5284,90.984,422.2963
Environmental,690.3376,447.6749,-29.9921,95.766,387.9839
Environmental,387.6397,459.0188,-21.2156,20.044,491.4317
Environmental,995.298,71.5929,9.2445,68.964,137.979
Environmental,935.4131,467.6104,29.9753,94.7237,339.4068
Environmental,789.1488,389.4088,34.4544,110.677,42.6472
Environmental,434.7293,414.6376,18.1101,85.8041,500.0
Environmental,961.5369,158.1255,11.2491,76.8819,379.9146
Environmental,851.6875,90.3,-8.9496,118.9622,305.0166
Environmental,643.3654,160.1287,44.1258,53.9089,143.1502
Environmental,393.6183,148.1935,14.33,50.9823,129.44
Environmental,794.7475,296.9865,27.5698,48.1069,466.2241
Environmental,465.7081,364.7414,40.1261,20.0,31.6293
Environmental,402.0961,13.2851,34.4882,94.0735,430.9899
Environmental,657.7396,315.5779,1.8421,64.2397,450.8366
Environmental,495.3677,0.0,8.1692,87.2484,183.2613
Environmental,839.2332,263.9607,11.6943,47.5268,48.2411
Environmental,486.8547,309.5204,28.0934,44.6459,12.9346
Environmental,621.7147,415.3583,-20.6315,111.4359,16.7557
Environmental,951.7066,263.9849,6.4781,88.5157,52.7306
Environmental,856.5546,464.6615,10.9434,94.4324,316.2328
Environmental,761.1386,415.2225,40.9729,91.9871,167.0013
Environmental,315.0058,106.2886,4.8481,48.5241,369.1332
Environmental,300.0,173.0245,30.6401,30.9389,451.2707
Environmental,424.3359,105.871,25.2861,127.2469,98.9766
Environmental,530.6335,106.6865,7.6288,20.0,393.5357
Environmental,544.1596,10.4313,-3.0543,93.756,229.0138
Environmental,932.3482,489.5001,30.9984,110.6197,274.2525
Environmental,796.6188,45.8151,45.4176,123.9061,479.0909
Environmental,601.7233,438.0628,2.7995,82.8324,82.9448
Environmental,556.7155,436.5074,-15.0743,36.707,405.7357
Environmental,734.4654,321.6073,12.2939,100.8751,381.9937
Environmental,680.1863,405.7439,18.9884,108.0348,124.2295
Environmental,625.9139,76.0629,26.2947,59.3133,188.8452
Environmental,640.6402,146.0006,49.0552,138.7581,453.8857
Environmental,300.0,500.0,-18.3311,87.7738,407.884
Environmental,732.2549,474.3929,10.0736,100.486,352.8439
Environmental,547.2344,480.1032,-6.6224,107.1986,201.9357
Environmental,718.3035,354.483,-2.0524,104.8171,63.7162
Environmental,499.3602,387.2357,42.6123,50.1069,414.7448
Environmental,319.3162,80.8762,8.2405,102.1459,0.0
Environmental,724.9643,267.73,38.0144,50.9517,0.0
Environmental,484.5178,211.7012,45.8837,121.2051,59.5593
Environmental,828.193,48.8289,33.3171,64.7381,368.2923
Environmental,318.9364,84.4915,-24.6145,113.9628,185.4878
Environmental,426.2222,172.1066,-21.8866,46.2134,198.0296
Environmental,676.0162,86.0846,22.7141,92.2384,53.1903
Environmental,562.9017,399.9493,2.3264,61.4405,392.3856
Environmental,303.4592,84.0175,-14.9257,29.2959,261.4111
Environmental,690.1545,30.1704,-16.8084,32.0668,363.0021
Environmental,399.7046,370.2157,48.3987,87.7153,261.4655
Environmental,935.2723,224.6592,-7.2202,63.3417,380.8105
Environmental,723.3707,47.2653,17.2707,109.9119,379.5374
Environmental,670.9017,444.4436,-18.3968,20.0,475.089
Environmental,732.4518,27.6875,-21.7173,108.3309,463.0085
Environmental,350.7376,351.4919,18.4412,32.2367,317.7244
Environmental,387.9224,408.864,-27.7564,20.616,350.5935
Environmental,502.9292,230.5569,5.3574,72.4481,177.3993
Environmental,763.7188,211.5584,-30.0,104.7531,469.6829
Environmental,954.6121,121.9664,-19.4173,55.3156,193.6179
Environmental,300.0,485.2041,-8.738,49.5459,154.0031
Environmental,733.482,292.195,-2.7337,42.7836,385.7661
Environmental,747.02,237.319,8.9219,138.5366,146.2185
Environmental,883.6876,342.9841,28.2621,61.8018,178.1539
Environmental,525.9055,174.8317,4.8709,99.2842,165.1313
Environmental,941.0285,27.959,0.6852,118.5675,393.0652
Environmental,512.8264,308.3208,-15.4107,127.0026,336.5005
Environmental,967.1276,461.5804,-24.8528,126.9674,15.8881
Environmental,989.079,43.4506,39.9972,139.0675,225.2751
Environmental,984.8833,160.9129,-24.7752,59.5707,109.5781
Environmental,971.3533,255.2308,50.0,29.066,7.6371
Environmental,1000.0,155.3217,-25.7623,112.6705,141.6634
Environmental,818.4541,126.3908,21.5577,123.6613,472.2894
Environmental,668.5653,419.3265,-5.9466,54.6969,113.5709
Environmental,501.4402,34.1246,-23.1995,41.1087,344.8355
Environmental,940.6278,420.8101,-20.935,59.0137,381.2753
Environmental,983.8451,371.2981,6.4771,95.3068,472.0755
Environmental,407.8713,28.328,-25.7455,33.6504,63.6684
Environmental,679.4075,473.7415,-0.2324,75.9632,277.6181
Environmental,307.7695,471.1081,-29.9216,106.1748,203.3922
Environmental,375.4216,360.1001,-1.9516,136.7336,494.0824
Environmental,320.2569,294.5183,12.1028,106.4458,103.3003
Environmental,329.3874,484.6956,-7.7996,64.4587,21.1483
Environmental,968.5835,347.1641,41.1662,61.652,302.0108
Environmental,839.9727,249.0886,-30.0,52.546,12.8898
Environmental,587.9359,114.6471,-17.6155,83.898,263.6342
Environmental,923.7876,460.8174,-17.733,20.0561,12.8045
Environmental,653.8721,309.7878,-4.6216,124.7947,101.4203
Environmental,465.6551,23.1947,-3.6285,118.1198,101.1484
Environmental,471.0758,262.0483,4.505,36.515,26.3305
Environmental,670.9542,52.1929,39.5893,24.7262,320.3297
Environmental,443.9742,368.532,-21.6051,82.8241,365.6338
Environmental,518.8903,148.0142,-23.2028,98.0952,198.6386
Environmental,515.8796,291.4841,16.6331,118.2221,335.6713
Environmental,565.071,121.3327,35.9662,54.3095,434.6672
Environmental,862.0893,426.5036,42.1009,112.7004,412.8284
Environmental,387.0239,422.9718,9.1645,85.9355,300.4295
Environmental,892.8866,302.5337,-18.7199,41.7499,40.2807
Environmental,957.1176,36.9639,38.3158,32.1713,32.3011
Environmental,842.8284,402.3232,43.1281,45.6837,212.3632
Environmental,332.1695,22.9628,18.5926,138.4951,312.9185
Environmental,753.6792,420.4009,-23.8005,47.1889,232.6204
Environmental,512.3838,448.65,26.1106,27.0884,151.8818
Environmental,833.6633,13.072,9.6218,130.0073,431.1485
Environmental,347.3203,69.279,20.2802,83.2381,229.4914
Environmental,585.1143,431.0742,-21.1278,58.0439,95.3713
Environmental,700.2879,436.8562,-28.3206,34.5425,286.4064
Environmental,429.7758,3.6319,-15.6292,43.5343,68.1702
Environmental,963.4342,154.7961,42.9093,51.8673,229.9135
Environmental,746.0831,228.5944,19.8785,107.675,52.9632
Environmental,426.2161,469.2349,8.9377,111.4281,286.8242
Environmental,468.4733,362.6203,10.4124,116.6433,258.3769
Environmental,615.9061,385.481,-19.758,138.4631,108.171
Environmental,836.8903,118.5729,12.1981,23.1268,433.4141
Environmental,546.4979,13.3427,9.2661,137.1492,205.4897
Environmental,942.2328,392.1707,45.6566,67.9001,459.856
Environmental,848.432,316.5953,44.4002,127.6145,166.1602
Environmental,570.9438,387.3304,-24.6187,66.2686,390.0983
Environmental,845.9965,353.7466,11.7167,106.1574,161.9904
Environmental,543.8167,22.8977,-11.1859,62.2356,163.5776
Environmental,795.2918,357.3889,-9.6367,79.6932,73.2819
Environmental,649.5758,365.6979,-22.3416,71.5912,142.8393
Environmental,385.1476,336.6905,7.7262,30.9386,290.2866
Environmental,500.6982,383.1163,-28.397,120.5213,336.2339
Environmental,597.9135,427.368,48.5515,73.9943,355.8955
Environmental,495.8529,319.8886,4.1563,95.9639,155.9452
Environmental,432.7139,492.3723,32.0359,34.7003,340.8548
