Application,Income_USD,Expense_USD,Savings_USD,Investment_USD,Debt_USD
Finance,48222.3023,3354.0206,23412.954,436051.9953,209446.5049
Finance,140717.8092,88658.271,21776.6489,399187.8333,270810.7876
Finance,170679.3413,33829.0417,42475.5299,294029.822,10202.0054
Finance,61303.8023,72292.0725,140221.2035,316066.0069,69104.591
Finance,90754.3673,120151.4812,171704.2115,439725.6968,281378.1406
Finance,23785.5499,27215.6868,91738.645,221913.0302,138113.4547
Finance,173994.3614,29650.7631,106027.2463,275637.5899,266766.8693
Finance,19344.7799,72210.9049,51020.5202,428266.733,286946.7215
Finance,135407.2593,75215.6608,159090.6661,371162.6273,296956.4965
Finance,34960.5734,64305.204,183730.6526,211174.1581,114449.1365
Finance,144497.4711,106879.2394,90390.69,159168.6465,102974.8246
Finance,129525.6466,44662.5343,31362.9695,259164.724,222388.453
Finance,142522.2271,34250.6779,8578.3235,66126.6453,162275.8541
Finance,126891.4481,2203.5628,104040.481,340261.3013,198036.7061
Finance,75922.6631,53684.3384,94257.8162,242043.125,164981.1703
Finance,116903.5896,30652.0199,185293.7507,283492.8897,143359.7748
Finance,45261.0221,86229.8119,11357.9595,408496.9735,98385.4985
Finance,50966.5976,24186.5882,28364.9579,183364.6047,182590.2811
Finance,16431.1681,138060.8456,38998.1692,258545.5563,87723.7718
Finance,125378.8976,124532.9503,109828.346,282718.9991,108443.8295
Finance,165078.9643,115670.5596,55747.8492,151316.5466,187819.172
Finance,77124.4748,121170.386,43463.3323,146643.1454,191023.3955
Finance,42211.5523,142330.9233,97585.4213,266027.3912,172329.9398
Finance,160721.8634,47661.9733,3268.0069,109373.0986,195414.4463
Finance,130387.6411,146383.2351,196528.8607,429366.8175,121335.3027
Finance,179025.4476,136874.323,169949.8205,493431.9992,181261.2614
Finance,4656.9688,57311.1022,58661.1247,110731.0641,28075.0345
Finance,79904.2029,130855.4146,65584.6021,293402.5339,142397.259
Finance,185982.5418,139014.4686,51275.4686,57235.5971,176325.8338
Finance,132804.7521,7414.7429,187986.2449,80140.5883,122258.0865
Finance,88260.1581,129147.5365,128865.4465,358964.6692,6076.1573
Finance,83808.4919,63135.4825,104046.3371,116486.3224,212946.224
Finance,183852.3567,127836.5207,102037.6582,379968.8994,137545.047
Finance,161953.2188,19132.6127,29191.8983,197619.5654,40628.2467
Finance,1540.4557,26343.5221,196791.183,241910.6845,296894.0807
Finance,26658.3473,147412.6951,181106.7002,133312.2267,277968.5611
Finance,93673.2627,62626.3687,186880.045,281786.1135,47803.8063
Finance,31807.0717,126859.452,58753.7039,145967.6072,220336.3041
Finance,56128.8092,110149.7206,100612.2156,78941.5555,145071.7074
Finance,165339.5656,120514.4967,103432.989,71820.2955,81747.5379
Finance,80675.2409,118382.9524,97305.9503,500000.0,205689.0764
Finance,90395.0033,135054.9267,4521.7666,178489.772,131443.6655
Finance,32862.6537,86633.0958,165692.5712,389248.7459,260618.7641
Finance,123616.3091,59441.9333,145994.0303,167772.77,211367.8133
Finance,25668.9873,135882.1371,95487.306,310758.7542,139077.5885
Finance,118385.6816,55997.7212,52467.5625,426759.5074,148634.2276
Finance,147936.164,94268.2529,121477.9849,350741.0643,14760.3751
Finance,172571.0802,130217.9042,26699.1589,25434.218,43050.8903
Finance,115142.3952,139898.1879,198275.671,107449.4241,11680.6173
Finance,67742.95,142378.4902,24294.3969,431410.0998,9466.4335
Finance,161482.5951,96268.4678,6876.8206,226064.6443,28289.7651
Finance,123232.3458,109900.375,124946.7562,300335.648,5100.7864
Finance,69491.6879,67217.1636,97244.9089,3947.6532,229222.9171
Finance,67641.3133,46396.7701,143545.9067,254279.6665,141353.1327
Finance,61950.4486,0.0,24409.7649,229410.9503,229038.8478
Finance,10091.826,29557.6629,73835.8459,338443.4677,53674.5262
Finance,27886.96,145811.7034,101240.3517,127966.2206,255767.3215
Finance,13887.2397,117466.323,86810.028,378031.2455,28996.4413
Finance,60425.7538,66346.8127,119182.1149,336138.4132,82921.033
Finance,92226.9788,51847.1242,17699.2097,248004.9741,125906.5185
Finance,36036.6167,8215.5646,96081.592,184530.3211,68638.0704
Finance,160327.5117,0.0,110069.0905,150150.1534,43271.2735
Finance,16690.5354,112554.0492,176987.9776,251823.8863,198398.8984
Finance,182590.1262,143770.865,113271.8119,297392.5929,3935.97
Finance,9893.7739,40105.1227,112287.6782,214879.7387,246311.4349
Finance,175777.6071,38462.044,162110.044,155446.5491,19634.7143
Finance,50865.8259,141620.0336,18085.6021,440812.2987,298757.2962
Finance,200000.0,89778.5026,133173.8653,165168.2744,264184.7619
Finance,103357.5548,25550.1946,156008.9482,354671.4088,122486.0949
Finance,5816.6114,5653.1402,17085.0799,449633.2128,39892.272
Finance,53980.2295,87150.2069,159028.9687,333037.1252,272089.7814
Finance,188290.7962,71255.154,159602.1623,177585.0512,192193.8897
Finance,64142.8877,67907.9733,3079.4415,154173.6432,157219.9602
Finance,74511.3907,144726.3534,51925.5061,421128.5802,92215.0318
Finance,11162.6884,39481.5606,24856.7677,228298.6191,166078.1935
Finance,43315.0079,70846.1277,101230.0177,306235.8412,125599.387
Finance,49468.1368,30474.4353,186799.7561,291057.6541,137002.5043
Finance,143735.1665,44638.9064,122010.4793,269186.4174,249881.3059
Finance,100348.5164,113097.897,110637.2278,449391.5969,283975.2409
Finance,30188.9646,30481.6629,31939.2466,452216.2505,293259.9667
Finance,155681.1485,101188.4153,133399.4987,1788.2423,269400.0324
Finance,126284.9615,17808.5898,179247.2491,256143.4963,240872.1561
Finance,55120.4367,31392.153,85878.8993,273073.9962,146317.5697
Finance,48331.8009,555.2083,134223.7801,477040.5531,29776.3516
Finance,194465.8777,94644.6488,51878.5284,19498.9797,197151.7016
Finance,120002.8343,150000.0,51908.7419,396423.6257,122287.9411
Finance,162552.3825,102996.5181,38914.5827,300802.4009,205422.5833
Finance,44237.0494,136908.9332,47496.7569,387568.2625,75421.6747
Finance,122494.7685,82618.721,70043.6141,133572.0244,221433.2559
Finance,14755.7375,100145.4915,111275.2841,379593.2246,56385.5009
Finance,118400.2378,140128.4414,155089.4336,135804.9214,250350.1446
Finance,41335.5939,18260.7792,59655.2104,344907.4826,264490.8789
Finance,137934.4621,88680.5455,32873.0424,382864.8927,266257.0996
Finance,189284.2348,88688.974,88269.5254,392867.8167,105463.6235
Finance,99096.9733,4500.4593,160293.5028,266080.0771,119801.4557
Finance,62226.7675,21743.1989,77511.0402,233498.7252,258082.9279
Finance,23413.0345,84821.5784,179226.6107,112097.5288,200951.8051
Finance,130672.3149,76244.4284,48995.8516,5716.4007,153779.395
Finance,117705.2004,47589.2456,150069.6845,39979.1058,297759.1072
Finance,105226.1711,103717.7846,89731.838,216431.122,159923.6959
Finance,187674.52,50515.5039,29330.7855,39209.5991,76822.1674
Finance,200000.0,110322.0418,53493.2798,56908.1959,203995.3567
Finance,147321.0874,120887.0988,172693.6632,98600.8058,153382.7239
Finance,33796.6834,97687.1901,172.4166,243236.0432,66513.5791
Finance,182044.7648,44778.803,156082.6464,303342.332,50710.0888
Finance,62230.7461,115777.4121,167406.5427,335697.8316,107142.6459
Finance,13548.2787,34336.6845,25946.4464,245554.1709,283543.0818
Finance,46979.9727,49840.2502,195572.2079,328969.2327,35727.592
Finance,170567.3215,89044.9131,167935.5635,405640.6665,146334.5739
Finance,44054.3186,99066.9353,40593.1531,181732.5865,100513.5785
Finance,81359.5779,60812.7785,51054.5713,338759.1735,281219.3617
Finance,52354.6502,88301.7435,160978.4534,337583.1789,104352.2794
Finance,7406.6823,35793.0182,106851.3334,330735.0866,75896.0737
Finance,109697.7439,117131.7548,183884.2903,297866.2461,139783.9708
Finance,131397.4116,145940.5477,200000.0,341843.4055,43845.4045
Finance,155768.2279,104342.3003,67589.0243,430105.7861,112904.2573
Finance,77115.58,48918.1495,16577.5637,207030.9447,212586.6528
Finance,27666.4656,53626.7046,137909.7327,326531.6117,171662.4125
Finance,136693.3561,0.0,176966.6169,125784.5179,4437.2175
Finance,177748.6906,101600.3356,35935.0173,382859.5069,157140.0968
Finance,23813.9463,89503.7968,200000.0,441284.0128,258680.9041
Finance,31305.9622,144252.8776,27492.5048,389150.4839,172346.482
Finance,68069.7206,62642.0083,23147.3966,259924.6773,152247.5811
Finance,134069.8099,138831.3753,98404.2049,47580.7477,128287.2898
Finance,104100.419,115516.602,158576.6837,432886.3813,168253.5579
Finance,145481.7503,43615.0025,64570.9749,411179.2905,22094.331
Finance,100.0,1610.4776,61164.3878,336194.0358,241935.0598
Finance,168514.9504,109264.4906,41049.3658,447010.8081,259515.3505
Finance,197945.2385,72778.4121,200000.0,239781.2632,178376.6411
Finance,6654.2331,141799.0989,64109.8317,488412.0232,291776.6812
Finance,97523.06,3745.2738,125836.4708,425254.9918,171127.3501
Finance,156702.9183,78762.4839,25474.2972,104203.9451,5867.6737
Finance,96221.7189,119113.2695,85809.7101,204173.1644,141758.9696
Finance,120134.7902,122748.8828,159469.1393,91082.4239,118621.8689
Finance,184396.022,101732.2319,197797.1144,106452.6717,67595.6492
Finance,105817.5548,58083.1818,31379.5242,270471.6245,167768.7064
Finance,41567.9208,10722.906,20687.269,197727.2675,133029.3227
Finance,150766.1125,52025.9349,200000.0,463250.4116,49764.9252
Finance,73747.0851,94339.8584,111483.6446,0.0,149933.6698
Finance,56708.3672,120816.9549,70965.1542,6414.5769,251314.1567
Finance,54034.1377,123862.8246,189052.0279,453796.0329,140208.779
Finance,18990.0488,116349.3175,83232.9224,119564.1176,67977.0384
Finance,184833.6967,47714.9541,48329.0606,0.0,197497.7861
Finance,114742.5759,102873.0622,156668.5339,222908.4475,257500.779
Finance,193978.2062,140284.4481,69935.3766,91534.3128,107311.9567
Finance,169401.9706,20981.9498,55410.0167,24116.4416,31778.578
Finance,4478.2508,112372.2741,93416.8074,261123.5698,273625.2462
Finance,50754.9759,61059.7632,133756.1871,74055.2063,207257.6059
Finance,66186.4784,32413.7231,168545.1102,403623.4766,290632.1241
Finance,99632.4752,45767.8617,50067.5192,133363.0147,206217.5367
Finance,144841.5792,25187.081,67058.4563,119045.7119,32438.3305
Finance,134500.5623,124032.1822,100709.6074,365689.8041,131273.6196
Finance,193816.6846,61199.3162,0.0,431813.2432,6512.8848
Finance,186681.5756,135014.1168,138275.9763,54903.0952,109384.0123
Finance,34598.8354,143533.8312,118937.1091,69308.6604,231436.9882
Finance,170163.6177,147033.8529,25872.9938,231540.4135,165242.37
Finance,161346.4242,19825.484,29770.5086,288827.4998,133269.1834
Finance,112659.6386,51415.5564,182306.9036,27646.1278,246757.2088
Finance,66020.4429,48833.6001,131500.0497,170949.3021,43365.2735
Finance,37882.6137,138132.9654,71676.5762,447393.0979,147354.2179
Finance,38982.6844,13165.6156,70210.9658,424725.1262,193435.3697
Finance,67978.1103,84850.3377,65062.9438,153830.4152,283711.1176
Finance,102984.9193,71192.2165,127143.2578,104529.4802,46099.1606
Finance,119014.6465,147327.0703,34474.2671,282512.8087,204269.2
Finance,67600.5794,146813.3765,198390.3358,44901.6889,8863.7476
Finance,75408.9506,62512.6774,134695.092,133979.6728,168354.0022
Finance,7785.8166,69740.4779,29159.4075,98999.9564,189037.6882
Finance,100.0,57755.0278,27587.2454,114501.9306,257593.0966
Finance,179615.3654,118344.4797,128855.541,108232.8622,104886.2271
Finance,5903.1983,19260.6789,75055.0767,295450.2484,207408.7323
Finance,974.0002,11234.695,133875.6511,255650.3707,18070.6101
Finance,40837.9301,98317.202,144054.7136,424297.6307,60676.0555
