Application,Calories_kcal,Fat_g,Protein_g,Carbs_g,ShelfLife_days
Food_Industry,1117.5365,84.3093,187.5038,60.2902,33
Food_Industry,1151.0391,24.2947,102.8225,172.8163,662
Food_Industry,517.2131,19.4109,52.037,187.9109,162
Food_Industry,125.8577,67.2044,16.6295,177.3473,490
Food_Industry,608.386,81.2607,13.8993,138.603,200
Food_Industry,1054.1364,23.6752,168.6766,228.1205,244
Food_Industry,1345.761,15.3145,113.1328,218.707,5
Food_Industry,1137.733,54.994,162.8114,15.1558,311
Food_Industry,299.8102,40.7452,97.8341,122.4913,418
Food_Industry,763.9705,88.1499,54.5872,253.5867,293
Food_Industry,472.2769,29.2438,169.399,68.0533,45
Food_Industry,1065.7535,73.2726,94.5245,165.9109,439
Food_Industry,1407.9192,95.2474,18.2662,247.8257,686
Food_Industry,233.7674,57.5812,167.1354,263.2253,613
Food_Industry,484.4733,24.6678,197.6977,182.8761,426
Food_Industry,839.3722,48.7868,200.0,66.8323,69
Food_Industry,361.2366,76.6632,110.0272,281.4856,407
Food_Industry,639.3783,63.8681,161.6997,140.432,533
Food_Industry,1205.8955,54.6283,128.5317,142.0902,715
Food_Industry,574.4798,0.244,96.2618,81.0061,29
Food_Industry,323.6615,70.1558,193.5015,146.2955,686
Food_Industry,579.7271,85.8526,114.5749,156.8038,490
Food_Industry,1111.6144,20.2026,65.606,36.6016,172
Food_Industry,483.3607,59.2192,78.8103,77.8758,535
Food_Industry,912.3304,28.7222,168.5379,76.0744,55
Food_Industry,1151.8043,3.5631,60.833,300.0,224
Food_Industry,286.2654,72.7478,174.1,19.5503,256
Food_Industry,1256.0669,64.6984,139.813,178.0252,572
Food_Industry,641.6618,73.3781,9.612,243.948,201
Food_Industry,1092.7749,20.907,130.0075,168.002,636
Food_Industry,1346.6432,97.6199,82.9618,114.1513,233
Food_Industry,1334.5832,78.355,56.9189,272.3244,423
Food_Industry,579.3135,39.8708,59.6713,151.3962,24
Food_Industry,1500.0,61.0093,120.7726,153.9164,504
Food_Industry,858.2446,79.9674,181.1276,51.4056,353
Food_Industry,1190.4356,26.9487,11.0509,283.2736,120
Food_Industry,681.8973,11.0794,62.1433,125.695,458
Food_Industry,479.7062,75.783,29.1135,52.6785,320
Food_Industry,1039.7188,55.9825,79.6995,134.278,681
Food_Industry,254.6588,89.5399,190.9644,232.9738,231
Food_Industry,1358.903,10.3879,146.3328,26.6027,24
Food_Industry,1322.7346,97.119,185.1998,139.1997,600
