Application,WaterLevel_m,FlowRate_m3s,Turbidity_NTU,DissolvedOxygen_mg_per_L,Temperature_C_water
Hydrology,44.8369,4496.7403,182.5213,12.5634,36.8581
Hydrology,69.523,543.2234,361.633,16.0804,-8.8061
Hydrology,86.6623,956.0533,536.6677,11.9387,34.8874
Hydrology,46.6978,4494.0092,713.8984,1.0478,33.309
Hydrology,46.7765,4019.2024,933.5802,15.6448,38.7653
Hydrology,20.9792,284.9974,443.1174,17.8368,17.7549
Hydrology,46.1118,2000.2017,960.8656,8.7583,14.403
Hydrology,47.9977,2890.3083,853.1579,20.0,36.8682
Hydrology,44.4436,1687.4304,787.2485,5.7061,-0.3745
Hydrology,49.6085,4842.7149,697.2185,0.5323,-1.4311
Hydrology,2.7513,4251.5655,142.6275,13.6194,-0.6683
Hydrology,10.197,87.8877,180.6961,13.3818,26.1311
Hydrology,1.8614,3208.8804,438.3659,1.0674,32.801
Hydrology,48.6539,714.1708,417.7951,9.339,32.4862
Hydrology,91.8781,4500.9574,569.817,14.0742,0.955
Hydrology,17.0388,1490.369,897.8295,2.2706,2.1473
Hydrology,7.9226,1391.7423,113.6639,7.9837,28.8443
Hydrology,66.3835,4138.9809,453.4015,4.314,3.9638
Hydrology,20.5552,2597.8261,703.8795,4.338,22.8316
Hydrology,56.2,4416.8397,43.6168,15.5093,18.2845
Hydrology,57.701,3679.5646,916.8372,14.8991,15.1357
Hydrology,24.2538,3197.2991,199.5383,13.1425,30.4684
Hydrology,81.4529,1001.7573,764.1622,7.011,1.0198
Hydrology,1.6339,93.4886,219.6214,1.3068,31.5666
Hydrology,16.1099,4061.014,162.3707,19.2667,-3.2632
Hydrology,86.0972,2127.5096,0.0,12.9358,-2.2979
Hydrology,68.8294,3858.8797,67.9462,2.5389,-9.7106
Hydrology,13.0049,3457.8566,566.8764,1.1039,-3.9086
Hydrology,27.8475,4650.536,714.3642,7.6352,-7.7086
Hydrology,30.5913,414.3182,359.3566,10.5248,-2.9413
Hydrology,52.5403,1554.4897,309.8572,0.1911,10.4784
Hydrology,27.4802,1365.4542,479.6518,7.1465,4.1102
Hydrology,51.6145,624.3686,105.8565,9.475,7.8482
Hydrology,30.1097,156.9755,842.3497,16.9692,2.1486
Hydrology,30.2646,2839.949,585.5597,11.4597,22.1147
Hydrology,47.5669,1153.6464,211.015,16.8586,10.2067
Hydrology,1.5663,4522.9465,711.4553,15.606,-9.5158
Hydrology,34.6239,3668.9031,260.5919,6.1884,-4.2804
Hydrology,50.1399,1226.5601,148.4579,1.3784,-7.8239
Hydrology,29.9163,4645.331,222.3878,0.7672,-6.1616
Hydrology,30.8491,3815.7957,67.1122,6.5647,13.2169
Hydrology,35.1451,1266.9387,294.756,6.8484,36.4234
Hydrology,87.0154,4736.079,791.5818,14.3541,-9.516
Hydrology,0.0,1903.74,538.6684,18.8544,-0.908
Hydrology,53.0113,1265.4808,673.972,13.4768,29.3047
Hydrology,32.8517,1756.0612,423.0973,11.3561,13.053
Hydrology,5.7147,887.2039,426.6451,14.8754,-3.018
Hydrology,85.4904,3430.3505,142.6659,4.9022,2.0369
Hydrology,9.1896,4763.2843,927.0597,4.2917,26.5237
Hydrology,58.2109,3351.2453,641.4709,10.2394,9.851
Hydrology,29.4156,4309.5441,316.9515,14.3565,18.4222
Hydrology,74.116,2290.9319,804.8003,16.2381,34.428
Hydrology,18.934,4468.2933,651.9775,12.2319,9.4836
Hydrology,24.2342,299.3308,732.8748,9.6093,-8.0176
Hydrology,25.9658,1618.9954,82.5138,16.2664,8.8079
Hydrology,77.2634,4760.1298,883.5968,5.5365,20.0376
Hydrology,88.5036,1919.5607,464.5605,3.2025,3.4606
Hydrology,47.7152,224.1769,708.0814,15.7375,38.5001
Hydrology,50.4747,5000.0,759.7833,4.9442,-6.6631
Hydrology,78.6238,4398.6561,125.3092,0.8528,9.5743
Hydrology,20.4474,594.0649,315.864,3.6192,22.3064
Hydrology,71.4724,1034.6256,170.2794,0.615,18.2522
Hydrology,55.0262,4482.6723,833.9646,19.5002,36.9319
Hydrology,11.1787,2210.0805,310.0651,18.9473,18.1858
Hydrology,3.7101,2143.401,623.5005,1.0372,-4.4705
Hydrology,50.0094,4283.0695,193.0265,20.0,33.7664
Hydrology,23.3107,321.2397,559.1485,11.5012,31.2211
Hydrology,25.982,3338.3742,882.4943,12.3429,33.315
Hydrology,58.4227,1451.6863,882.5985,9.6256,6.0757
Hydrology,39.517,3613.9163,581.3018,0.6538,36.6821
Hydrology,83.2029,496.7739,397.7217,18.2201,28.8228
Hydrology,90.5989,185.894,481.8099,1.9665,23.2744
Hydrology,44.7358,920.1176,278.737,1.2527,21.866
Hydrology,96.6575,4218.5798,421.8564,4.9759,28.2297
Hydrology,9.5321,4199.6026,740.6216,5.8617,1.0208
Hydrology,2.9377,2945.2875,292.3903,0.317,31.5542
Hydrology,82.1345,307.4192,829.8456,1.4259,8.9497
Hydrology,36.6651,2683.7789,25.2518,14.8861,27.4302
Hydrology,91.5381,172.3462,920.1079,19.3127,27.2915
Hydrology,73.7141,3872.2278,959.8303,0.2383,-9.7139
Hydrology,20.3484,1098.2774,413.6274,6.8155,20.971
Hydrology,56.3604,4448.7509,1000.0,6.7583,10.5386
Hydrology,81.4458,538.4509,245.5935,9.2579,4.7493
Hydrology,16.6807,2307.671,507.1981,6.9551,33.7143
Hydrology,42.2283,4659.5547,25.6629,12.4289,-7.9528
Hydrology,16.9821,1531.7865,109.3917,0.9167,27.4565
Hydrology,23.1929,2098.7526,672.2943,11.8948,-5.5214
Hydrology,49.444,3730.8031,998.8673,7.0455,24.5049
Hydrology,54.6471,2483.5878,225.4816,11.1742,15.0484
Hydrology,37.9806,1417.2239,210.0131,3.3782,3.704
Hydrology,77.51,2886.9002,523.5263,15.6782,6.0927
Hydrology,24.7597,75.5847,651.0339,2.6961,26.3613
Hydrology,39.1742,4387.725,389.6252,14.0533,-2.924
Hydrology,36.7545,3270.0407,391.7724,6.3485,-5.622
Hydrology,33.9733,1958.2167,955.5278,3.4786,18.3633
Hydrology,12.5622,555.7666,505.0363,0.9721,-3.0852
Hydrology,74.795,3358.9179,688.0943,2.4207,-6.3087
Hydrology,10.8917,4686.8699,590.8956,10.7044,29.4827
Hydrology,55.3441,3595.8795,204.7531,14.6929,25.4625
Hydrology,20.5065,4529.7255,514.7571,12.0384,9.3848
Hydrology,56.518,2006.1185,574.3514,3.4356,30.886
Hydrology,50.0473,4129.2811,30.0443,12.8527,20.2825
Hydrology,25.7641,3830.9308,556.0939,10.3469,14.9382
Hydrology,52.413,2280.0572,49.8524,2.9422,0.6871
Hydrology,58.0017,587.4274,448.0091,3.295,3.8886
Hydrology,52.9735,993.3856,320.8031,20.0,10.028
Hydrology,56.0777,1700.4986,699.6437,9.9848,27.8678
Hydrology,12.143,4698.0056,80.6457,19.9241,23.3296
Hydrology,85.6827,217.5007,180.1798,8.1205,6.6724
Hydrology,99.2795,2735.1774,165.6026,13.8621,37.5245
Hydrology,12.2744,1486.6798,577.1872,0.6505,10.8337
Hydrology,68.5176,1320.306,945.6025,12.6434,-6.7736
Hydrology,0.0,2374.34,797.0173,2.6032,13.9827
Hydrology,3.0076,2046.9867,0.0,16.9625,35.5764
Hydrology,28.6305,2406.769,220.8921,14.2976,16.5249
Hydrology,34.3896,1141.2477,390.2951,7.9529,33.6015
Hydrology,84.3018,3819.8667,223.3931,0.9816,-5.7586
Hydrology,94.2047,3390.1739,550.387,19.4399,33.7132
Hydrology,71.9583,141.6743,1000.0,7.191,27.6934
Hydrology,58.5219,751.5481,1.8712,5.7856,31.7968
Hydrology,22.0551,1519.4175,149.7203,2.1365,26.7561
Hydrology,15.22,198.9248,996.6349,13.3296,-9.0467
Hydrology,64.069,1079.255,374.6658,4.7199,32.1266
Hydrology,78.1897,2099.9376,54.2107,16.243,-8.266
Hydrology,26.8434,4604.4964,430.5081,9.7264,8.5116
Hydrology,96.085,4430.4146,903.5668,14.2668,19.6496
Hydrology,70.1802,2123.9619,782.6236,13.7953,-7.1307
Hydrology,32.0415,3445.6716,250.5564,1.998,26.6749
Hydrology,99.8763,415.3558,78.9462,6.0739,2.1652
