Application,CPU_Usage_pct,RAM_GB,Latency_ms,Requests_per_min,Errors_count
IT,23.7775,12.6541,545.6462,916407,17334
IT,9.9672,113.8034,1156.9688,123625,51036
IT,87.2786,426.0165,1422.7543,225164,49905
IT,77.2228,389.6511,544.3734,904037,13653
IT,68.8543,138.1602,896.5526,253317,24797
IT,59.3252,151.0476,373.4539,906854,94333
IT,58.2462,330.2964,958.3438,551727,52531
IT,50.1036,404.0864,1735.5507,292536,54557
IT,29.6744,451.1914,1104.5213,572851,90125
IT,1.4479,248.2936,755.1513,229434,88045
IT,84.6318,492.7625,1413.7623,770697,91074
IT,89.3931,260.248,1453.2406,159616,21260
IT,74.6124,52.8973,1088.1501,910818,92162
IT,47.4033,275.8816,1236.385,433787,60897
IT,46.7211,143.0245,1832.5571,827863,43677
IT,50.2483,82.9466,1664.0137,828311,80065
IT,45.7978,246.8516,0.1,750303,21193
IT,100.0,112.3279,523.2264,879217,37498
IT,3.8384,205.8952,1706.2757,353356,10139
IT,0.3845,318.1294,1329.4046,36243,63826
IT,25.158,319.2924,925.3317,95800,19418
IT,42.2699,385.7877,1044.9342,637268,34551
IT,85.691,312.5591,618.6424,906490,93454
IT,28.1507,474.5686,1271.5541,871236,34265
IT,26.4638,239.9434,1442.653,52925,59886
IT,55.6661,110.3741,731.6679,954275,14995
IT,3.5236,36.465,195.742,920659,35461
IT,77.4064,369.6831,146.4824,795525,12862
IT,81.9425,118.6918,214.338,539132,6411
IT,7.1151,127.8654,997.3982,8389,53957
IT,53.7426,40.366,1944.6922,648922,91990
IT,82.6258,307.4643,2000.0,779167,71283
IT,50.2747,501.0114,316.4674,239537,40853
IT,61.8088,243.3346,1533.3806,737999,89713
IT,41.7924,29.3102,1779.7977,39453,92295
IT,35.7414,290.0643,117.293,463778,19353
IT,36.4637,358.7858,767.0072,454322,98236
IT,4.4942,122.8983,1949.2304,642795,62389
IT,92.8096,54.7036,288.0273,750826,81393
IT,58.439,219.823,702.6793,654806,74961
IT,93.7337,283.2735,101.7243,96867,67126
IT,88.3486,254.2772,268.784,281781,96505
IT,70.7436,45.1992,1637.4353,627634,61477
IT,91.8662,364.9517,1754.9653,867613,59653
IT,25.2616,193.2082,435.0014,631578,51187
IT,57.9311,489.2919,176.0209,545421,72777
IT,47.4027,500.1148,1442.4779,439866,7493
IT,26.9199,317.2667,54.089,871067,65008
IT,96.3767,295.5679,175.4439,208053,72077
IT,93.2875,275.7299,893.9921,182890,61579
IT,89.8042,260.0348,1240.5991,449135,16761
IT,89.2616,506.9791,1589.081,386684,41341
IT,23.8582,294.6414,1989.1768,181506,36980
IT,61.8247,487.1804,966.214,140576,60134
IT,43.9796,240.5804,957.0005,987166,63212
IT,7.8632,466.4527,132.0647,845654,35682
IT,49.3182,475.0761,114.9503,184218,74894
IT,67.2747,502.6955,854.8311,89651,5469
IT,27.5139,372.7857,921.0855,10216,10670
