Application,Distance_km,Delivery_Time_hours,Fuel_L,Load_tonnes,Stops_count
Logistics,1183.4585,174.6786,1215.378,68.5453,7
Logistics,969.9709,112.2553,4137.3471,65.232,9
Logistics,1278.8346,235.3552,4623.9064,64.1557,69
Logistics,428.1794,57.9032,3666.8101,44.7863,58
Logistics,887.0635,98.3944,4874.9551,38.1679,73
Logistics,613.9363,197.297,117.9729,47.8203,80
Logistics,375.1468,185.0282,2734.7939,51.6405,57
Logistics,569.7835,218.8105,2124.8414,22.5676,40
Logistics,82.8349,166.4945,1291.36,53.9244,9
Logistics,922.0136,162.7093,1812.7984,6.4867,22
Logistics,1070.1956,195.8911,4358.2376,52.6506,3
Logistics,1590.3095,121.6019,333.8152,55.3572,5
Logistics,1254.1229,103.5432,2871.692,29.6934,50
Logistics,1388.1027,201.4118,2796.8134,0.0,74
Logistics,265.7064,222.8166,2922.6968,68.5898,7
Logistics,2000.0,192.2712,1361.4696,48.7913,35
Logistics,887.0367,215.9009,1347.5636,36.469,11
Logistics,1466.3403,52.6635,2690.7928,40.3552,12
Logistics,755.7791,213.0497,4842.5509,10.6475,31
Logistics,1472.4256,200.1518,3527.4762,47.9433,50
Logistics,1594.5776,128.6493,309.4573,19.5659,0
Logistics,1772.4178,45.9948,5000.0,95.4331,12
Logistics,1082.2935,118.3813,1102.7264,13.9146,14
Logistics,824.445,43.6414,978.105,14.9327,41
Logistics,1505.2178,62.9534,338.2206,84.849,15
Logistics,314.0592,189.243,3518.7424,72.105,16
Logistics,800.7288,118.8579,3445.6812,63.7599,5
Logistics,1323.2337,61.8645,1764.8934,3.8395,84
Logistics,293.6481,208.1187,4897.9161,17.2094,94
Logistics,155.4879,70.9716,4072.0029,26.0119,76
Logistics,1477.6503,101.7802,1863.798,70.88,83
Logistics,1850.2523,85.0055,2860.7455,17.5323,23
Logistics,1830.9846,19.9001,2750.7351,76.4063,54
Logistics,884.8432,110.2262,1622.7246,34.7347,75
Logistics,684.955,184.4218,4774.2131,29.2478,88
Logistics,1026.0724,75.9432,3626.936,70.0745,86
Logistics,1984.6471,89.4441,3871.0956,52.4148,74
Logistics,254.7632,33.8415,4626.3788,11.402,10
Logistics,51.9221,79.1943,1167.4175,97.8472,82
Logistics,736.5951,32.7194,1733.1002,31.1295,31
Logistics,386.8309,215.0351,3025.7659,43.1131,41
Logistics,1966.199,36.4953,1550.1912,33.7645,32
Logistics,1711.6179,60.2873,3685.8666,28.3019,80
Logistics,1367.2336,205.2572,1877.3998,0.0,30
Logistics,532.3327,67.7942,10.4472,44.1923,43
Logistics,1330.5064,163.8701,4232.8622,20.5559,67
Logistics,1232.5966,141.129,2837.9548,97.1331,53
Logistics,1406.9013,67.3895,3298.651,49.7724,20
Logistics,1849.9822,214.2093,3964.8904,35.296,76
Logistics,1789.9187,79.0507,2960.7691,62.8595,70
Logistics,1603.2887,154.1799,1005.071,96.9246,75
Logistics,1084.4843,11.2931,58.4351,81.3667,8
Logistics,1400.285,214.8251,1567.0326,63.5722,28
Logistics,789.1852,113.5945,2796.6092,19.0106,72
Logistics,1133.4226,140.4992,682.6473,50.1363,28
Logistics,1180.2086,89.5752,2276.8562,54.5263,45
Logistics,833.3385,91.3628,2097.1307,36.0447,77
Logistics,1712.4498,34.6998,3806.4991,83.2921,39
Logistics,1339.0102,215.1274,1485.673,80.3936,19
Logistics,1108.2505,66.5125,4015.2976,16.9982,9
Logistics,1056.8128,0.3383,0.0,17.5265,79
Logistics,328.3241,172.3653,1093.6719,16.6991,58
Logistics,1468.6377,145.7278,4474.8609,93.4697,54
Logistics,81.7369,31.7662,2077.5626,44.1879,100
Logistics,412.4518,235.3981,4964.3474,58.9715,1
Logistics,1828.0502,126.5318,824.421,21.4821,70
Logistics,460.8622,160.4746,3518.2513,42.4016,64
Logistics,3.2746,183.424,1328.1922,83.7194,69
Logistics,1983.1232,188.0464,3568.9567,92.4209,45
Logistics,591.3981,226.7515,1607.5559,99.8871,48
Logistics,1571.0331,6.3947,4628.1091,85.175,97
Logistics,1015.7536,175.9527,1333.1786,26.9232,1
Logistics,1993.8172,87.0558,1547.5311,90.9429,30
Logistics,715.853,42.1336,1026.3099,89.8909,19
Logistics,927.5653,134.1097,4349.3684,51.5204,34
Logistics,1481.2515,182.7146,973.9387,7.5417,53
Logistics,1266.8059,58.7639,4001.4177,94.802,61
Logistics,156.2594,133.5696,4477.6274,32.6586,64
