Application,Units_Produced,Defects_count,Machine_Time_hours,Labour_Hours,Cost_USD
Manufacturing,62451,906,73.0507,5707.839,946084.8421
Manufacturing,66054,864,203.6318,7727.4173,104542.6409
Manufacturing,61904,170,933.561,8301.1343,802856.1159
Manufacturing,92097,701,662.9946,4979.8077,458300.5867
Manufacturing,19008,127,629.987,9476.6562,882306.6394
Manufacturing,31275,592,811.8365,6612.1148,13325.0721
Manufacturing,69265,676,558.5458,3351.5989,565531.4145
Manufacturing,48798,746,846.5046,7080.7074,652917.0148
Manufacturing,19662,488,915.993,8555.154,899951.5463
Manufacturing,27775,88,973.9685,6890.4884,504757.5351
Manufacturing,71138,894,932.5762,7042.4666,839924.1105
Manufacturing,87349,68,687.2248,4474.4408,960476.8671
Manufacturing,69289,361,182.9068,8734.3556,329463.3031
Manufacturing,57546,587,681.544,2000.4115,1000000.0
Manufacturing,43216,913,151.3645,8344.8276,191175.5371
Manufacturing,34625,16,266.0144,6296.4967,723669.7178
Manufacturing,90970,636,70.234,3408.2235,634753.7353
Manufacturing,8187,692,411.7047,4168.3296,143591.1601
Manufacturing,90082,91,729.0777,6286.9288,107830.3685
Manufacturing,50823,594,194.1248,4580.8163,618524.4856
Manufacturing,97094,992,216.998,3964.9851,374354.5714
Manufacturing,91592,528,638.1574,1809.8437,88325.5462
Manufacturing,98905,269,256.6765,9596.8591,740350.6232
Manufacturing,32024,546,422.1704,6580.6277,95253.5376
Manufacturing,87790,72,268.9759,9395.3346,816288.6928
Manufacturing,37942,471,390.1889,3951.8149,77081.9367
Manufacturing,90013,969,314.9352,9513.8863,692128.4198
Manufacturing,37494,745,929.6939,4955.7782,863019.7164
Manufacturing,87730,672,428.514,7587.1127,845783.5079
Manufacturing,81016,922,969.9709,3887.7077,759723.3388
Manufacturing,83308,226,418.5791,8768.1775,201628.0637
Manufacturing,5745,518,180.074,5531.6701,481926.744
Manufacturing,94763,465,955.6065,2150.8724,395143.0729
Manufacturing,90250,371,325.7144,4089.2698,463540.1379
Manufacturing,13356,24,452.8194,2678.6866,763184.3641
Manufacturing,66040,70,229.1514,7169.2768,850939.2564
Manufacturing,83238,47,693.086,588.2323,661120.4659
Manufacturing,45505,279,869.5885,2271.4539,2676.698
Manufacturing,23230,914,95.0484,2889.3787,154614.2574
Manufacturing,56982,355,241.9063,9537.0923,315769.4992
Manufacturing,4612,248,950.9432,2738.9774,927281.8911
Manufacturing,25536,137,493.4815,4185.9225,633055.8775
Manufacturing,7031,188,927.6777,10000.0,807720.3503
Manufacturing,73375,327,660.1876,9107.2847,470921.3601
Manufacturing,75135,51,881.827,8474.1166,910476.8948
Manufacturing,79278,950,672.5366,1427.9272,283364.4582
Manufacturing,53337,443,91.6573,2727.2889,844303.2224
Manufacturing,59365,545,714.8145,630.2147,167859.9499
Manufacturing,66824,709,397.7405,6470.6829,712266.402
Manufacturing,73782,475,98.7225,6660.437,708243.9423
Manufacturing,94075,799,832.3198,9607.1395,127007.2877
Manufacturing,5950,447,974.2885,5076.2019,848737.271
Manufacturing,2694,213,718.705,1933.4007,800709.9356
Manufacturing,11946,942,120.9962,837.2319,877516.6616
Manufacturing,57923,159,326.2765,1293.2311,255819.2073
Manufacturing,52189,721,368.407,4296.6984,121884.5809
Manufacturing,2390,565,904.9871,6392.468,461570.9394
Manufacturing,29375,519,597.9277,3895.4539,852583.1094
Manufacturing,9458,851,203.999,6421.6101,821495.3808
Manufacturing,25526,205,48.4865,2617.3906,709434.7713
Manufacturing,30383,788,452.8253,1044.6894,952395.6766
Manufacturing,39078,959,588.3186,2439.2481,686475.258
Manufacturing,70576,711,773.7365,2296.1005,873128.6145
Manufacturing,9611,754,756.301,1302.8065,438005.7158
Manufacturing,23514,588,147.066,3651.3557,799110.3575
Manufacturing,49362,793,880.3173,7101.3305,704964.7414
Manufacturing,57923,456,214.6244,4176.2981,21190.5247
Manufacturing,2486,867,507.7011,8389.2699,315868.0055
Manufacturing,81841,85,20.1907,7922.3022,809483.5087
Manufacturing,91897,721,100.7762,7857.8005,386784.7983
Manufacturing,87443,926,580.2332,6584.9398,277669.0341
Manufacturing,91471,989,611.5172,6198.3834,13124.0712
Manufacturing,91505,503,491.6564,1548.3579,162737.3493
Manufacturing,54357,298,626.7273,2239.2276,134316.6167
Manufacturing,27384,242,750.3964,4422.6761,933286.4161
Manufacturing,84838,266,701.994,4168.6941,120189.0396
Manufacturing,7076,846,707.6369,5875.3982,525142.0017
Manufacturing,39839,187,244.1165,2673.0675,765300.0586
Manufacturing,864,242,706.3923,2897.979,514021.1045
Manufacturing,16070,660,751.9568,1588.2609,362564.8271
Manufacturing,52667,670,499.5992,7431.6442,917605.0547
