Application,Reach,Impressions,Clicks,CPC_USD,ROI_pct
Marketing,9015570,15620713,2614929,1.8044,583.5476
Marketing,5239816,18044656,4394268,34.3709,517.3757
Marketing,569272,6053090,526555,36.7116,-37.604
Marketing,5608021,590524,2810763,0.01,913.2343
Marketing,6819316,9440368,4406674,20.5816,478.431
Marketing,83839,5968827,551122,0.8195,461.5234
Marketing,3627626,4745590,722091,17.1476,582.6295
Marketing,6017984,10911127,4951428,21.4781,534.8124
Marketing,1652189,8708508,3806014,49.6769,155.0347
Marketing,7977430,18648564,1884605,18.4353,395.8144
Marketing,5207320,12250564,1827277,12.8028,281.859
Marketing,285225,19859119,4477035,30.668,564.9748
Marketing,9815008,16207808,3608343,5.3584,127.1541
Marketing,9795331,8050609,2979391,8.3492,-68.4293
Marketing,6551895,14381415,771227,22.1132,576.8693
Marketing,7995080,16948295,4405817,18.4015,621.1184
Marketing,9080444,5449867,697370,11.5562,836.1359
Marketing,2708101,12717834,3715109,12.842,-8.7473
Marketing,3913962,19835237,3315950,12.6993,652.7721
Marketing,7159826,7984120,3011248,24.0797,36.1556
Marketing,6387873,2794912,798592,44.9105,4.6311
Marketing,4523228,17458912,3945555,11.2178,-41.6794
Marketing,3430274,5477897,3347858,22.5545,-73.2949
Marketing,2784324,10248154,3850562,19.3789,-53.5838
Marketing,4573135,16259788,4129546,38.7289,815.4374
Marketing,185374,2696830,3100806,16.8149,684.6312
Marketing,3740990,7435277,758313,21.757,74.5299
Marketing,1835144,2117512,3362130,1.2068,620.0678
Marketing,6009733,13745688,989131,0.01,301.4441
Marketing,6458831,7111425,146497,22.8014,834.6232
Marketing,331895,16670274,2202950,8.6116,109.9013
Marketing,7047619,8628565,4769613,34.8295,942.5685
Marketing,3695234,4159271,3999407,36.1171,236.9254
Marketing,3460183,7398943,708388,20.9766,9.9459
Marketing,3985392,16898608,4305021,24.1232,211.6447
Marketing,2859942,19571448,2615129,4.0086,947.4203
Marketing,38830,15083116,1166581,47.9713,243.3123
Marketing,4022811,18882920,217933,31.8961,226.4597
Marketing,9728391,6340702,4395004,44.5683,101.4909
Marketing,8173683,1721203,909655,25.3163,382.1125
Marketing,3819620,4737773,3434097,11.3809,239.7841
Marketing,7263092,19682911,1906041,12.4754,174.2444
Marketing,9152401,19712333,1750859,8.7828,793.7847
Marketing,1111157,19539619,4709402,27.5558,218.5403
Marketing,7424618,5321604,1240901,14.5908,130.4723
Marketing,3353746,4148368,4270742,43.4906,619.0885
Marketing,8115682,18395326,2982433,40.3718,-35.9775
Marketing,2931660,143039,2010205,25.0782,157.1948
Marketing,4787124,2170437,260258,46.1282,636.7687
Marketing,1527614,8205695,1502160,20.3615,154.4957
Marketing,6282540,5067076,1387707,15.8764,-100.0
Marketing,6896831,13435609,1067480,16.111,765.0092
Marketing,5682603,5223414,2604859,28.5086,305.0035
Marketing,3755549,6460458,4534757,20.1549,405.3894
Marketing,4501801,8593024,4204507,36.1624,475.1543
Marketing,678717,8707987,656094,44.5687,566.1515
Marketing,8861833,5195578,3422466,9.3624,-74.98
Marketing,1265450,4018139,2674447,28.9322,796.4707
Marketing,6600606,15326087,3472563,15.4313,165.8793
Marketing,7363728,5020064,1675162,18.0308,626.4763
Marketing,5810957,7093852,2662157,44.0165,628.391
Marketing,1725537,17043739,3084809,27.0441,612.3368
Marketing,2807180,2055154,1878151,15.5861,900.5858
Marketing,2521096,19175496,4012161,28.6234,434.2721
