Application,Soil_pH,Moisture_pct,Nitrogen_mg_per_kg,Yield_ton_per_ha,Pesticide_Use_kg_per_ha
Agriculture,6.7494,8.9727,83.4997,4.3056,3.8676
Agriculture,6.1412,52.6905,76.441,3.8497,4.6077
Agriculture,3.5,38.4142,34.2619,2.6644,2.0243
Agriculture,7.5196,30.0861,114.4797,8.373,2.6084
Agriculture,3.8672,4.1151,107.9762,6.6545,2.5586
Agriculture,4.9701,55.1361,200.0,2.4463,3.8379
Agriculture,8.6305,21.8817,81.3797,7.2587,4.8636
Agriculture,4.3644,25.7465,87.3612,6.1643,3.7386
Agriculture,5.2458,19.2504,36.9041,1.5874,1.1869
Agriculture,8.559,53.299,123.0358,11.2564,3.5455
Agriculture,5.2188,21.7423,167.7413,9.617,3.1847
Agriculture,5.3203,12.5026,47.9727,1.1836,0.9655
Agriculture,7.0714,31.2193,2.9127,11.4578,1.198
Agriculture,4.2886,44.9756,136.0782,10.8973,3.1062
Agriculture,8.9257,20.8466,2.8686,0.3256,3.9197
Agriculture,5.1407,41.5024,82.2521,2.6357,3.9575
Agriculture,7.8954,18.3852,119.3199,8.419,2.9952
Agriculture,4.9023,43.5818,75.4756,10.7886,4.8735
Agriculture,5.0135,40.8051,51.0188,10.0495,3.6719
Agriculture,3.9263,42.5636,157.6331,3.3578,2.6875
Agriculture,4.2496,37.815,59.1627,0.739,4.0561
Agriculture,6.6381,8.8834,34.2856,6.3229,1.5527
Agriculture,6.7704,52.073,85.8522,1.2776,1.3056
Agriculture,7.839,32.6683,33.4075,3.1143,4.8615
Agriculture,3.6574,23.4353,136.3773,7.7814,4.7803
Agriculture,5.465,9.3011,140.1872,6.0171,4.2682
Agriculture,4.6175,48.1699,2.059,4.3703,1.0816
Agriculture,5.408,29.8149,139.929,11.2466,2.9335
Agriculture,5.5332,7.2216,59.389,2.3436,2.7209
Agriculture,5.172,56.5503,131.3041,5.8466,1.1148
Agriculture,5.1519,6.9924,144.4593,6.7938,2.2153
Agriculture,7.4508,31.2546,52.0855,4.1063,2.3764
Agriculture,7.2107,36.5036,34.7002,8.3379,1.0676
Agriculture,5.3399,60.0,159.508,10.5239,4.9739
Agriculture,4.4213,10.4969,146.2331,6.706,2.6177
Agriculture,6.2161,37.2957,167.5758,9.4346,2.5911
Agriculture,8.5386,29.1667,87.323,0.587,3.0036
Agriculture,4.1219,14.8785,96.2859,1.872,4.2172
Agriculture,7.6283,56.2491,65.3366,5.6316,2.7336
Agriculture,6.7539,43.4731,93.2844,10.7571,2.6314
Agriculture,6.7094,45.4916,129.6751,6.5467,1.0383
Agriculture,8.5689,52.6731,162.1733,5.6399,3.0486
Agriculture,8.7983,42.1923,40.0524,7.4005,1.8149
Agriculture,4.9624,29.9461,81.4097,1.3771,3.1309
Agriculture,7.9512,23.1613,97.3603,8.4863,1.5816
Agriculture,7.1353,40.9699,97.0406,1.1861,3.7418
Agriculture,5.7573,37.679,106.3306,7.0657,3.1224
Agriculture,7.2496,33.2914,163.1867,8.4693,2.4982
Agriculture,8.6742,35.591,179.179,5.1054,0.4494
Agriculture,6.3302,40.0955,28.9766,11.2744,3.1941
Agriculture,8.6363,56.0592,144.7141,1.7412,4.3207
Agriculture,6.9014,43.0924,97.5861,2.1065,0.901
Agriculture,6.0715,12.0478,83.3363,6.3387,0.3293
Agriculture,7.0822,30.8643,27.1467,10.7861,0.0
Agriculture,6.9552,40.7599,18.6613,5.0046,0.299
Agriculture,5.8811,13.2398,193.2426,10.9606,4.1851
Agriculture,6.6305,55.9638,130.4273,8.3946,3.4516
Agriculture,7.2735,3.7712,90.7765,9.1738,1.0101
Agriculture,8.1672,37.8353,150.5577,10.9977,4.6231
