Application,Ore_Quality_pct,Depth_m,Pressure_bar,Temperature_C,Output_tonnes
Mining,10.8019,188.5062,207.5542,-3.4431,8753.4914
Mining,16.1027,487.1375,382.5556,193.7016,1839.2567
Mining,46.5128,1973.4531,377.501,71.2708,9447.6159
Mining,58.4786,1429.2873,102.7177,16.5302,5774.7964
Mining,41.1061,811.0094,489.7237,15.3677,3655.9045
Mining,21.5033,899.175,242.2225,62.9452,3828.4091
Mining,83.9918,1095.8426,191.0914,15.6337,7387.8602
Mining,71.3603,64.7849,424.9747,106.7168,8129.1857
Mining,90.0272,1414.9197,458.6409,120.7933,9699.9159
Mining,93.4045,165.6527,107.9136,5.226,5050.8463
Mining,62.7235,932.5207,409.1507,-15.4229,3330.9875
Mining,41.8275,1225.1221,37.4103,143.0553,2009.2779
Mining,46.673,1233.4529,381.6963,104.616,1616.4225
Mining,6.7033,1779.7112,153.7272,81.7023,7120.4041
Mining,12.3744,462.3625,151.5236,173.3843,1050.0726
Mining,25.6784,423.375,462.408,37.6313,801.7191
Mining,15.9517,1389.1096,69.8758,107.104,4511.2208
Mining,10.8827,854.6121,81.1694,36.7087,4929.9008
Mining,47.9278,1478.1231,394.7148,71.9517,3369.7396
Mining,53.8983,870.6095,490.7759,3.0663,10000.0
Mining,82.7174,1191.8504,192.3367,141.8642,1358.7338
Mining,50.617,95.4281,365.759,-20.0,2191.8315
Mining,47.4634,1447.3032,433.8564,65.2947,4597.5561
Mining,30.3253,1874.4628,500.0,181.9879,9998.0087
Mining,78.5787,297.8542,180.6451,178.7395,2269.7326
Mining,66.019,430.3064,25.4297,17.4221,1359.7514
Mining,19.7063,1627.2058,18.4038,77.8593,7809.3833
Mining,51.635,261.9198,154.7559,11.9917,1939.1856
Mining,13.9746,307.1617,343.1115,5.9152,1334.3266
Mining,72.8628,284.3044,298.7333,171.0125,5542.096
Mining,28.2937,560.651,333.4611,18.244,1180.0273
Mining,49.0949,1028.2905,306.2327,-14.0655,9188.306
Mining,0.0,1127.2781,30.3999,57.2116,648.0942
Mining,84.3605,1114.1119,47.3553,11.8028,0.0
Mining,38.064,157.2897,244.7889,195.1308,8810.0166
Mining,3.2506,360.678,202.8193,116.5512,5583.7523
Mining,7.7445,1668.6403,8.4517,29.8318,9376.7013
Mining,80.4558,105.4471,375.243,169.3023,4009.6217
Mining,79.1355,1704.494,34.2823,79.9553,10000.0
Mining,13.9039,48.731,439.222,68.8487,1767.278
Mining,72.6067,885.2663,43.7143,14.2906,1693.2241
Mining,56.6891,519.4078,357.8067,3.4381,0.0
Mining,78.3777,168.347,45.9463,-3.995,3360.3936
Mining,27.1384,238.4167,114.2613,119.9421,6360.557
Mining,8.538,10.1147,474.1716,-12.0357,2055.1665
Mining,10.6116,1731.2577,342.4188,21.6498,8134.4395
Mining,94.5847,275.091,213.9704,51.9058,545.9229
Mining,26.6038,1222.9796,132.6037,89.4495,8284.6138
Mining,94.5667,976.1404,353.2387,-15.5915,891.4849
Mining,47.4381,717.9739,62.9692,79.7201,5316.1679
Mining,43.4172,829.8571,102.1469,124.1073,955.635
Mining,96.6669,1818.0998,360.1889,9.9852,4739.3083
Mining,15.466,1123.5217,42.1834,112.6182,2271.0857
Mining,71.5022,1591.4791,158.2408,36.2644,3144.2924
Mining,12.0698,763.5362,0.1882,104.4774,1829.4434
Mining,90.5751,703.6473,482.3905,80.1519,67.1469
Mining,1.9714,1477.3221,90.3807,110.6642,8127.2575
Mining,79.1456,802.9387,312.4564,92.9205,6538.9373
Mining,25.983,104.3899,343.8152,74.0784,440.8137
Mining,57.809,1641.0575,348.7531,33.3917,2567.9174
Mining,84.6319,738.261,135.1184,119.3336,6559.2805
Mining,76.2739,960.8433,133.1423,147.5923,4450.4741
Mining,91.0222,1196.5683,26.2272,64.1796,3697.8468
Mining,85.0728,117.8099,356.6732,193.125,682.5545
Mining,42.4254,1017.644,123.4509,190.6101,279.0708
Mining,38.2865,1015.9888,96.4369,142.0424,9772.5476
Mining,77.6256,29.0705,170.3624,107.0327,7795.924
Mining,28.0566,889.4268,121.5133,-1.8235,2712.1873
Mining,36.6925,1447.3071,185.9132,1.8061,8573.4443
Mining,82.6979,797.1895,128.1577,9.6795,8851.2894
Mining,12.3002,1903.2786,268.1364,200.0,6106.7615
Mining,3.3852,658.5159,151.3207,78.6315,530.1531
Mining,97.3264,873.5486,171.089,73.7062,3541.2817
Mining,19.454,449.2528,394.1474,161.5609,9548.4571
Mining,15.0512,1712.5188,320.8967,29.557,3411.3765
Mining,60.7969,329.5363,209.0272,70.9472,9733.5035
Mining,87.2905,1135.7406,194.1034,66.6405,9627.7921
Mining,40.2653,837.1083,365.4481,49.7925,1146.0932
Mining,67.8158,884.4885,235.2214,131.9206,2744.4418
Mining,62.3475,1532.9627,405.85,127.7032,5854.4837
Mining,42.4983,1440.3331,224.577,68.8302,1911.9821
Mining,6.8097,648.9405,486.3476,31.2432,2765.2993
Mining,90.84,1238.4317,254.9715,163.53,2961.1235
Mining,97.9852,662.3182,231.8858,155.8226,4833.3351
Mining,59.2941,79.036,344.0355,134.3772,5933.9322
Mining,11.188,1908.5801,450.1256,144.0622,4594.2062
Mining,73.92,1033.1613,62.3969,22.0395,9876.867
Mining,7.7205,1614.1014,99.5899,71.973,6816.0624
Mining,63.3137,1493.7742,225.0585,131.8621,2638.5298
Mining,47.2951,1952.9313,139.1973,113.3929,4627.9714
Mining,8.8605,1267.0322,299.8548,167.9291,7195.2828
Mining,14.4415,1940.0509,486.868,167.0087,5063.8691
Mining,15.212,1743.5462,76.6797,106.632,1546.837
Mining,72.4971,555.8091,342.2329,46.3308,8321.9435
Mining,83.6552,2000.0,437.5575,105.7974,8878.5449
Mining,10.8483,1440.8001,407.352,89.2937,6874.9046
Mining,34.7803,608.7311,102.413,15.2778,2127.345
Mining,11.1687,83.4014,255.9286,112.6786,1292.2466
Mining,89.898,34.3078,360.6637,85.8,6906.539
Mining,4.8927,1111.8054,243.9867,33.8973,9086.5296
Mining,39.7516,60.4646,193.8456,51.2069,6851.9994
Mining,23.5899,657.7965,334.7993,37.7829,326.6445
Mining,94.0562,1093.2549,35.8869,21.975,5075.7369
Mining,88.7358,304.308,46.2715,-20.0,4089.5217
Mining,34.8233,91.9249,439.2346,70.1788,949.6682
Mining,44.2159,1025.8292,223.9104,20.9718,9707.5225
Mining,11.1214,11.3077,60.8007,111.5871,4697.0095
Mining,40.9507,211.4041,395.1009,100.8177,8760.0727
Mining,55.7163,1505.6332,86.035,165.5382,3075.6179
Mining,35.8804,472.0476,382.4744,119.0123,8536.9556
Mining,6.8626,410.2097,358.1123,-13.7929,267.3548
Mining,22.7846,1110.2052,229.7726,78.2196,2955.3082
Mining,26.7985,1266.4002,391.7054,-14.2293,1534.2725
Mining,74.319,956.7605,227.56,56.4063,4878.5166
Mining,17.5269,1878.2507,324.7009,100.6343,7384.1377
Mining,70.6425,65.1599,391.3241,149.2323,7574.5207
Mining,33.3453,1854.7739,224.4171,123.9313,5987.1837
Mining,12.1489,349.7968,151.301,110.5015,7473.5213
Mining,49.3602,1973.4438,417.6302,191.3225,8214.5697
Mining,83.5782,1594.5216,187.7443,34.054,1128.8345
Mining,29.1829,599.4744,44.7751,145.516,4984.8927
Mining,59.4592,552.627,424.6269,71.8762,9851.7107
Mining,85.9625,1624.4692,79.435,79.7665,6487.9201
Mining,22.7285,725.9789,485.4105,85.2103,6721.0264
Mining,7.7862,1805.9502,38.6251,154.0075,9493.5608
Mining,20.2002,1596.8349,378.0776,-10.1973,1799.4485
Mining,90.487,728.0994,121.9634,28.8204,5228.8662
Mining,33.9803,1316.5691,352.9138,78.1646,3633.6709
Mining,15.4164,859.5076,231.9371,190.4715,7812.2146
Mining,50.382,556.7989,185.3433,-20.0,9645.3823
Mining,61.1744,1437.6779,341.8573,42.2642,2106.6636
Mining,44.5933,1002.6002,239.6836,88.2298,4189.2119
Mining,30.5863,1343.9818,418.3261,74.0297,5161.9347
Mining,44.8422,685.2465,119.138,7.7209,9114.5079
Mining,88.4569,38.0929,99.1279,156.5836,1959.8414
Mining,61.7263,517.5251,183.4268,109.2966,1580.3114
Mining,46.5386,1719.3058,171.5349,149.0764,6687.1352
Mining,80.3107,1483.0577,418.866,28.478,9193.3754
Mining,0.0,1711.1708,476.5183,29.3347,8675.9278
Mining,20.655,1432.2714,334.2784,192.0304,1137.2005
Mining,53.0084,900.6851,274.2784,25.4072,6068.5262
Mining,61.9716,1720.729,281.2047,191.7574,5800.0603
Mining,47.864,1395.1854,186.3243,166.4156,4880.3448
Mining,64.5953,696.3597,387.1413,179.682,1930.5362
Mining,63.6548,148.3516,409.9698,179.3863,7261.352
Mining,57.0871,280.6147,86.5589,189.0885,1084.034
Mining,14.9554,845.4299,182.9648,169.6921,7068.3411
Mining,41.9698,246.6657,151.2171,70.3213,3954.2881
Mining,44.6165,1902.9513,421.1706,129.9052,5898.9995
Mining,22.0676,696.6604,432.0423,8.7385,7727.4133
Mining,89.5812,400.1703,414.7044,94.6194,1242.6741
Mining,85.7047,1450.9594,423.5843,9.4895,2927.9682
Mining,31.1614,1147.069,433.0462,135.5528,3023.7073
Mining,22.7567,1182.1189,215.9074,6.4332,6768.8733
Mining,36.2629,842.5385,335.5789,174.4822,2967.6537
Mining,1.8811,1951.1917,60.0409,-3.779,9784.9124
Mining,87.8539,925.7493,264.4434,58.4003,3269.4234
Mining,20.8031,122.6771,380.914,186.7881,9221.1069
Mining,24.468,551.3366,121.7261,148.0064,4942.7727
Mining,41.2094,951.6781,177.0877,132.5765,940.3442
Mining,57.5536,1209.5938,376.6271,117.7392,3882.0441
Mining,43.0927,1049.7723,107.2668,6.817,732.5693
Mining,49.1647,1031.8867,86.0828,64.5862,3254.4415
Mining,88.55,40.7051,113.452,135.4225,4048.4439
Mining,83.4301,614.5721,171.9525,-5.5374,430.1085
Mining,2.5916,1471.492,439.2133,200.0,2067.2116
Mining,50.1913,935.3746,361.7138,197.0156,5253.9454
Mining,76.1307,617.0865,382.754,93.577,8966.7773
Mining,69.5411,627.0972,440.4047,-20.0,9015.9624
Mining,37.5702,1635.0842,186.5941,46.5882,8812.7635
Mining,69.7837,344.5856,413.9982,-13.0892,8608.3699
Mining,64.7806,735.1578,156.8077,-12.1292,3205.8787
Mining,23.6467,668.8332,485.0419,113.364,1559.6786
Mining,21.3316,22.9931,265.821,78.5572,4735.1297
Mining,7.25,1055.9415,413.9012,195.4704,4322.8451
Mining,45.4805,790.8189,403.7051,189.5645,2543.9483
Mining,51.4264,1079.0627,469.9916,46.04,340.508
Mining,2.8824,1202.3788,289.987,4.9607,8570.2674
Mining,40.7625,279.301,420.091,10.5487,1884.9441
Mining,8.62,1447.9726,495.5779,64.0449,9118.2592
Mining,9.2719,1194.306,151.1137,151.3918,3815.8911
Mining,27.3736,1576.4678,32.4416,-7.3832,2875.7108
Mining,53.9981,748.3423,79.1699,154.3033,7124.4656
Mining,58.5926,687.7109,192.8978,119.5088,4451.0599
Mining,57.4068,220.9642,157.6876,145.9866,6055.263
Mining,96.4123,174.3428,41.8106,169.2927,8239.3389
Mining,24.1243,903.0607,423.8894,38.6833,9460.9986
Mining,43.3577,338.3276,307.4345,169.4239,9453.8028
Mining,50.0673,1726.4316,438.2191,137.542,8068.2043
Mining,21.1459,1595.2475,17.3411,68.174,8877.1079
Mining,26.6888,1097.8201,183.6217,40.7185,9552.8103
Mining,67.2244,177.603,198.8566,116.6465,7170.8657
Mining,84.5637,1193.6107,171.1264,114.887,3544.0758
Mining,38.3539,1842.4434,447.4365,123.5005,6053.9653
Mining,57.7197,422.0679,234.4311,43.8393,4021.4027
Mining,96.7006,582.3563,215.6979,-20.0,8876.6262
Mining,74.7522,1637.8993,499.464,-6.2079,9926.7896
Mining,10.0696,1895.5948,152.631,28.6525,9884.9175
Mining,99.2194,858.9023,120.9206,149.6845,6510.7599
Mining,70.2121,781.1946,139.0352,121.4557,9266.6773
Mining,21.1471,1886.3213,37.0754,164.314,4952.8669
Mining,22.5839,1296.9655,405.6585,-11.0128,0.0
Mining,70.6627,1114.6774,165.7938,3.0509,732.2589
Mining,81.6378,1329.4853,496.1787,21.3367,4981.6047
Mining,53.9859,1442.5178,51.844,96.6558,2300.9796
Mining,58.0396,1731.3253,288.4135,149.6154,4683.5442
Mining,18.3801,733.7627,336.0007,97.7443,3028.9403
Mining,61.2747,874.8204,324.737,98.163,610.1696
Mining,58.8287,776.4295,150.8459,28.1679,2089.085
Mining,43.0303,1364.0076,273.3964,-4.2662,9177.5642
Mining,4.5008,738.7233,445.4674,59.7734,0.0
Mining,65.8155,1406.6523,34.5185,-8.7641,1577.031
Mining,52.2901,1230.3814,174.1808,82.5734,1149.8653
Mining,47.0699,1610.9889,281.2,11.9579,9119.3759
Mining,96.0425,41.2308,358.7495,53.2711,8900.9361
Mining,57.8748,222.4074,116.665,129.4618,1519.1344
Mining,93.3272,832.2926,430.6187,132.9143,2903.807
Mining,69.5416,1083.8868,323.2676,118.4904,1497.789
Mining,19.6847,715.9062,47.8152,148.6359,7990.5016
Mining,53.9382,1129.1164,334.235,194.9769,5758.109
Mining,73.1033,329.7817,349.3187,79.8725,2869.9715
Mining,76.1249,1590.6124,336.2852,58.5181,9607.0307
Mining,11.6746,859.5785,282.6691,111.7603,4411.2928
Mining,11.2011,1722.1227,396.1274,144.22,8563.9531
Mining,2.9345,976.9902,199.243,54.8066,1717.8005
Mining,64.4394,194.1024,126.1457,15.1514,1659.1891
Mining,40.5669,1932.5648,458.929,168.1804,8262.3535
Mining,78.0284,79.7055,292.9673,119.1079,2039.5429
Mining,86.7862,649.9423,117.1037,-12.8917,1164.7081
Mining,76.7132,208.5544,224.6937,191.1048,8749.309
Mining,51.4089,310.8207,415.6772,86.478,7769.803
Mining,50.15,793.1924,80.2685,124.121,1951.1132
Mining,12.5945,598.3558,411.9645,62.5177,9634.6589
Mining,59.6493,1651.1284,65.0435,182.7147,5281.7428
Mining,34.3155,1749.0591,365.0207,170.1562,3770.4518
Mining,8.3302,1290.179,440.2902,116.6846,1537.0492
Mining,64.8453,1529.5592,272.179,147.4967,6186.6863
Mining,65.5372,400.8262,12.2079,27.5853,4241.6525
Mining,6.9529,322.9349,162.5994,106.7712,1554.1616
Mining,98.5464,379.9974,61.1157,31.2479,4312.9944
Mining,7.3096,1159.065,386.4678,94.9237,3383.9008
Mining,17.5273,1933.7363,385.0628,119.4446,9756.8834
Mining,74.5157,1799.8518,51.3666,58.114,3331.2164
Mining,75.6322,1049.7741,73.4147,48.7622,1769.775
Mining,31.7312,1956.765,60.6937,58.5362,9800.7531
Mining,63.9542,827.3665,183.9586,102.1731,1896.0252
Mining,31.8961,1561.4837,94.672,11.6468,4850.4091
Mining,32.9277,287.696,245.0004,178.5851,10000.0
Mining,94.8694,1736.1336,13.9298,12.6607,1087.9427
Mining,72.7899,1722.2981,360.7787,191.4702,1826.6954
Mining,49.3027,1939.2745,282.7997,195.7816,6893.4974
Mining,22.405,1015.3814,361.7743,62.4994,8126.2363
Mining,29.3402,1167.1034,233.5701,129.5418,3718.3688
Mining,94.4532,633.7081,52.4236,-9.7577,7529.9296
Mining,56.4537,1921.661,124.943,81.9812,5949.7101
Mining,52.2449,381.3398,42.0163,94.4487,2148.1507
Mining,37.6993,1745.8606,64.7153,52.4197,2330.3355
Mining,12.7261,1567.8095,316.0431,-19.8127,9924.0374
Mining,47.531,238.6098,370.8166,4.0727,6232.2293
Mining,94.5411,183.3107,49.23,89.8699,6803.3046
Mining,67.2624,248.3311,0.1,78.8137,31.9378
Mining,36.845,1935.1606,366.9732,159.8502,5304.512
Mining,79.7135,508.2997,121.5858,181.4689,5348.5836
Mining,86.4809,1667.3173,458.1867,131.8765,2865.111
Mining,27.0741,391.1898,182.2444,102.1961,5730.9574
Mining,32.8743,570.3601,154.7322,167.0043,4713.4901
Mining,66.2407,1367.5643,39.9845,35.9685,6298.2282
Mining,52.0844,652.4137,429.4137,155.6138,5593.3323
Mining,37.5584,1588.2554,360.0422,66.6169,990.2868
Mining,18.3304,951.9577,172.6681,-5.0462,8749.451
Mining,26.523,272.9086,428.0969,154.7627,1971.6694
Mining,26.9543,607.6065,430.2214,38.7395,3056.4318
Mining,8.3273,1154.836,298.5971,94.9193,7241.4753
Mining,1.7064,895.1771,23.8559,116.8059,8089.1316
Mining,51.8033,1107.8031,285.3326,145.9643,0.0
Mining,70.0349,654.3951,403.6502,88.2572,2266.7525
Mining,20.5917,778.4295,382.9436,83.1862,7651.7882
Mining,80.993,976.8484,356.5137,105.9644,6623.6465
Mining,100.0,549.2786,200.1145,170.7976,5974.606
Mining,81.485,515.8693,119.7192,186.8122,8611.1648
Mining,36.9257,990.7692,176.9006,131.6064,892.0394
Mining,78.1202,2.6838,445.694,34.5931,6156.1478
Mining,46.1476,1776.2861,138.4275,176.8243,7847.1559
Mining,28.8765,182.8101,255.1559,95.5295,1679.7754
Mining,33.5784,115.1878,262.2871,197.9827,9840.0097
Mining,69.3646,658.464,37.6925,25.3235,4834.0145
Mining,2.1896,742.8072,238.9843,22.2282,5936.2971
Mining,88.1997,423.2081,347.0972,200.0,6541.5115
Mining,61.701,1115.6124,422.2552,169.7713,935.8748
