Application,Velocity_m_s,Acceleration_m_s2,Force_N,Mass_kg,Energy_J
Physics,-292.7285,-39.1772,-4953.4531,3423.6165,3227249.295
Physics,-100.306,1.1685,5607.2936,8467.9464,1006893.8959
Physics,228.1551,-11.102,-7816.7784,94.4721,9577343.7841
Physics,204.1021,-40.0253,3837.3341,1345.0673,7342868.8096
Physics,-61.468,-22.743,-1348.7774,2683.3043,5912672.0264
Physics,-204.71,9.8412,-9417.6392,9889.4023,169208.9713
Physics,91.0325,17.5415,-7992.4547,613.5266,8166933.7564
Physics,105.4356,-38.9289,8717.7116,6491.083,516218.7156
Physics,55.4804,44.3736,5597.1825,8003.2954,1244494.2052
Physics,-182.7566,-31.1781,5687.183,925.0402,698107.2678
Physics,191.5152,16.3708,-9205.9263,1146.1245,1461392.606
Physics,-281.9816,-17.0311,4299.3041,3114.703,6460293.5451
Physics,279.9226,21.218,-10000.0,5763.857,724364.0317
Physics,245.9184,28.6493,-3989.0864,2662.4272,6407562.0495
Physics,300.0,-44.7537,84.7116,4953.3473,7812349.8092
Physics,75.6721,27.3632,-2790.9832,1227.2945,4796112.7432
Physics,70.5055,-39.8123,-7424.9186,7044.9338,6383794.4111
Physics,-78.3869,3.186,9477.2689,3887.3937,3319106.604
Physics,-235.4615,-18.4581,-9263.3637,2277.7436,7305850.2235
Physics,147.2988,-19.0085,4124.3208,7889.0102,10000000.0
Physics,-13.4418,-35.3527,6162.303,2199.0303,3164069.3215
Physics,-47.3407,17.2907,-4484.6516,5143.5472,5879045.8361
Physics,237.2498,-19.2887,-1078.522,487.6302,9226608.8237
Physics,-300.0,1.3477,-8798.8139,2916.6514,593616.333
Physics,-11.7478,-47.3552,-2906.0651,1740.9962,2801634.9647
Physics,112.0333,10.8358,-3055.1059,2384.7593,1340081.4721
Physics,-300.0,16.0314,-9605.6925,10000.0,5580485.618
Physics,126.1134,-40.8642,-5726.6584,4087.7998,1722163.0
Physics,-207.9395,3.375,8193.9626,1584.7002,3081338.0071
Physics,193.6544,26.3488,4177.8157,9685.1811,4663966.9718
Physics,155.146,-34.8731,-9562.5088,2871.2037,539760.6137
Physics,-210.7491,-45.4548,694.3423,7381.6229,2785146.7799
Physics,44.429,-31.1759,-2382.3189,8459.5219,2316708.6328
Physics,143.2534,-13.3485,9199.7139,3697.8854,4128098.5184
Physics,-289.2467,-9.6596,9669.1233,6028.2809,9736391.7104
Physics,9.2487,-44.6623,3558.695,166.0045,9847704.4052
Physics,-267.968,43.6098,-9366.1594,3762.6613,1505377.6587
Physics,48.3143,18.0427,-6658.4321,8703.1168,7465497.8419
Physics,218.6517,-37.9274,5048.2518,8197.2164,9017287.8273
Physics,-65.1091,29.1742,1994.1975,2441.4646,5187828.0448
Physics,-40.8309,-18.9973,-5386.2936,199.1899,7415319.6385
Physics,300.0,-10.8284,-8285.6418,6312.4757,4078200.2108
Physics,-16.216,-40.4243,-3011.9016,1625.2876,6075224.1684
Physics,-137.7545,-10.9813,7603.6555,7975.4915,4820540.4952
Physics,279.3719,-41.8596,59.321,4647.1676,3036716.1701
Physics,96.4939,18.7134,-4291.2163,4160.4624,1732699.8472
Physics,43.5133,-17.1412,-8298.131,2221.6497,2946833.0933
Physics,99.2596,-19.8476,-6609.9145,5622.2172,8770707.1898
Physics,169.7098,12.0127,-1156.3373,7981.4433,9297520.9657
Physics,-283.8738,20.3042,5391.7524,4747.66,8412381.38
Physics,-165.7641,11.0714,-272.0498,980.6583,2853205.2885
Physics,-264.6454,31.1359,63.3448,5512.3898,8816903.7296
Physics,-119.4715,10.3674,-4357.2861,3062.2429,1683363.9042
Physics,157.0443,45.3754,-5331.1552,5316.2656,8565071.8922
Physics,-60.1192,9.1622,3395.7595,984.6041,3028759.9795
Physics,133.0842,35.4161,4035.2179,541.3562,6734450.38
Physics,-123.0457,45.8214,8903.5495,7584.4307,7512089.377
Physics,291.5528,-29.598,8130.6679,4969.2309,1080927.7739
Physics,-239.4259,15.7329,2320.133,4259.7025,2796796.3312
Physics,57.7667,15.7423,2649.0392,9329.0247,6114851.8948
Physics,45.5387,36.1866,-2259.6986,1807.9563,6087848.2683
Physics,144.9666,-17.2276,9584.8477,8910.6067,8816199.3317
Physics,-300.0,-15.5718,8130.2727,8582.3382,6571274.924
Physics,-148.8935,-43.4057,-8733.7513,5305.6984,2382002.6811
Physics,-37.0294,24.1516,-2394.2395,4335.3119,7693301.2761
Physics,13.3514,-22.8375,-2017.3653,1121.0033,9488927.6268
Physics,-259.365,43.0796,-4177.1914,3400.7677,6304430.5706
Physics,164.2001,17.0479,-1175.2499,5646.597,4708164.7604
Physics,-219.8274,-17.3805,-1262.7154,3843.6059,8534883.5969
Physics,68.019,29.9915,6219.5934,8841.4865,4306760.0591
Physics,-110.3096,29.5162,8202.2032,395.879,1635951.8881
Physics,-11.1076,-32.8447,314.8373,2901.2885,776884.2975
Physics,-268.9566,5.0666,-4678.1693,9089.83,3941892.1787
Physics,210.3012,-46.8834,-199.4656,865.6578,6934250.2871
Physics,-162.1295,-17.3132,-6330.6715,5011.8501,7186443.0222
Physics,-107.3836,17.607,-2289.743,7551.0351,5687003.4466
Physics,-47.1742,-20.0706,1188.2669,4248.2076,4408178.2835
Physics,-146.4379,-37.067,9452.6406,8180.0998,6774963.7457
Physics,46.6882,8.805,-366.9465,1494.0881,9547070.9263
Physics,219.4647,47.8923,-9320.4271,9706.6841,2843472.3537
Physics,-51.3628,-8.7228,-7941.435,6699.1812,5521216.3196
Physics,-225.9386,43.08,-1749.3692,2894.9278,8739943.5721
Physics,221.1721,40.8382,-6453.4014,828.2544,2753879.4913
Physics,-3.5693,16.6135,-3109.6731,5536.1787,2357217.8732
Physics,300.0,-44.6493,6944.0782,6018.0518,8861136.2249
