Application,Sales_USD,Discount_pct,Footfall_count,Inventory_count,Returns_count
Retail,52883.7977,87.7098,44362,33331,630
Retail,130797.5855,98.9679,20877,21147,2412
Retail,266176.9329,20.0137,28148,78165,3599
Retail,367948.7643,32.6798,24642,35398,2331
Retail,175499.5998,41.232,29319,38773,1264
Retail,204129.5778,52.5749,2002,44170,4203
Retail,46536.4277,72.6232,5988,70656,3966
Retail,434609.167,23.2127,46270,8238,3492
Retail,326663.2674,10.3313,28203,32065,3686
Retail,42265.3204,65.1906,49421,23641,3145
Retail,87868.1491,71.9344,15789,14266,3824
Retail,146136.3434,46.53,44123,41332,3998
Retail,7055.8027,88.3448,47425,36341,485
Retail,141867.2719,17.5261,43063,33493,2871
Retail,457317.8885,59.7386,16683,4432,3718
Retail,192623.0224,68.427,30491,70143,1207
Retail,234914.4514,72.1785,27390,38380,3926
Retail,442197.3044,21.3408,32943,5397,4616
Retail,173317.0995,28.3482,21199,32663,1951
Retail,393379.5158,84.8442,26216,58131,3620
Retail,45493.022,33.6366,21937,97403,4841
Retail,101618.4159,79.1677,23013,10110,1048
Retail,41361.789,45.8784,45905,48982,795
Retail,363602.3189,93.5311,685,69888,4608
Retail,28169.4125,87.9417,31470,63898,319
Retail,217024.3798,75.2816,16706,85341,620
Retail,428518.593,84.9279,12694,84463,711
Retail,285504.9651,50.4402,1122,78519,2846
Retail,297234.7089,51.9405,44950,6160,2811
Retail,41865.1487,57.9783,39672,59521,1639
Retail,153819.0522,24.9667,19117,8742,3384
Retail,94147.458,35.1019,29608,24515,4891
Retail,240611.9806,56.9289,29461,99367,3956
Retail,359816.1315,31.9162,22733,82396,613
Retail,121254.9056,75.3814,38883,48824,8
Retail,416955.4914,57.6669,47210,14934,4937
Retail,151624.3354,42.6839,13679,37844,2397
Retail,208139.123,31.1225,8135,80662,858
Retail,39099.8199,69.488,19047,38009,3473
Retail,50082.1744,36.5021,37577,35798,3925
Retail,425508.047,36.2546,9534,59146,2267
Retail,217779.2714,48.0989,27195,1853,53
Retail,18615.8214,0.9867,37540,57686,311
Retail,272763.0166,15.9145,23544,29043,3037
Retail,147910.719,21.4967,40159,96602,4889
Retail,325795.5905,16.8484,49583,81557,1255
Retail,152789.8223,59.8145,30557,48101,3104
Retail,347875.8356,67.1638,49601,98081,1637
Retail,260117.0655,11.8609,15033,242,2241
Retail,50522.6932,85.9781,15222,59384,3834
Retail,131149.7783,97.7026,319,91383,2615
Retail,396851.5819,41.4442,5463,97381,4083
Retail,280979.4959,53.3872,18135,42979,4751
Retail,250678.3833,17.0331,28466,31941,709
Retail,63885.138,75.0645,44031,15644,4145
Retail,328646.1681,43.6916,40733,76409,72
Retail,327883.7641,17.2308,42817,3861,3645
Retail,358204.4641,12.4636,4485,23088,1939
Retail,204414.6402,37.0465,1615,72113,4627
Retail,399298.3911,42.1286,7572,86894,3975
Retail,260884.2671,41.6774,20906,26900,1789
Retail,338519.4604,12.372,14661,9211,529
Retail,166846.6045,86.5962,31539,2046,179
Retail,0.0,28.6616,22175,23004,1172
Retail,126932.1246,71.6814,7446,50467,4217
Retail,46593.0039,0.0,6372,40968,1032
Retail,157756.3781,0.0,19423,16344,4853
Retail,15017.2483,28.5603,6909,98002,2185
Retail,294155.0919,84.7734,39912,43033,589
