Application,Likes,Shares,Comments,Views,Followers
Social_Media,627548,141222,155577,3299725,2123963
Social_Media,748600,29996,441531,4073535,4640870
Social_Media,366394,53704,138229,4213147,2558737
Social_Media,896424,85811,366252,1209967,4248730
Social_Media,804318,87713,402914,113912,3028591
Social_Media,505348,29156,399700,3006859,748244
Social_Media,553391,67475,356077,951912,2886268
Social_Media,313818,82045,393059,2625402,3412625
Social_Media,325717,81890,427525,1571460,3179775
Social_Media,81769,35999,163788,1859676,4050700
Social_Media,821550,167709,407285,3186841,1139937
Social_Media,631376,147495,35841,1007254,2236476
Social_Media,135598,12020,121387,1810354,14766
Social_Media,392595,74617,232680,2002983,4128667
Social_Media,788540,15301,446343,159425,95666
Social_Media,837,32555,254656,2156067,635094
Social_Media,970001,60251,373271,441522,2555656
Social_Media,791151,98210,193649,4682559,3144300
Social_Media,707276,57612,25345,1918362,1132885
Social_Media,97901,92370,375433,1468534,886620
Social_Media,870179,173825,99633,1918768,4286453
Social_Media,151988,5669,311922,4083096,264045
Social_Media,970929,90154,423910,3924043,3670732
Social_Media,575341,101111,257523,1956750,76025
Social_Media,997470,124209,403430,2397688,3851977
Social_Media,974309,183712,449285,4965753,256253
Social_Media,225562,76006,332555,390063,4641690
Social_Media,627353,138626,450324,4680023,3680533
Social_Media,726936,22722,426418,4791084,1902182
Social_Media,410679,148559,207295,2124916,1096966
Social_Media,165882,12513,179156,3032438,2332627
Social_Media,465476,83513,474367,2631283,1680171
Social_Media,889376,28928,423956,2969203,4632422
Social_Media,606286,32288,107804,3785478,2443979
Social_Media,272224,178881,387797,1182505,4022916
Social_Media,411127,4580,148949,2771485,2724867
Social_Media,30957,76693,164681,207515,2227401
Social_Media,230539,118910,398189,4641719,4780225
Social_Media,15550,172025,125607,4222485,1283444
Social_Media,892151,31146,431203,3015170,1174796
Social_Media,846548,43935,151230,1035879,1907714
Social_Media,700348,104400,119651,2828889,3480499
Social_Media,669953,67296,282149,1624038,347423
Social_Media,925078,135427,422409,4178555,183368
Social_Media,578164,38500,99281,4438198,2152448
Social_Media,998554,189417,292910,118797,3894445
Social_Media,180108,120564,431104,3537619,3249819
Social_Media,561203,71122,346281,1349758,4264925
Social_Media,437863,3188,480568,4301013,1433392
Social_Media,805533,89559,348022,213528,1051814
Social_Media,715975,87378,328094,3808628,2240565
Social_Media,170963,32826,20150,3495687,259203
Social_Media,796625,161984,216944,3996119,1079580
Social_Media,281476,130623,281435,1030020,2934419
Social_Media,291728,36065,104829,3396602,2074086
Social_Media,644694,161883,250046,1867957,4260204
Social_Media,83558,30049,28252,1753234,2927881
Social_Media,580274,44200,263599,1335480,348355
Social_Media,762896,127600,8804,2666576,3628270
Social_Media,404503,73105,430922,741943,1518973
Social_Media,651537,15269,205305,3209356,3506933
Social_Media,227672,83275,225462,301835,1210172
Social_Media,722442,1179,490920,3450708,1019807
Social_Media,417840,90161,392999,409871,3223773
Social_Media,86357,150827,242063,2919133,409364
Social_Media,422156,37807,425539,4223520,4750376
Social_Media,990406,100481,237065,1240045,4907950
Social_Media,897893,24307,172257,1359013,3858135
Social_Media,162307,9390,370689,671796,2807799
Social_Media,302458,62973,349187,3656182,619737
Social_Media,548498,170759,83473,4992296,3788069
Social_Media,244895,161617,61970,712416,1116653
Social_Media,690333,136685,395276,2702104,1377094
Social_Media,940976,32436,79445,1554923,608384
Social_Media,491154,185169,370418,331312,2357548
Social_Media,473650,45050,51114,1608991,219152
Social_Media,918218,174262,262297,3745003,1364666
Social_Media,582512,52407,433919,1448990,3700906
Social_Media,643624,83263,155889,3882630,4426932
Social_Media,921314,55541,64615,216654,4647562
Social_Media,772576,65993,40834,4459746,4564760
Social_Media,738975,88470,343143,4954565,3269301
Social_Media,911383,71279,198736,4739309,1932517
Social_Media,215663,85514,357970,1544482,2147285
Social_Media,235186,97088,164997,4667168,1532897
Social_Media,81827,135288,425512,1797483,4173373
Social_Media,366672,128203,127042,2699510,196143
Social_Media,8789,71635,86670,3382961,1349390
Social_Media,632149,58347,77286,4669350,1689076
Social_Media,635284,103097,272784,2488605,488051
Social_Media,408949,135042,233755,283665,2701401
Social_Media,953891,183772,447985,1906928,4771385
Social_Media,127857,129880,240736,3947509,3613068
Social_Media,178493,154926,242421,1567336,1999800
Social_Media,970274,148498,151714,2529458,4527010
Social_Media,804762,105089,318979,1158677,4405389
Social_Media,717270,65307,433193,2905935,3370647
Social_Media,449306,98626,388088,1944191,4995234
Social_Media,827979,115426,425751,3691897,3059722
Social_Media,67028,57605,14551,1881034,711190
Social_Media,89577,39478,352062,4615593,3112901
Social_Media,164224,185109,78512,4995073,246163
