Application,Speed_m_s,Stamina_min,Agility_score,Strength_kg,Accuracy_pct
Sports,3.2433,105,60.9629,101.6834,34.4572
Sports,4.2249,141,47.9094,199.9845,59.4751
Sports,1.6609,193,92.4619,160.5274,22.4359
Sports,2.3143,222,66.9631,103.7374,8.0774
Sports,10.4216,154,73.9815,250.0133,56.4324
Sports,3.944,153,9.3419,180.8018,21.6841
Sports,6.6507,131,71.9706,66.6316,73.7404
Sports,6.6895,27,97.2067,99.2156,42.3245
Sports,7.9781,65,68.0046,68.663,25.3148
Sports,7.9316,144,70.4871,90.3087,60.0063
Sports,4.6206,99,97.313,64.679,12.9202
Sports,2.4401,126,40.9019,115.6587,76.7296
Sports,3.397,149,80.6915,213.5811,45.8729
Sports,5.2144,108,40.6258,284.2275,82.5133
Sports,7.0499,187,46.2224,75.2425,11.7078
Sports,7.8662,113,67.2779,102.2063,35.2723
Sports,10.9397,25,26.0648,20.701,16.0919
Sports,4.3122,186,100.0,89.0744,5.5092
Sports,2.2075,51,33.2158,135.7236,93.6246
Sports,6.6131,173,12.0177,155.6188,70.1747
Sports,1.5331,101,30.1449,89.7866,29.5087
Sports,2.6681,147,87.2959,55.2117,24.2823
Sports,7.1853,228,35.4787,167.5724,19.9259
Sports,11.226,63,56.8636,129.195,4.2654
Sports,2.9492,231,91.8498,131.7671,11.8344
Sports,5.1221,147,25.8278,264.0433,10.2938
Sports,5.8747,33,11.3877,163.8495,67.6902
Sports,11.8698,15,11.2821,122.4975,60.7073
Sports,8.8148,33,45.2735,77.2108,54.3707
Sports,5.0098,237,11.2362,133.4647,77.498
Sports,3.8791,119,49.0543,264.5998,23.4223
Sports,7.0519,90,86.9191,284.7191,34.0261
Sports,5.3368,222,76.6734,112.2378,11.4702
Sports,7.4876,214,55.8712,62.89,58.5253
Sports,6.9138,93,85.9972,271.3239,95.8124
Sports,1.6905,89,7.7825,48.253,88.5571
Sports,1.6579,220,62.4253,88.5433,54.5716
Sports,2.7358,118,10.6068,74.6904,61.6269
Sports,8.4183,60,44.1286,177.3718,100.0
Sports,12.0,224,48.3769,119.6594,54.624
Sports,6.0983,185,27.6547,87.1394,82.5132
Sports,2.4797,7,84.582,237.601,50.4378
Sports,7.8707,17,19.7155,195.0001,1.9523
Sports,8.1456,170,57.8543,293.1554,93.08
Sports,9.4966,74,51.9409,99.2594,11.5383
Sports,8.33,15,41.2109,250.7089,71.5127
Sports,8.6167,124,4.138,109.8641,20.338
Sports,9.1318,155,68.8912,15.2465,93.2678
Sports,10.3447,205,0.446,55.3446,18.0488
Sports,10.5074,60,82.5998,157.1836,12.9425
Sports,1.0,149,25.4628,249.92,44.2092
Sports,8.3169,13,11.6565,28.2828,48.563
Sports,11.9132,127,45.6673,248.4398,82.8745
Sports,9.508,126,53.3625,208.1412,77.0064
Sports,1.7371,87,31.7125,16.332,33.8845
Sports,9.0925,231,16.7729,38.8709,39.0926
Sports,3.935,228,1.9348,34.6976,54.8744
Sports,3.0998,224,71.8178,212.3054,56.0915
Sports,3.2892,160,87.1271,172.697,89.0712
Sports,11.5964,83,8.3042,114.5596,45.9885
Sports,8.1649,23,20.3823,28.6649,89.2375
Sports,11.8378,101,2.2075,118.9863,22.4829
Sports,10.4591,219,92.1705,197.3406,88.7113
Sports,10.7787,224,45.748,33.5232,28.9875
Sports,7.0668,8,92.8611,260.3002,77.1879
Sports,5.1259,179,45.9821,32.0607,56.5546
Sports,9.6053,51,85.2337,182.4675,88.1879
Sports,1.3874,163,93.5049,71.0354,24.6975
Sports,8.2097,103,32.0851,45.0998,65.9737
Sports,11.7773,137,65.0863,117.9729,84.422
Sports,10.3819,128,71.5049,210.3154,77.7599
Sports,2.8283,37,3.8686,39.766,53.2786
Sports,2.3387,52,42.795,139.6039,67.95
Sports,9.7785,164,84.0009,133.0832,18.1924
Sports,1.7832,130,92.9597,141.9655,23.655
Sports,11.5089,116,94.501,293.2519,26.0596
Sports,6.2138,83,99.1155,101.5278,82.6045
Sports,11.2997,191,66.1276,297.8707,14.2157
Sports,9.9185,105,25.572,159.5711,32.4395
Sports,8.0672,230,58.9502,253.2969,93.9223
Sports,2.9525,236,37.7722,116.0934,75.628
Sports,1.9717,196,23.7904,36.7498,72.812
Sports,8.3874,51,79.5921,25.9643,47.2927
Sports,3.0864,141,67.271,175.4262,71.6247
Sports,10.4123,109,81.692,276.6289,55.072
Sports,1.858,167,26.8664,35.9983,5.5201
Sports,6.7653,51,91.4372,205.6123,55.8737
Sports,5.6321,92,21.9817,174.2794,45.0668
Sports,11.0222,86,61.0698,197.2937,10.6383
