Application,Open_Price_USD,Close_Price_USD,High_USD,Low_USD,Volume_shares
Stock_Market,1170.2306,1747.4174,1411.6339,115.6912,3582805
Stock_Market,271.2281,528.5231,14.4911,834.4905,3720900
Stock_Market,903.7467,381.318,865.3912,1994.1279,326396
Stock_Market,545.7519,502.8966,1654.101,1441.8218,1964659
Stock_Market,1643.6315,1873.2576,1915.0746,1866.0131,4948509
Stock_Market,646.3143,1842.7328,742.1986,330.2399,3706471
Stock_Market,1695.4523,680.1958,1727.5316,389.0181,4748264
Stock_Market,876.6001,1477.5198,1756.7214,332.1199,2626196
Stock_Market,1515.6921,1302.293,209.8171,616.5479,4430741
Stock_Market,1021.2399,1641.7756,1698.7198,1454.4724,1942935
Stock_Market,1246.6659,536.8558,719.847,365.0882,2317678
Stock_Market,750.1827,1007.7572,1162.9743,1107.7614,3729167
Stock_Market,1601.3158,1293.0967,1028.0063,540.8534,559335
Stock_Market,796.5008,96.423,1346.8013,1658.8386,3340191
Stock_Market,929.4455,684.499,1441.7339,9.0,2393918
Stock_Market,1015.7123,1385.6605,872.2787,474.0123,1955536
Stock_Market,1667.8102,466.5452,1771.075,1210.7056,2047001
Stock_Market,1270.1033,1881.8098,1610.6547,246.946,1728548
Stock_Market,740.3174,42.1328,1615.0958,980.1404,2176218
Stock_Market,1305.9199,1969.0939,955.3115,887.8622,1241220
Stock_Market,1334.8458,428.018,53.7679,1698.9485,558331
Stock_Market,1825.8095,175.9034,1010.3523,1240.1854,3748847
Stock_Market,1723.2322,669.0995,1807.9155,1298.5285,3363583
Stock_Market,1265.347,1658.8264,414.8725,1918.4757,3212978
Stock_Market,665.1377,1505.0207,1954.2,1949.099,1240072
Stock_Market,1561.2837,433.9646,1664.4307,1318.0989,3737361
Stock_Market,1120.917,416.655,1467.8889,1014.9428,1233526
Stock_Market,1935.7677,1274.108,1486.7143,1234.2401,489896
Stock_Market,469.2508,938.4745,1135.9515,741.1188,3389319
Stock_Market,181.2056,1549.4362,1588.5225,1995.0,763717
Stock_Market,149.0668,10.0,901.5601,1396.5923,1967116
Stock_Market,1285.7552,1253.1422,1808.9422,653.4246,3572346
Stock_Market,1866.2075,1450.1163,1467.4806,125.2768,619211
Stock_Market,35.6828,1947.966,1544.8599,107.2697,2632713
Stock_Market,1496.0767,1326.9366,1653.5142,360.4023,2516398
Stock_Market,1340.4693,531.6737,170.6643,527.4332,4772052
Stock_Market,1458.9683,243.7622,119.9109,831.7736,787228
Stock_Market,668.6695,1224.8366,1596.084,504.7773,4669093
Stock_Market,1564.1001,1003.8922,511.4525,1263.9044,151111
Stock_Market,96.3852,1787.6823,1233.8151,420.0468,4097151
Stock_Market,1433.9789,1474.9111,933.0388,361.8071,4504473
Stock_Market,533.5408,992.7635,96.7486,970.3842,4894918
Stock_Market,1014.7316,806.2598,35.143,1794.5803,58943
Stock_Market,1601.1381,819.2648,1621.0215,886.0668,4721103
Stock_Market,498.8174,465.7292,1294.6122,808.3073,4277455
Stock_Market,403.9129,10.0,1120.5689,1185.7936,1756830
Stock_Market,1254.1447,1162.8934,1945.109,494.2278,4743817
Stock_Market,1086.6518,363.7375,380.2591,678.4723,2512214
Stock_Market,1092.1104,413.1719,571.5541,441.4716,1115683
Stock_Market,486.2464,239.5523,1561.1539,1148.076,3066010
Stock_Market,37.8511,344.3615,1613.3759,1375.5821,2140151
Stock_Market,849.9185,106.8185,869.235,1417.1661,1056185
Stock_Market,175.4578,1306.9863,1946.1806,509.1495,2812281
Stock_Market,1845.189,787.9674,1909.9391,1507.1358,504793
Stock_Market,48.7336,1162.4076,50.9036,453.0208,4986887
Stock_Market,939.3676,1255.5959,453.9452,348.1315,1374398
Stock_Market,140.3285,1915.0556,1648.6622,660.1317,4766654
Stock_Market,201.6465,135.1765,676.2678,1197.3289,3882517
Stock_Market,1389.2327,863.1682,133.0823,256.3012,636665
Stock_Market,1338.8068,556.8999,1629.1383,1292.0451,3350481
Stock_Market,90.4448,921.3991,915.7291,1736.8751,2857743
Stock_Market,10.0,1807.7076,957.3844,536.9377,4732725
Stock_Market,138.9285,1439.7305,387.5991,885.0099,2372505
Stock_Market,1571.5671,1336.4393,1419.2069,435.6695,4446365
Stock_Market,1121.5622,857.4235,1120.1696,688.1213,4444640
Stock_Market,55.3795,1372.9187,420.9838,37.7121,1273149
Stock_Market,940.6336,37.9193,763.6691,1878.4087,769021
Stock_Market,1442.9522,1100.9609,1227.4294,869.633,1870646
Stock_Market,1777.565,1133.18,1847.4677,1547.2654,2643085
Stock_Market,1907.1237,725.5885,1915.6789,310.1966,13521
Stock_Market,627.6645,452.5902,643.2115,1638.8538,915864
Stock_Market,295.7751,1537.7579,1502.4915,1657.6286,825653
Stock_Market,445.6673,90.6941,1597.383,1409.8512,2377219
Stock_Market,1546.2014,138.6569,1606.5027,1798.4001,607049
Stock_Market,1963.9563,956.5652,1138.8351,351.5957,2064590
Stock_Market,980.366,506.2473,17.8483,945.9043,4680997
Stock_Market,532.1069,1439.8589,1566.9584,1281.9224,1742142
Stock_Market,868.0149,1283.8485,202.1731,1197.1998,3257171
Stock_Market,672.5884,1599.4606,233.2898,1736.7231,4730810
Stock_Market,529.6525,699.7574,1240.4229,413.8419,3454564
Stock_Market,1194.852,1505.9923,1975.6624,376.103,4379065
Stock_Market,18.9069,1736.4362,493.8134,589.1233,622436
Stock_Market,581.4629,606.8397,1374.6165,1800.5344,269860
Stock_Market,1305.5823,687.4142,605.1357,1921.6916,781736
Stock_Market,69.8188,1807.9933,1806.6433,1128.705,1327808
Stock_Market,156.8571,102.7182,1305.8475,1041.4357,4750593
Stock_Market,598.1645,735.0195,442.4583,1251.4753,1442742
Stock_Market,1813.5725,239.1535,513.2155,1242.7362,2888870
Stock_Market,1496.0604,53.0026,918.5155,344.256,3282539
Stock_Market,58.5713,275.9623,269.418,1312.8271,2628045
Stock_Market,1023.9729,851.7183,147.3525,906.083,4693646
Stock_Market,524.2973,1379.6158,1395.328,1058.9712,1052897
Stock_Market,1298.456,621.3938,828.726,38.8133,2798053
Stock_Market,1519.5756,1660.6292,1531.896,1476.9618,2853032
Stock_Market,1656.7107,836.3115,262.3175,1672.2095,3945330
Stock_Market,939.3145,1990.8198,1166.6936,1248.3333,1976013
Stock_Market,1998.9279,1885.1798,991.9845,1442.4476,3890316
Stock_Market,1945.2098,1576.3785,116.5539,1048.7136,491226
Stock_Market,1880.3844,1794.8292,1191.6685,1248.5657,4184002
Stock_Market,1175.8282,1317.4997,208.1356,845.1016,1302561
Stock_Market,760.4669,1806.7069,1708.6761,1562.735,1946548
Stock_Market,642.1257,475.5074,1295.3514,1021.8587,1728750
Stock_Market,47.6712,712.2567,1258.7719,1362.0431,3401327
Stock_Market,475.7836,1582.9442,271.1935,1195.4176,2723541
Stock_Market,1491.7265,805.6307,569.0222,1390.6817,2361114
Stock_Market,1200.2882,1677.8015,991.7494,1524.2365,384638
Stock_Market,1811.0598,1815.3045,1301.9416,1020.6063,1352414
Stock_Market,86.2515,562.9607,383.7627,1642.3565,4027586
Stock_Market,358.2635,1625.395,69.0514,1007.2053,2216944
Stock_Market,1597.1353,246.6479,744.2473,1863.9872,2155350
Stock_Market,793.3173,764.1179,1026.045,1453.9776,3769332
Stock_Market,236.946,953.0095,376.9322,365.5454,957166
Stock_Market,2000.0,492.4068,1041.6197,1682.1384,4546418
Stock_Market,1611.6273,1110.2149,732.3881,1085.0328,410318
Stock_Market,850.2124,1119.7777,935.1464,1863.3431,2150442
Stock_Market,1628.1691,464.0821,730.2052,1390.563,3027588
Stock_Market,1383.2433,1563.7744,1323.8997,215.7759,1585630
Stock_Market,1578.1795,1292.9137,106.1254,764.057,1062868
Stock_Market,1627.3447,697.2687,371.1552,1022.5169,4898295
Stock_Market,146.5388,480.0355,950.2213,1697.2597,509906
Stock_Market,1165.3266,1794.1064,745.7811,1445.3152,4563894
Stock_Market,73.1886,1676.3379,784.1337,798.0547,1084109
Stock_Market,113.654,472.2786,1594.7681,1291.8844,4013933
Stock_Market,1755.4609,55.5842,1822.7331,1120.5599,4594298
Stock_Market,1088.4167,1687.7885,503.7605,306.3003,2657499
Stock_Market,1524.9167,1264.4272,1749.217,477.3282,2482714
Stock_Market,1709.5681,231.5231,1010.3014,643.635,1010601
Stock_Market,1864.1905,1209.5006,526.5821,415.9709,2234090
Stock_Market,1710.8789,882.8874,1984.1878,295.4751,1924381
Stock_Market,949.9843,1588.4078,1691.61,79.0671,1231384
Stock_Market,712.8521,488.0029,2005.6396,1746.7597,3180803
