Application,Calls_count,SMS_count,DataUsage_GB,SignalStrength_dBm,Latency_ms
Telecom,598629,629331,6669.2639,-30.812,434.0241
Telecom,921730,927346,4723.5384,-79.778,909.3114
Telecom,17076,61573,1631.0568,-76.0731,383.7145
Telecom,920819,821178,1101.8098,-88.2041,420.6683
Telecom,570348,886250,3365.3737,-60.8856,339.1983
Telecom,286745,442459,6066.1426,-75.4688,212.9554
Telecom,375969,583279,2530.7181,-47.9883,932.6554
Telecom,998053,971296,348.8349,-56.0498,943.2825
Telecom,182385,803193,4146.44,-38.6462,372.5014
Telecom,263220,415781,2406.1054,-118.4455,843.0272
Telecom,376844,142801,3522.364,-45.2896,222.1634
Telecom,760504,3420,1126.0024,-58.4269,99.7079
Telecom,777571,287220,739.4323,-32.3417,356.2132
Telecom,905327,664617,1617.3225,-54.0778,511.4024
Telecom,116109,193003,5815.0565,-34.3818,884.4634
Telecom,816233,88833,1542.9535,-49.2294,291.3632
Telecom,621954,297190,591.0074,-101.3556,861.4017
Telecom,593830,14745,6390.0823,-85.6736,218.8128
Telecom,846086,831342,1389.4132,-87.2323,265.426
Telecom,607522,569858,745.0133,-63.7049,889.9203
Telecom,784037,247099,7969.7191,-71.5292,735.003
Telecom,938106,630353,3516.5315,-32.7931,628.4306
Telecom,115954,607221,5977.1854,-37.7565,263.9578
Telecom,862670,371912,1187.7264,-75.4076,921.5385
Telecom,700421,611763,3864.4957,-89.1532,73.4745
Telecom,420517,498342,4160.4501,-99.4378,293.5545
Telecom,623956,972370,8724.0728,-112.9193,690.1588
Telecom,375030,893214,5985.0334,-112.687,203.9731
Telecom,808918,435104,9687.2889,-35.8812,348.2605
Telecom,422536,832582,1820.0617,-52.407,727.3075
Telecom,24156,920576,260.6252,-103.1702,433.7935
Telecom,965037,203609,5910.6607,-83.6099,883.0882
Telecom,197242,444726,4469.2056,-84.2096,570.8967
Telecom,727378,354011,8549.3435,-112.632,959.6046
Telecom,376610,583151,8131.6971,-78.3884,647.3008
Telecom,39694,654282,8152.6005,-104.745,724.6859
Telecom,272727,643542,6380.7388,-77.9596,829.0204
Telecom,837522,497667,5493.2544,-82.4253,759.7844
Telecom,797995,459424,2475.8368,-67.2257,793.2329
Telecom,394459,778306,1515.0198,-105.3344,593.5995
Telecom,615499,883934,3921.8823,-88.8542,215.9688
Telecom,834772,112803,3382.0809,-50.6694,484.8519
Telecom,514421,883326,2822.8068,-56.4837,1000.0
Telecom,93114,604277,9620.9773,-94.9197,452.475
Telecom,72801,453390,1861.8538,-92.2592,862.0748
Telecom,500314,63993,335.182,-40.5765,676.5984
Telecom,294992,291502,740.3393,-73.1891,98.3381
Telecom,729939,275786,7385.3571,-110.2251,510.1044
Telecom,967700,633812,2944.3359,-72.407,39.8143
Telecom,927328,910581,7802.6945,-118.4185,401.7447
Telecom,450373,137882,9979.7275,-75.6122,955.4577
Telecom,934136,176340,2416.9919,-78.5571,888.1866
Telecom,945689,57343,2312.0329,-82.6407,583.9143
Telecom,15280,511431,4081.9531,-73.9367,758.8606
Telecom,138144,984639,556.5505,-46.8465,536.8144
Telecom,190612,373809,7520.6473,-61.8491,563.7262
Telecom,822376,857894,2040.2038,-61.534,733.2376
Telecom,637287,498578,6479.3421,-31.0914,640.3191
