Application,Tourists_count,Hotels_count,Flights_count,Spending_USD_per_person,Duration_days
Tourism,78174,2870,816,13556.8878,13
Tourism,96014,4215,690,3842.183,67
Tourism,45296,1576,488,7131.9874,65
Tourism,22861,1676,794,1112.0131,86
Tourism,8974,4563,902,11583.0182,85
Tourism,47095,3962,633,8288.0585,50
Tourism,68423,1191,819,3965.1087,20
Tourism,77319,4768,1858,12980.8861,89
Tourism,41565,4383,1821,4457.6049,82
Tourism,87368,977,1561,13426.604,77
Tourism,98018,1836,1410,9882.4172,19
Tourism,47296,1492,1401,19825.5145,65
Tourism,67485,2442,1322,1548.1087,39
Tourism,61220,847,675,378.5163,82
Tourism,95844,892,1947,3478.3715,23
Tourism,21566,741,808,18301.9157,25
Tourism,51696,3739,1093,20000.0,45
Tourism,66879,4094,428,14458.0382,40
Tourism,75091,1652,1916,16373.987,81
Tourism,37848,1749,1,1962.1441,42
Tourism,26882,4207,1818,6990.7988,86
Tourism,47649,1015,1848,14911.6119,36
Tourism,35801,4981,465,8166.9392,37
Tourism,50707,3622,1715,7107.3194,16
Tourism,85199,3541,772,5788.8691,90
Tourism,99208,4866,819,1111.4578,82
Tourism,57928,4042,1729,3514.8808,85
Tourism,68262,588,1823,13303.2271,89
Tourism,65572,1177,1017,2410.7333,61
Tourism,4674,3602,958,2845.5614,80
Tourism,7933,4962,1281,14210.3565,73
Tourism,78175,2007,1080,2790.4223,35
Tourism,22168,1965,1080,4032.0488,32
Tourism,4415,3733,1526,1602.3178,57
Tourism,24580,2552,382,12131.6472,57
Tourism,50135,3972,1877,15969.6108,74
Tourism,83540,3157,394,11108.7788,2
Tourism,61712,2401,1250,4989.4348,24
Tourism,98795,2721,1092,14445.4068,34
Tourism,93577,808,1073,10222.2705,29
Tourism,62018,3576,1049,3218.0577,62
Tourism,19508,590,864,3497.2975,31
Tourism,71350,3209,1953,838.4598,62
Tourism,64579,3175,1593,483.3563,80
Tourism,36760,227,1281,3042.0864,38
Tourism,20025,4278,865,13952.935,58
Tourism,61610,3058,237,6766.3649,75
Tourism,15929,4035,970,7865.2783,43
Tourism,82805,1226,130,15061.3009,6
Tourism,1170,3742,398,2628.9264,18
Tourism,95058,3992,15,11469.741,45
Tourism,10782,3146,69,18207.5547,7
Tourism,59586,3098,1740,16699.6138,56
Tourism,27911,844,196,7613.5744,79
Tourism,93534,3657,570,7842.5264,29
Tourism,13089,1509,1024,9873.2869,4
Tourism,75327,1189,868,11379.2043,29
Tourism,63559,2165,1613,12233.9659,16
Tourism,81855,4841,1248,2485.075,60
Tourism,9626,3649,1965,12050.4897,63
Tourism,36188,3179,614,9710.0079,16
Tourism,88103,1984,222,131.7849,50
