Application,Temperature_C,Humidity_pct,WindSpeed_kmh,Rainfall_mm,Pressure_hPa
Weather,11.2781,90.7583,18.3908,106.8823,994.4078
Weather,42.2725,93.0697,105.6374,461.6839,992.2251
Weather,-17.0108,38.9305,113.3408,42.0184,1024.4024
Weather,-19.5232,42.1942,92.9612,369.4748,1026.7664
Weather,7.6142,69.8568,112.562,312.8479,967.2357
Weather,18.1441,66.6361,37.0359,58.6805,1004.5144
Weather,20.0049,37.6245,104.2516,146.808,1037.003
Weather,10.7083,39.8409,61.6939,77.0462,1000.7262
Weather,-9.8419,35.5898,19.62,298.212,969.2342
Weather,-11.0658,24.6581,81.3192,246.6593,984.9802
Weather,36.3904,46.1059,83.8181,0.0,976.4029
Weather,35.802,65.4083,36.1968,482.0948,966.328
Weather,23.3033,73.0275,6.7785,184.1511,989.4221
Weather,21.861,76.1992,23.9515,141.8921,1011.4553
Weather,18.5257,40.9354,46.6152,110.2447,960.5362
Weather,-8.0855,76.6994,19.2484,78.623,1017.0327
Weather,7.1313,0.0912,24.8216,500.0,1060.0
Weather,22.028,46.5876,46.7074,159.1432,1055.3774
Weather,12.6673,79.1407,120.0,213.071,1038.5594
Weather,-18.3545,64.5075,91.7394,431.6506,983.4495
Weather,43.6221,43.7465,36.0779,314.3591,950.0
Weather,39.1118,64.9245,114.967,200.7136,1045.3884
Weather,-1.8627,89.6854,81.1708,455.2613,955.9857
Weather,19.4007,57.4995,52.6961,367.4473,975.3635
Weather,37.4318,81.5768,54.1689,112.8867,1009.9403
Weather,-13.0576,96.6832,48.841,322.7192,971.6839
Weather,10.8086,67.8184,26.4089,460.1428,1042.7042
Weather,8.6065,56.7238,43.1553,245.3079,1034.0149
Weather,7.8152,6.3227,59.6496,379.1122,1033.4297
Weather,34.6957,39.1191,63.9211,490.8359,1039.4596
Weather,3.5342,55.789,93.1245,367.7402,975.5818
Weather,-18.0802,78.451,41.3729,64.0732,1030.4896
Weather,-15.4446,42.6918,85.8465,123.6429,989.7105
Weather,-16.7852,93.4106,69.8149,311.7193,1021.096
Weather,8.5495,28.7489,112.7689,141.3062,960.6105
Weather,23.4567,76.3916,48.2955,500.0,1027.7699
Weather,-6.6044,41.1289,108.6545,199.5266,1057.3313
Weather,23.2123,47.5975,99.7358,233.1457,952.4826
Weather,24.1144,78.8537,78.1516,344.794,961.5786
Weather,-5.4875,28.7208,84.3636,258.3142,964.9531
Weather,17.834,8.2109,7.699,187.659,997.7055
Weather,24.5651,51.7152,111.8843,50.6813,982.0204
Weather,9.6968,54.4523,16.8713,300.3031,1035.9727
Weather,2.2816,81.0835,69.1533,409.2005,999.2912
Weather,21.908,95.1545,39.7742,343.8178,1004.1675
Weather,43.0409,5.8337,50.4348,181.0087,1027.0525
Weather,9.3303,60.4612,72.6654,59.4563,988.1495
Weather,5.3124,66.2483,108.5522,419.6753,989.4661
Weather,10.618,98.863,51.3201,457.4396,1037.7447
Weather,-15.198,96.6863,120.0,181.855,1034.9302
Weather,16.4299,70.7553,66.3119,347.7164,956.0954
Weather,2.0657,48.1431,17.2287,201.5075,965.6492
Weather,-11.2732,11.1179,21.7649,234.2374,974.6813
Weather,10.3109,39.0393,91.0777,402.181,990.7874
Weather,-20.0,58.7253,5.8058,39.4142,984.3308
Weather,6.8902,72.8955,58.4005,268.3048,1024.2831
Weather,-15.6886,64.5185,15.6803,98.1989,1040.5896
Weather,-19.2099,68.4534,54.0712,173.514,972.9513
Weather,30.4823,41.3016,97.0746,323.3211,1012.8606
Weather,41.7643,73.6089,56.2372,19.0157,989.5009
Weather,-5.9587,15.8459,18.8089,286.5059,1008.7356
Weather,14.6308,15.7449,25.3549,161.5607,1019.2896
Weather,-0.0881,13.4187,45.7696,323.3487,1046.6478
Weather,12.7742,89.7664,5.9811,64.5366,969.2466
Weather,8.543,7.7057,68.3067,373.0555,963.8803
Weather,-1.998,78.0343,75.1402,323.9979,1017.9096
Weather,25.0289,19.3898,6.3215,494.0901,995.0109
Weather,-13.3897,47.9855,48.0514,452.5185,968.7484
Weather,-15.3011,90.3608,51.4796,129.3834,964.4613
Weather,29.8066,58.9671,38.3638,0.0,1015.6861
Weather,20.9986,21.3109,63.8353,345.4804,985.2459
Weather,13.0638,26.1151,42.6292,298.4138,1060.0
Weather,10.4594,92.8804,51.7796,12.0404,994.216
Weather,14.5415,40.9948,94.3167,79.3527,971.8895
Weather,8.7557,55.7078,17.948,287.4299,1024.4962
Weather,4.0026,42.7463,71.6535,456.156,976.776
Weather,10.1527,37.8373,62.3837,442.9246,1004.1147
Weather,15.9971,25.5161,41.214,62.6194,1003.7187
Weather,24.8909,68.7012,89.5399,211.1847,1000.3125
Weather,25.1029,75.3905,65.9238,40.6378,1041.0735
Weather,3.6103,30.3862,59.0029,244.8464,975.0146
Weather,8.568,79.9337,78.124,386.4169,1046.592
Weather,4.9037,88.6025,97.159,402.53,1035.5963
Weather,16.3012,94.9903,114.1156,242.1018,986.667
Weather,9.7868,18.4786,75.2288,50.8421,972.1227
Weather,36.7362,26.6237,107.5145,185.6442,977.4039
Weather,27.586,85.5618,2.0799,440.1535,987.6765
Weather,37.9043,18.4666,64.9926,125.999,1012.8715
Weather,27.1396,2.6891,26.7568,165.4237,957.0417
Weather,44.524,86.4682,9.5364,360.2414,1050.4033
Weather,21.331,36.1496,64.1785,363.1875,963.1626
Weather,41.1836,41.6529,91.499,466.623,978.927
Weather,-10.6006,44.5775,48.8891,195.3787,964.1017
Weather,-15.7086,84.0702,79.9219,240.3116,978.0984
Weather,18.3371,33.42,57.6378,221.5644,1042.2385
Weather,45.0,89.7655,51.7664,482.4489,1017.7392
Weather,8.6254,61.5618,32.9748,385.3239,976.4358
Weather,-7.456,51.7989,45.969,426.3061,1043.4629
Weather,15.7769,31.7502,41.2068,84.9325,1040.026
Weather,20.8379,28.0132,74.0043,391.3348,1034.8173
Weather,1.2598,66.4009,20.1645,220.0099,1042.5763
Weather,29.6079,43.7478,8.6265,0.0,1018.1669
Weather,43.7887,92.7495,78.8783,23.9736,1003.2673
Weather,35.9902,47.5083,65.7026,344.7115,988.58
Weather,-1.4706,50.5258,50.3403,184.0854,975.0484
Weather,4.0643,39.4973,18.0778,438.5766,1011.7638
Weather,3.881,80.966,47.3587,376.4353,1047.1026
Weather,7.371,43.453,96.513,16.4426,1012.5885
Weather,-14.7228,28.2851,106.7012,346.7524,1052.1623
Weather,29.0652,87.9796,86.0333,98.0848,988.466
Weather,3.4666,57.9436,10.7172,205.6092,1024.8166
Weather,39.7245,58.5022,79.7742,303.1306,1024.1603
Weather,39.8534,61.9727,30.7745,449.9151,1021.6024
Weather,-20.0,71.1928,41.5174,235.9731,1022.1908
Weather,45.0,31.4456,23.2085,396.3538,971.083
Weather,26.4472,1.785,94.7493,392.1238,962.6353
Weather,14.6766,83.7188,76.7156,193.3503,1058.711
Weather,3.2304,14.7676,76.2935,245.7111,954.243
Weather,14.0388,74.6561,78.9572,355.5995,998.8795
Weather,1.1254,9.5498,30.1,18.1763,998.8487
Weather,19.2186,35.343,55.7456,446.5634,990.419
Weather,-13.0879,5.3436,73.1609,376.0719,1031.3369
Weather,18.1547,50.8179,74.7912,113.8434,1034.0992
Weather,-3.3679,64.799,93.325,500.0,1047.2342
Weather,-17.2782,19.2588,37.0443,106.6312,989.7463
Weather,14.9823,34.2172,89.6195,462.5429,1010.2545
Weather,16.9577,91.8567,53.6038,160.5137,1048.0618
Weather,7.844,43.4499,82.1643,393.8237,1059.4935
Weather,-15.7849,77.6263,55.0929,219.7667,1053.0257
Weather,38.9654,93.128,116.8926,378.7643,1025.854
Weather,19.9718,96.7506,16.8972,71.9253,964.081
Weather,-14.4373,92.0558,82.4596,129.278,951.017
Weather,12.2552,31.1903,68.748,46.601,1042.45
Weather,11.2256,97.1752,17.1154,431.5601,1041.5943
Weather,-16.6763,81.4695,5.3261,157.2959,1033.7335
Weather,19.5915,78.7545,99.6536,334.1948,983.2024
Weather,32.9394,0.0,20.4115,404.0665,1021.6024
Weather,25.6072,96.191,24.3054,452.8056,978.0243
Weather,-5.4744,78.4849,119.7136,58.7268,998.9025
Weather,35.9309,76.6594,82.8149,429.459,991.702
Weather,0.8087,10.8127,30.6482,90.7224,1050.3807
Weather,42.7611,24.2768,73.5501,350.9637,971.1765
Weather,-18.0736,99.3668,63.1272,357.4299,1011.8562
Weather,9.5551,45.1484,104.6067,0.0,986.711
Weather,21.581,43.2541,86.0482,115.3395,1020.8994
Weather,-3.7125,82.7798,100.106,223.0444,1011.5328
Weather,29.1813,8.7838,26.3349,216.55,1050.0061
Weather,20.8893,44.0677,78.6373,454.1932,959.3007
