Application,EngineTemp_C,Mileage_kmpl,RPM,CO2_g_km,FuelRate_L_per_hr
Automobile,36.6126,30.0464,3507,322.5052,25.8277
Automobile,3.3074,5.6743,6716,263.5233,46.8246
Automobile,128.6692,4.9903,721,280.1217,0.686
Automobile,-14.9617,28.4747,3399,341.6875,8.3756
Automobile,-11.0826,22.6936,4003,74.0468,40.5211
Automobile,17.2556,19.6492,6557,73.6672,14.0326
Automobile,126.6855,19.534,1498,349.5713,12.9486
Automobile,127.532,11.7873,7255,113.4709,28.1105
Automobile,73.9976,31.2363,1947,205.081,37.335
Automobile,32.5091,4.8917,1255,62.0646,34.3315
Automobile,54.2515,32.9383,2071,104.1985,27.0431
Automobile,125.9972,29.7192,4088,112.5756,0.953
Automobile,81.523,20.4792,817,343.3086,4.2486
Automobile,104.3819,14.9297,4105,200.7878,7.6918
Automobile,8.2986,15.7049,6960,335.1137,22.1996
Automobile,48.049,14.9822,1863,141.8986,23.6279
Automobile,55.0236,17.6806,3323,304.0146,45.2783
Automobile,21.0691,18.3061,2473,218.0606,19.5537
Automobile,98.6785,2.6291,4755,212.2798,14.3923
Automobile,84.4563,8.1861,3659,301.714,9.4455
Automobile,-5.8629,20.6293,7437,186.1567,39.2716
Automobile,49.5767,18.8716,6373,133.0317,32.2758
Automobile,146.1972,23.2368,2160,232.175,35.3192
Automobile,28.8287,25.5646,7832,274.5963,36.9963
Automobile,84.7773,11.0447,6501,69.0451,3.1199
Automobile,23.9849,28.471,7469,124.7866,48.086
Automobile,-11.3856,12.7842,4491,243.6472,15.2042
Automobile,75.4695,15.4374,4230,240.0543,11.3517
Automobile,144.3225,27.5444,1200,199.2036,7.8786
Automobile,22.4918,30.5162,6221,308.8412,18.246
Automobile,112.6724,33.1536,7047,280.8302,2.1179
Automobile,139.5763,29.9225,879,323.0769,22.7594
Automobile,100.2653,20.1676,972,173.7226,19.8418
Automobile,89.7894,30.8366,7214,306.6914,2.3716
Automobile,79.1314,21.6773,3703,365.3271,33.8545
Automobile,42.4272,4.5893,3152,245.4924,20.088
Automobile,0.7828,6.945,2164,188.5577,44.5124
Automobile,52.0645,20.673,5263,253.2687,27.311
Automobile,51.2861,17.6956,4320,370.6449,6.7566
Automobile,3.5816,31.8658,609,389.1514,27.4318
Automobile,-0.9105,30.8441,2790,226.4324,32.1468
Automobile,113.5366,23.8016,5156,281.0912,40.0432
Automobile,-1.4439,3.717,2178,180.1209,2.9595
Automobile,-16.9907,11.1849,5267,176.1861,14.6882
Automobile,18.5281,6.4773,5300,232.0188,3.1803
Automobile,33.8985,6.0889,5840,212.9029,27.1391
Automobile,-20.0,17.0037,2270,328.8822,38.0648
Automobile,113.2964,17.8843,5589,82.285,44.9588
Automobile,126.9254,16.5832,6072,318.5889,23.2236
Automobile,-10.3354,1.4698,5739,204.6423,9.2571
Automobile,104.9099,3.6585,3137,278.504,45.3263
Automobile,83.4573,21.1685,3952,338.2873,0.5087
Automobile,84.7819,14.7094,5999,301.9277,13.494
Automobile,130.7157,6.0149,3865,288.3298,5.7711
Automobile,-12.7081,17.6304,4008,357.2218,47.4971
Automobile,51.6459,28.6234,1517,52.802,13.1837
Automobile,26.6718,12.9023,4134,279.3167,14.518
Automobile,11.5864,3.803,7239,296.5744,10.9703
Automobile,145.5312,17.4353,7713,246.2442,16.4208
Automobile,123.0565,5.0356,619,96.7634,32.4356
Automobile,102.9322,9.527,4302,183.0818,17.3807
Automobile,150.0,4.6005,6544,246.3918,9.64
Automobile,111.1031,15.6966,7110,136.0482,20.2234
Automobile,31.1899,1.0,7516,361.7404,11.5539
Automobile,41.1053,19.6959,3270,249.7518,2.2917
Automobile,9.6057,11.1881,7892,87.4279,25.0741
Automobile,57.6889,32.0777,5546,67.8295,29.0528
Automobile,120.7628,3.3728,6135,216.8022,17.824
Automobile,125.3388,8.1305,5568,77.8366,8.0056
Automobile,21.6144,4.7209,3598,284.5984,10.5488
Automobile,46.9361,11.9864,7628,338.0684,26.2689
Automobile,130.5015,22.4545,2323,273.183,16.1349
Automobile,9.4411,30.898,2966,70.5856,24.7149
Automobile,7.9184,17.4857,1097,74.248,48.7587
Automobile,-20.0,22.3374,854,81.3902,10.1746
Automobile,135.9762,33.1384,1395,361.6273,41.3087
Automobile,59.0264,18.5094,7463,334.5709,32.0869
Automobile,-6.7778,34.145,4847,228.5185,34.2505
Automobile,31.1744,23.3292,4616,133.1446,13.7974
Automobile,61.2514,6.5686,1678,395.9831,2.6654
Automobile,10.8402,17.3094,2257,201.4059,22.8706
Automobile,14.3891,19.2572,554,360.0487,16.5484
Automobile,146.4296,12.4479,6376,139.0311,2.3653
Automobile,92.4995,3.4467,3795,284.7355,35.7165
Automobile,31.3722,14.4277,999,325.1114,49.0074
Automobile,-3.4549,9.4257,2608,330.1483,19.383
Automobile,148.7003,16.9281,7515,268.2115,48.832
Automobile,-5.7312,19.796,5030,308.4282,44.2573
Automobile,23.0995,25.7776,3793,113.8242,15.1202
Automobile,-9.5071,3.5916,2817,116.0839,2.4649
Automobile,39.2157,25.4731,2584,112.9717,49.7646
Automobile,104.4093,7.1281,626,254.8662,37.1788
Automobile,129.6995,26.5306,1962,241.8835,30.0455
Automobile,4.4044,3.7645,4886,366.8926,16.5597
Automobile,-10.2255,29.8279,2895,327.5638,27.587
Automobile,63.6184,24.2628,6687,117.5087,25.3858
Automobile,94.1224,12.2604,7780,119.5883,32.8385
Automobile,123.7553,1.0,7104,130.2171,32.8092
Automobile,-4.7643,3.3291,1649,391.7622,45.9471
Automobile,43.2042,32.6632,4694,108.4436,36.4297
Automobile,88.3817,34.4994,2088,185.6387,39.0721
Automobile,-4.6664,7.867,3097,151.7653,32.0135
Automobile,116.617,5.0744,2084,58.0973,19.0083
Automobile,124.1383,10.1929,3199,165.0346,42.4359
Automobile,29.5794,12.9424,7275,119.2702,47.7309
Automobile,52.5613,20.4533,945,387.2378,4.0002
Automobile,108.1097,33.597,6266,316.9921,42.0338
Automobile,98.5224,1.6047,6821,328.5433,45.0085
