Application,Balance_USD,Deposits_USD,Withdrawals_USD,Interest_pct,Loans_USD
Banking,917658.2069,398967.7212,69219.0011,6.6035,1837156.0168
Banking,152328.5153,312970.7672,227357.034,3.4262,1349782.3569
Banking,969073.0981,416832.2059,67145.3845,5.4403,916183.0573
Banking,52408.4863,31523.6006,85847.8555,10.0748,1886208.3972
Banking,300073.1528,91124.1109,419819.8121,14.5313,1603623.6061
Banking,689886.0746,460397.0403,347208.0436,17.4055,856582.6805
Banking,852719.7493,334190.4379,281229.0644,18.3326,1122658.3365
Banking,150428.3399,207722.957,240127.1599,10.9638,1449355.4223
Banking,925067.026,173970.4634,233797.8812,17.6675,896291.8023
Banking,152131.0676,372687.2649,473448.6509,4.8362,823021.7392
Banking,866228.1943,456821.5129,500000.0,9.3813,1657547.611
Banking,877666.4833,273037.6932,196417.6321,4.4871,731325.3166
Banking,729900.6001,42487.45,16185.7004,3.0247,1940543.9396
Banking,870811.3374,439772.6882,454816.8601,13.5241,678469.9709
Banking,78572.7321,198307.7423,152683.4418,4.907,1463728.5936
Banking,932386.7504,465875.8159,467275.0884,10.5915,1012424.381
Banking,470723.0735,395327.9573,267866.8825,2.026,128645.8673
Banking,296669.4932,165916.1992,486091.7093,3.0713,1543436.7552
Banking,0.0,62650.9551,253964.9486,6.3994,1702532.2334
Banking,559698.0897,273064.7753,202867.0227,7.9967,1526990.2955
Banking,64618.5383,43070.6372,482793.4315,4.9414,1823878.2568
Banking,24529.1662,399034.0433,352961.3141,14.6834,115807.9117
Banking,406720.5889,31507.65,419792.0932,0.73,662445.2548
Banking,113381.2737,474206.0452,42887.0557,10.7615,1977835.0327
Banking,884189.7508,252088.9749,288792.6895,0.2465,941916.3702
Banking,4363.8815,234126.859,347679.0173,18.1168,549353.3132
Banking,583405.3012,427629.4779,57749.2928,12.851,761737.8268
Banking,519618.13,279032.8411,158865.2102,13.5961,1961172.2851
Banking,558772.0986,199109.3667,431680.411,13.7312,1394118.9502
Banking,139048.4394,96068.6449,121418.9145,11.1979,232926.3124
Banking,861564.3273,365456.6513,370331.7745,2.9376,481020.4332
Banking,682733.3653,249607.2111,25470.518,8.1984,244620.2492
Banking,774103.6094,239254.962,94347.4331,14.6908,1795256.0019
Banking,837692.3737,128320.6343,28214.7343,19.6137,765823.4999
Banking,893673.3641,70284.0043,212304.1016,6.3052,1939295.208
Banking,690105.3842,150454.0648,92012.0777,12.4933,1981172.0672
Banking,728545.1141,398985.555,123477.1707,19.8154,1323218.9206
Banking,114943.8904,304193.7298,241220.6583,11.93,1430435.2272
Banking,200814.6225,177305.577,248317.9805,16.0413,1016515.6719
Banking,725337.0098,136835.2688,110059.6462,11.1479,837261.0191
Banking,218797.654,2583.8001,424174.6338,8.8053,750922.6266
Banking,513507.5366,19821.8406,152070.1878,13.1383,1848915.13
Banking,252122.9872,229830.9841,189369.749,17.3682,833808.2615
Banking,284235.9126,118807.8431,451352.3066,15.7558,1897591.9361
Banking,448479.9847,477077.5785,221570.6911,17.2111,1567354.1726
Banking,211571.0577,282537.7069,121451.3686,18.8459,510990.7024
Banking,819120.2264,466847.5572,36194.5563,14.6535,598813.8586
Banking,145813.348,102808.7759,340150.6241,17.2497,276425.7136
Banking,752750.2944,63019.2208,95003.8179,5.0154,300041.0052
Banking,459551.7639,423020.1692,401693.1019,3.2427,1157480.2324
Banking,198583.5875,295272.5218,462797.5481,6.9398,588662.5483
Banking,348828.1119,352706.6071,243845.8129,6.1669,1854641.3002
Banking,424240.4247,284340.4348,305168.5524,8.6759,698238.286
Banking,268943.3826,183235.7097,49053.1507,3.4612,95217.4961
Banking,822738.6639,131630.7516,324623.5679,8.7073,203384.9615
Banking,365473.8941,44212.261,463697.6107,16.3708,804785.7666
Banking,519999.3177,48083.2495,0.0,0.895,1037921.6701
Banking,0.0,228474.006,92455.4324,5.0993,91743.5982
Banking,203331.3749,152188.3396,158662.0577,7.62,658396.3908
Banking,121370.0,266597.3776,406607.9651,11.6274,1453036.0981
Banking,952740.0058,362747.5911,59928.3178,8.703,234942.7259
