Application,Speed_kmh,Fuel_Usage_L_per_100km,Distance_km,Load_tonnes,Idle_Time_min
Transportation,29.8952,38.0625,1493.2415,45.9683,0.0
Transportation,27.9978,18.6774,307.8604,6.5406,569.5465
Transportation,24.8564,30.121,441.8729,45.8338,215.6339
Transportation,34.5406,3.4235,1380.4419,27.9503,360.7982
Transportation,28.8289,37.5472,1729.1479,37.6291,426.7667
Transportation,108.9474,24.8157,1313.3911,7.8626,553.7359
Transportation,74.3085,14.0795,900.9619,35.7208,518.9928
Transportation,37.8466,7.5142,1366.7282,4.344,348.5045
Transportation,46.8067,27.9081,829.912,30.7338,85.1886
Transportation,139.003,30.8988,1300.1722,33.5273,516.6454
Transportation,24.4374,5.8231,1564.6527,33.0886,481.3298
Transportation,120.0744,8.1754,17.5483,4.1035,373.7498
Transportation,105.0034,16.8842,420.5515,19.4272,581.7204
Transportation,86.2753,33.8657,1403.8516,34.9686,330.3735
Transportation,90.195,38.8215,810.6042,39.9281,125.0559
Transportation,59.2075,30.2765,1066.5758,20.9056,154.8778
Transportation,61.544,3.0,1310.3482,8.5429,239.3559
Transportation,112.3128,35.1675,1034.9464,24.3995,234.6616
Transportation,116.998,3.8939,1614.977,30.9773,494.3125
Transportation,76.8664,35.7812,739.7349,44.4526,539.8627
Transportation,110.5779,17.7493,1425.0494,33.818,225.5375
Transportation,113.9237,30.4437,858.9348,42.7265,563.262
Transportation,48.7211,5.8011,1042.7363,13.1569,538.8015
Transportation,83.8211,9.2766,198.4256,41.5262,264.662
Transportation,58.7821,19.6096,1643.6373,30.8067,520.3151
Transportation,9.0854,4.292,616.0529,28.3426,81.2195
Transportation,88.8839,17.1795,615.8444,12.9245,300.8968
Transportation,81.721,30.1381,140.8908,10.9731,435.2102
Transportation,10.7267,27.5865,995.5066,28.2207,209.6192
Transportation,7.9613,16.6595,809.2917,45.252,21.1393
Transportation,35.7844,3.0,150.6737,12.844,62.8611
Transportation,119.4857,13.2472,1441.6553,15.8142,538.271
Transportation,8.6578,31.1933,131.1358,47.2993,308.2248
Transportation,64.7962,14.6263,238.1091,0.8314,98.9816
Transportation,24.4238,16.2825,917.4524,22.8499,531.5249
Transportation,33.6591,4.8697,753.8059,26.751,555.5805
Transportation,106.8413,26.2584,548.1931,33.6897,195.5214
Transportation,118.261,25.6679,1117.8413,10.4805,351.9421
Transportation,83.1651,18.8624,985.5846,28.3445,219.0175
Transportation,123.4618,31.7063,836.7018,4.4216,421.4619
Transportation,120.0042,34.6748,1515.0217,13.2728,569.5006
Transportation,29.0675,30.176,971.0602,0.0,18.6551
Transportation,84.2799,22.569,1959.1258,22.566,269.5106
Transportation,106.2433,36.8811,1627.4001,8.0971,485.6358
Transportation,79.3813,17.3371,116.8754,6.0742,421.5863
Transportation,111.726,28.3353,595.5082,18.5338,111.6286
Transportation,87.3254,24.9999,1022.2581,3.9568,245.1732
Transportation,35.3971,32.8922,1013.3186,31.3156,262.2852
Transportation,94.992,21.8516,71.2342,8.9398,458.5058
Transportation,84.3988,24.4395,1066.8221,35.5044,264.36
Transportation,82.4611,19.1349,1213.1632,41.1047,167.7356
Transportation,2.8781,7.1741,908.6216,36.7673,250.3815
Transportation,13.9632,36.504,1766.9802,39.7976,553.69
Transportation,114.6362,34.8347,1161.285,31.7196,28.6709
Transportation,57.7037,29.2167,1562.2556,18.8569,206.8838
Transportation,32.2781,15.8764,1136.1866,17.712,100.9608
Transportation,15.6299,16.6254,1768.4415,27.4817,228.86
Transportation,32.7817,4.5846,472.3363,11.741,355.852
Transportation,43.6873,5.8527,1611.3087,16.9555,105.8259
Transportation,140.0,22.3511,901.1074,7.8853,240.5989
Transportation,117.2771,5.3694,1416.2765,39.8853,491.9302
Transportation,10.2531,6.8403,1103.5427,35.6737,397.2966
Transportation,107.7415,11.8386,242.6313,25.1743,424.6677
Transportation,83.531,16.9034,869.8228,15.507,551.9858
Transportation,31.7561,21.3906,1337.3898,34.7649,256.8147
Transportation,105.2233,15.136,1739.3422,4.5766,600.0
Transportation,6.2312,38.2946,413.1678,2.5409,251.392
Transportation,107.4297,38.6554,679.9929,36.9662,106.2774
Transportation,128.9583,5.2084,750.0106,26.851,496.4676
Transportation,122.1594,39.2213,1058.5974,36.3119,308.3485
Transportation,111.6592,9.6808,1692.7642,13.761,198.4003
Transportation,125.0212,13.8763,724.2199,5.9271,153.2566
Transportation,100.5137,35.077,320.7104,23.268,470.3465
Transportation,104.1052,29.9832,1052.4026,22.4129,350.4887
Transportation,0.1513,5.3045,115.4145,37.4461,393.3183
Transportation,23.9355,31.6333,700.9847,4.5259,284.0897
Transportation,108.0179,27.7295,987.5431,48.2306,124.2532
Transportation,138.699,38.8326,1008.7944,3.0006,198.5098
Transportation,103.4432,37.6549,1547.6449,16.3884,93.3382
Transportation,83.6029,39.7623,1607.2019,33.806,188.5041
Transportation,27.5788,20.9909,590.0343,35.164,559.6445
Transportation,133.338,29.7205,565.5171,27.4048,364.1219
Transportation,93.1224,40.0,1929.2672,4.2886,33.2705
Transportation,66.8841,3.6328,678.699,40.7355,466.7474
Transportation,122.283,32.057,303.7903,30.3532,418.3792
Transportation,134.9169,3.7192,1359.9821,38.1987,467.063
Transportation,50.0084,39.8898,483.7634,17.3554,373.1329
Transportation,72.0798,3.6394,1178.3225,12.4415,21.3978
Transportation,16.3746,23.9748,1607.5229,35.4407,229.4335
Transportation,134.0074,22.0722,326.1864,38.1098,209.5497
Transportation,15.4699,14.2638,933.5774,41.7043,29.3728
Transportation,127.9089,28.6654,746.0442,33.8724,56.0157
Transportation,23.9956,13.5105,1955.5521,7.5092,235.0391
Transportation,126.5371,14.736,1503.6106,12.0855,533.4245
Transportation,63.7447,10.2713,115.4209,25.3298,576.836
Transportation,87.2196,29.7731,412.9253,26.3433,458.2098
Transportation,0.2396,9.555,279.9513,22.9081,135.8377
Transportation,57.5267,36.2628,35.1037,40.5325,557.1963
Transportation,74.5924,14.7763,617.6299,7.497,571.2576
Transportation,0.0,21.8179,627.2726,41.0989,252.0235
Transportation,97.6654,19.3562,467.1701,3.2496,299.0982
Transportation,122.0139,29.2567,1060.0319,15.5982,199.8082
Transportation,3.8023,12.4134,448.8984,9.8072,513.3314
Transportation,68.3595,34.0861,1914.2906,27.2162,187.4337
Transportation,2.9167,31.2253,1436.7974,25.8616,59.101
Transportation,121.2941,16.9563,249.8713,23.186,280.3224
Transportation,21.8421,7.6966,527.0672,15.1846,100.2327
Transportation,7.1768,23.1737,1984.7587,25.933,250.5449
Transportation,118.6989,37.7201,396.2042,35.6953,357.4514
Transportation,68.5504,3.249,270.9599,20.5158,472.5424
Transportation,13.1809,35.0019,559.968,47.1371,423.8035
Transportation,89.6461,29.4296,1453.8507,3.8515,432.7525
Transportation,99.7833,9.3712,1068.3607,49.5997,383.5226
Transportation,83.4776,20.5592,114.6966,38.7069,68.7199
Transportation,44.8707,27.922,697.2533,28.6171,514.9829
Transportation,62.2182,29.7722,178.9438,9.8302,415.5914
Transportation,134.5709,35.4467,533.2138,30.6257,466.719
Transportation,73.7505,35.0574,382.1042,39.9243,558.0391
Transportation,57.3127,15.1178,468.4495,12.4313,590.3834
Transportation,103.5562,8.1538,1531.4569,0.2179,583.7662
Transportation,11.4627,7.2582,1588.7046,21.4552,153.9159
Transportation,43.0077,39.7126,1550.4657,16.2668,504.6924
Transportation,32.5648,38.6355,1382.993,13.9534,583.3221
Transportation,104.8102,33.5274,516.8215,36.3614,411.545
Transportation,85.49,39.774,890.6601,9.5024,433.5393
Transportation,112.9731,12.7562,930.1462,32.9242,520.9875
Transportation,63.8424,33.8937,1065.152,4.6603,180.3497
Transportation,24.7846,22.8418,1795.1146,46.2734,109.1935
Transportation,24.3023,31.1699,1695.9343,28.8897,262.1793
Transportation,125.0388,25.9348,448.0858,46.1803,564.693
Transportation,12.6223,32.6533,855.4931,43.8052,50.8429
Transportation,84.7434,18.2835,340.1238,43.6979,275.2735
Transportation,30.0113,39.7447,1339.1389,7.2355,417.4913
Transportation,31.1606,11.8056,1174.7215,37.24,400.3453
Transportation,11.6095,27.3072,1666.2021,21.019,490.6166
Transportation,140.0,32.368,1091.7785,23.1427,153.9932
Transportation,5.383,25.4601,1545.4898,14.5246,129.1491
Transportation,17.0762,14.6681,683.5825,7.5586,497.2529
Transportation,51.9316,23.0032,1401.1581,15.5828,498.0539
Transportation,62.4905,21.3573,88.8349,27.0719,146.4208
Transportation,134.2994,9.303,287.3066,20.007,249.9944
Transportation,37.813,31.9273,810.9366,35.5553,273.7175
Transportation,106.0216,13.1978,1850.6501,41.0258,312.8695
Transportation,87.9929,34.2872,1785.5509,10.4701,518.2207
Transportation,71.6793,10.9703,1180.8171,4.471,359.7761
Transportation,39.405,20.0022,279.7798,48.3322,295.9868
Transportation,25.065,28.1767,1345.9599,43.6939,174.5971
Transportation,20.4777,39.7213,318.7051,12.9202,25.7893
Transportation,47.1989,12.1007,674.3766,9.2096,543.2983
Transportation,24.5883,24.952,609.0331,48.0084,423.2256
Transportation,138.7336,9.4139,1746.3778,12.4904,55.345
Transportation,65.0132,32.7329,1394.6926,12.2506,175.1054
Transportation,79.3537,35.2786,189.3589,7.9874,386.3448
Transportation,89.5751,36.885,1701.0008,12.5354,112.5915
Transportation,27.2137,37.5908,854.101,45.0957,64.201
Transportation,71.0884,16.1202,1419.1665,29.7297,321.3997
Transportation,8.1469,28.1651,1571.1376,6.9992,187.9852
Transportation,130.4391,14.4655,1968.6917,48.0295,479.5823
Transportation,59.7482,32.8912,703.7371,27.1809,576.1463
Transportation,3.3576,18.9883,1746.0804,19.8634,344.5942
Transportation,85.179,22.2283,559.9376,37.6782,417.0708
Transportation,11.7841,9.2288,1957.5931,28.0681,586.7691
Transportation,112.2813,34.7578,833.7339,44.437,143.8343
Transportation,130.6571,21.0773,1272.2616,34.9116,547.7044
Transportation,130.5692,26.8421,2000.0,32.6295,337.0453
Transportation,63.6692,29.0636,402.847,17.3442,124.1477
Transportation,101.1021,12.2277,1270.5427,49.7699,184.0494
Transportation,18.42,32.856,1992.174,32.8031,414.3242
Transportation,8.3463,34.7849,1855.4881,21.2916,557.806
Transportation,114.5178,23.0238,519.1043,6.5087,79.3558
Transportation,98.6191,37.0647,150.4293,27.8954,390.2618
Transportation,127.0534,8.6852,851.3868,32.2664,235.0806
Transportation,124.2877,18.8598,1516.4873,18.92,184.3952
