Application,Cell_Count,DNA_Concentration_ng_per_uL,Enzyme_Level_AU,Protein_Mass_mg,Growth_Rate_fold_per_day
Biology,122958,112.5623,13.7019,3.1516,0.4198
Biology,147867,47.8006,30.4059,1.1806,1.7743
Biology,132932,73.0331,25.5329,3.2275,0.9769
Biology,104694,101.3317,17.8797,4.5423,1.3892
Biology,120879,69.4165,48.4065,4.9846,0.9676
Biology,111268,131.6174,32.7529,0.2512,0.2223
Biology,55886,95.8586,7.6652,1.289,0.5723
Biology,138337,114.3384,27.4833,1.4924,1.9865
Biology,169266,142.6882,38.4805,2.0723,1.9557
Biology,88498,109.1162,35.2291,1.2519,0.6921
Biology,113727,119.6085,9.3222,0.919,2.0
Biology,127324,108.7871,48.1141,4.8531,1.7563
Biology,176203,76.7128,22.3768,4.6085,1.2434
Biology,192335,73.9736,8.3084,0.0707,0.0952
Biology,17023,182.1824,8.1887,1.6714,1.7918
Biology,42090,121.4043,4.0358,2.0357,1.0942
Biology,68221,59.2387,40.0376,1.1422,1.755
Biology,65820,109.5411,6.1636,3.2707,1.6745
Biology,1769,69.5198,6.7768,3.3317,1.6781
Biology,60735,177.4426,43.2091,4.2158,1.4185
Biology,195027,9.9263,16.1989,3.6578,0.6001
Biology,65925,39.9934,0.8293,2.7043,0.7591
Biology,6311,82.0015,1.7208,3.2514,0.6028
Biology,104355,104.3489,8.6039,1.3181,0.0671
Biology,185779,177.8288,10.6283,2.5992,1.1602
Biology,86305,23.1531,33.3069,2.6264,1.3027
Biology,160765,160.7342,8.0082,0.6754,1.7015
Biology,131608,14.097,5.3176,1.2025,0.2517
Biology,157730,167.1208,39.8206,1.498,1.0903
Biology,85478,18.8951,33.9959,4.6143,0.0249
Biology,123537,11.3351,21.8622,1.1167,0.2146
Biology,150503,141.3764,26.4075,1.353,0.0968
Biology,131523,196.6483,14.5084,1.6696,1.4376
Biology,3747,190.0929,23.8685,3.1869,0.1992
