Application,pH,Molarity_M,Conductivity_uS_per_cm,ReactionRate_per_s,Turbidity_NTU
Chemistry,3.4814,3.415,16479.9492,3.2035,553.3705
Chemistry,1.6851,3.6875,9557.9486,74.2897,314.3242
Chemistry,0.0364,2.2677,2775.1157,17.6008,247.4471
Chemistry,2.3893,1.7425,3834.3154,13.3465,8.6088
Chemistry,11.2531,4.6333,14341.5203,33.6306,167.1022
Chemistry,13.7747,2.0795,17047.5474,47.6003,588.0676
Chemistry,7.2258,3.5103,7904.9284,51.1854,549.3811
Chemistry,10.9572,4.2368,7459.747,68.7624,692.7262
Chemistry,3.2451,0.7204,3175.0335,4.0505,30.6179
Chemistry,9.4549,2.5656,12974.1579,33.4714,781.8691
Chemistry,11.9017,2.624,2869.4849,25.315,594.4257
Chemistry,8.8806,2.8489,14058.2046,40.8991,288.2752
Chemistry,10.041,0.8396,12205.9939,50.1383,421.5377
Chemistry,1.5468,0.1785,16402.015,88.2939,816.8071
Chemistry,5.01,3.338,12804.921,85.1293,483.8713
Chemistry,0.3496,3.1125,3902.0769,52.0647,689.5955
Chemistry,1.8364,3.4191,11675.5404,78.288,453.8522
Chemistry,4.3847,1.232,17698.3297,38.2237,539.0949
Chemistry,13.3918,1.6484,15756.8879,95.5268,847.6985
Chemistry,1.0107,2.6847,3542.2625,14.2104,522.7567
Chemistry,6.3154,0.2364,2136.5912,14.427,574.1515
Chemistry,10.7447,1.0271,18740.9138,28.4015,413.0603
Chemistry,6.8595,4.4131,15147.4262,12.5242,184.9625
Chemistry,8.3443,0.8293,16154.2056,0.8982,930.401
Chemistry,13.2222,0.9047,17845.8039,32.1567,2.0857
Chemistry,9.4897,3.4696,9497.1779,3.0122,140.231
Chemistry,10.8605,4.3668,16840.0299,57.5579,709.9623
Chemistry,0.4296,4.7658,2455.7867,83.0769,751.1751
Chemistry,10.7547,4.213,6922.0763,20.1158,132.4698
Chemistry,6.1888,3.5087,6764.5654,58.8619,628.4832
Chemistry,0.1524,4.4955,650.0552,24.63,893.0887
Chemistry,11.7836,2.4278,4131.3732,52.6701,799.0951
Chemistry,13.308,1.4937,14171.0754,52.2537,39.716
Chemistry,8.9903,3.5493,8810.4445,5.7234,28.5956
Chemistry,12.5756,2.1584,11521.3227,93.6815,467.5417
Chemistry,2.9486,1.8868,12669.1673,16.5654,356.3492
Chemistry,8.8644,1.964,4031.6232,56.6501,74.6079
Chemistry,6.376,3.1378,18959.7101,44.2191,167.0753
Chemistry,0.3649,4.395,3089.824,82.5433,948.6046
Chemistry,8.4141,4.8657,356.1131,40.489,384.1187
Chemistry,7.944,3.2619,5016.1191,72.3599,232.7072
Chemistry,0.7112,0.1849,9896.4473,78.8628,176.4361
Chemistry,3.0551,1.8686,4395.5386,14.9957,579.4627
Chemistry,3.9636,0.6346,15978.1054,66.794,448.198
Chemistry,2.5374,2.6228,4869.159,45.2037,336.3514
Chemistry,9.019,2.0179,18374.1302,94.5413,394.6523
Chemistry,7.3241,3.6576,14161.5274,98.1093,216.217
Chemistry,5.4679,3.0055,17495.2042,68.1131,720.9061
Chemistry,6.3771,0.9354,11380.5278,55.4933,759.1214
Chemistry,13.6456,0.8241,11486.6077,32.8379,82.8551
Chemistry,1.4146,0.5927,19767.4161,27.3681,238.8114
Chemistry,2.6739,3.6876,2511.9944,46.7215,48.0785
Chemistry,7.834,1.637,11830.572,51.3678,109.0947
Chemistry,13.7202,2.3104,1682.4894,55.7801,961.4056
Chemistry,10.422,2.2301,19690.1471,77.377,442.5636
Chemistry,11.6063,3.3549,13130.5497,86.074,207.7374
Chemistry,10.2586,0.2558,2045.6427,38.4817,991.8628
Chemistry,1.2289,1.9128,5718.7108,53.2872,462.0481
Chemistry,3.7249,0.4225,17874.6475,76.7775,693.1845
Chemistry,7.4262,0.3375,1550.3848,87.7467,940.9083
Chemistry,1.185,0.3261,5126.3068,14.3549,906.9785
Chemistry,5.544,2.0045,10272.7212,73.5791,949.6451
Chemistry,3.1573,3.6979,20000.0,91.4487,821.9948
Chemistry,8.9854,2.4288,3934.0937,22.6167,702.7399
Chemistry,1.4952,1.203,16224.4235,45.1463,193.3784
Chemistry,10.7619,3.0553,7300.1744,0.0001,215.9269
Chemistry,8.0321,0.8465,361.5221,81.8519,336.8201
Chemistry,4.8269,1.9499,15424.9999,82.6351,904.1473
Chemistry,2.3447,4.8309,9917.8547,91.0253,275.8315
Chemistry,9.6196,4.1659,9150.4976,73.413,203.9037
Chemistry,11.9742,4.6137,13103.9712,36.9564,582.6207
Chemistry,11.7373,0.4976,13306.0281,17.6864,267.8233
Chemistry,1.8294,3.1001,13299.8175,33.6194,586.8584
Chemistry,13.6861,1.6651,6022.7632,20.7779,625.8492
Chemistry,3.7134,4.0658,10976.1946,10.8543,366.6864
Chemistry,3.1589,2.3723,18153.3005,47.7993,491.9833
Chemistry,5.0947,3.8749,17945.0777,21.8422,454.1787
Chemistry,6.0142,1.5138,7936.5025,6.2804,147.5074
Chemistry,8.0909,0.4186,4471.7042,55.1053,124.5393
Chemistry,7.8589,3.726,1731.9497,55.5785,145.6383
Chemistry,2.1937,2.9894,17215.833,50.9626,765.2498
Chemistry,4.1877,4.3914,3348.5536,19.6059,736.9124
Chemistry,10.4849,0.5738,5525.7216,43.6326,413.4787
Chemistry,3.0532,5.0,16882.0796,71.1565,29.1954
Chemistry,9.4088,4.4439,16215.2581,72.6199,15.5553
Chemistry,10.8137,3.294,8780.2804,60.3697,961.9814
Chemistry,10.8457,2.6346,14316.9445,81.121,241.648
Chemistry,10.6662,2.1627,5578.4314,64.0214,187.7812
Chemistry,3.5924,0.4828,18453.9223,7.344,76.152
Chemistry,5.9723,4.63,19005.1276,74.2773,678.1632
Chemistry,6.5957,1.005,18859.1832,38.0815,730.2132
Chemistry,12.7046,1.9186,11989.3136,20.475,938.6766
Chemistry,4.8226,0.9213,998.8718,7.5136,833.0673
Chemistry,13.0433,1.2437,12465.7988,29.8429,53.0819
Chemistry,12.2482,1.8336,8541.5065,61.4043,788.3099
Chemistry,10.4379,3.4486,8704.0197,86.538,969.3869
Chemistry,9.1529,4.0604,690.2782,28.8587,538.9483
Chemistry,7.1101,0.0658,18296.0523,52.9124,143.9225
Chemistry,1.8844,3.9619,16438.729,13.936,241.0948
Chemistry,6.7561,3.9815,6199.1832,43.2251,871.6065
Chemistry,0.4243,0.5215,19608.471,29.8045,961.6822
Chemistry,6.5057,1.4267,3172.4342,14.2854,971.3535
Chemistry,8.8304,0.3731,16583.852,46.7924,514.7741
Chemistry,5.7226,2.3269,12761.8531,93.1185,635.7877
Chemistry,2.1232,4.8827,10251.2334,58.8418,694.5522
Chemistry,9.7707,4.3942,19824.0725,70.3123,421.4099
Chemistry,11.4207,4.3927,12482.4646,20.7574,984.3712
Chemistry,9.4978,0.6564,16079.9382,45.8819,828.2925
Chemistry,8.2536,4.4864,4481.7699,90.9442,136.1534
Chemistry,6.0626,0.0001,1507.8831,42.5631,128.4531
Chemistry,9.3595,3.643,3914.557,28.6433,574.8528
Chemistry,4.0105,1.2693,19526.527,19.2536,541.1594
Chemistry,8.1238,2.5545,11219.0311,59.5599,12.8225
Chemistry,4.5509,3.6291,17493.5338,8.1081,448.5165
Chemistry,8.8806,3.2049,13317.0578,17.4531,905.1092
Chemistry,6.3716,1.4696,2576.5962,20.034,440.0881
Chemistry,2.9397,3.9474,2019.904,2.1576,691.5905
Chemistry,3.8349,3.1344,10238.8278,8.5272,720.9668
Chemistry,10.0756,4.0865,18987.6141,46.1238,23.9301
Chemistry,2.2547,1.8037,1682.3696,3.2992,292.2251
Chemistry,3.9625,0.5045,10083.4085,43.3668,915.7351
Chemistry,10.3748,1.9963,15106.126,97.6346,507.3548
Chemistry,0.0502,2.5415,1854.8583,43.9125,968.2189
Chemistry,0.0131,0.9206,8165.5861,78.9552,879.03
Chemistry,5.325,2.8209,10812.3836,0.0001,320.5469
Chemistry,13.0878,3.0987,2173.9569,71.9965,288.3731
Chemistry,0.4094,0.3648,12745.0854,47.8122,344.961
Chemistry,12.9689,2.7158,14885.4757,30.5029,510.0312
Chemistry,7.7155,0.6855,12538.1478,0.0001,841.8439
Chemistry,1.4102,0.7882,1518.3259,63.0994,524.8292
Chemistry,12.0435,1.9175,888.4883,79.9699,788.1547
Chemistry,0.7228,0.3415,15708.3959,15.6992,582.0329
Chemistry,6.6491,2.8306,9751.3638,83.9052,253.9765
Chemistry,8.8602,3.5625,11251.612,86.5055,441.0257
Chemistry,9.2277,1.6243,17822.9672,72.9146,440.8739
Chemistry,2.7601,4.5441,11547.7376,78.9878,957.8691
Chemistry,3.86,3.5527,5204.9536,66.7729,558.8748
Chemistry,11.848,4.9366,9365.8045,79.543,76.5914
Chemistry,4.9288,3.1899,8810.1538,86.4892,556.2795
Chemistry,7.4287,2.3506,14028.867,51.3345,585.5706
Chemistry,6.097,3.8234,7082.1443,86.7206,482.3092
Chemistry,2.6098,1.9046,16968.6309,78.2248,340.5875
Chemistry,5.9187,0.0001,10650.5457,18.7357,253.9489
Chemistry,0.5428,0.9439,10614.6422,24.1602,199.3993
Chemistry,1.9956,1.1004,15342.4244,85.172,74.8088
Chemistry,11.4217,2.4843,1406.8532,42.5849,379.4048
Chemistry,13.0806,3.2228,17757.5088,98.4002,714.084
Chemistry,0.6151,2.859,3968.362,68.377,530.7336
Chemistry,4.4269,0.5183,6635.8009,3.3336,0.0
Chemistry,13.231,1.4828,1626.2063,37.0916,813.5477
Chemistry,9.9286,0.5552,9798.6027,79.6311,407.8556
Chemistry,0.1027,0.6218,6385.918,37.6432,688.6767
Chemistry,1.8741,0.8535,3853.7788,35.0544,762.2889
Chemistry,10.1552,2.6454,2869.9525,33.4518,473.6446
Chemistry,9.7254,3.7201,1914.7916,32.7471,787.2382
Chemistry,12.11,1.6829,1196.7944,19.6323,580.9212
Chemistry,10.0646,1.0157,4155.9475,19.7974,782.6419
Chemistry,13.5106,2.2299,0.0,79.3912,702.6714
Chemistry,8.0069,1.6981,1657.6422,63.6375,187.4413
Chemistry,3.562,0.2209,19636.7254,31.9678,234.1633
Chemistry,2.1567,4.6303,7801.8344,76.2211,403.7158
Chemistry,0.0,0.0001,18330.6608,59.1466,361.5963
Chemistry,2.1028,0.2015,8169.0468,46.0807,318.4172
Chemistry,8.2969,1.4592,15340.0795,60.0084,479.3117
Chemistry,5.493,3.8149,13939.9246,29.8174,504.7073
Chemistry,10.809,2.2587,3426.5889,72.1016,931.915
Chemistry,5.0656,2.5585,9327.0969,25.0257,294.302
Chemistry,4.9852,3.1782,2522.5394,60.0576,44.0377
Chemistry,8.9903,0.0244,8170.7945,84.3415,284.4493
Chemistry,13.07,4.8808,5859.1072,51.2254,709.3894
Chemistry,8.2615,2.7867,11727.4589,47.5974,378.2514
Chemistry,2.9207,4.1882,14964.0256,63.7132,184.8731
Chemistry,5.9209,2.0427,18466.6369,32.4215,416.445
Chemistry,12.7941,2.1594,1084.2362,99.2592,720.1293
Chemistry,11.3618,0.8492,15425.6289,68.3424,82.7573
Chemistry,0.0987,1.8888,2149.7264,34.7083,704.643
Chemistry,3.4901,0.8325,17284.5423,61.5174,157.7481
Chemistry,8.5403,4.5779,13698.216,88.6367,978.044
Chemistry,10.2626,1.6677,18389.3038,85.334,443.7787
Chemistry,1.5238,2.1396,2270.6883,94.5855,378.594
Chemistry,6.5856,0.5981,9542.1215,18.2428,611.0675
Chemistry,7.919,4.9074,9560.9058,29.9873,144.5621
Chemistry,1.6787,2.9566,14406.4124,98.9888,313.6027
Chemistry,5.8459,2.9037,18935.1834,62.2132,571.7314
Chemistry,0.1141,0.8413,192.567,88.9813,81.9473
Chemistry,10.1348,3.4042,12657.8016,21.8946,292.5046
Chemistry,0.733,3.4283,1230.2585,73.3267,461.0646
Chemistry,1.5701,4.3879,8425.603,46.9221,667.8837
Chemistry,10.6568,1.23,16903.1284,65.242,306.7273
Chemistry,5.7208,4.2862,11462.8846,56.7991,585.0475
Chemistry,9.4453,2.2081,16983.3946,71.577,260.5235
Chemistry,9.471,1.1118,13065.9542,19.9029,432.6902
Chemistry,1.813,3.2743,18053.5769,97.2567,408.8297
Chemistry,2.4294,0.2462,15523.2243,51.0006,28.2101
Chemistry,8.9694,4.3193,14154.5899,81.0906,955.6388
Chemistry,3.2288,0.3602,13950.4525,1.2511,690.7059
Chemistry,5.9089,1.9721,11526.8489,15.5895,614.1706
Chemistry,11.6283,0.5246,16346.9602,31.0678,314.8863
Chemistry,3.9826,2.4468,9068.3882,69.9979,786.5353
Chemistry,4.9522,4.7762,1479.2058,32.9888,703.3392
Chemistry,4.3065,0.6027,14366.4726,75.9433,157.9048
Chemistry,9.9421,0.7411,14875.0785,11.1286,563.4544
Chemistry,4.2912,1.1126,2376.3459,42.0927,271.5267
Chemistry,5.8592,4.6994,5206.9419,30.2386,744.2029
Chemistry,7.724,1.3312,4974.5805,11.3622,445.0033
