Application,PageViews,Clicks,Conversions,Revenue_USD,BounceRate_pct
Ecommerce,43849,157,3054,90846.9921,87.2648
Ecommerce,49842,7372,2564,109524.6657,34.2947
Ecommerce,11870,16933,4269,22578.2295,87.1206
Ecommerce,35065,1080,3110,128606.6539,33.1518
Ecommerce,10643,3854,4895,134933.2183,58.1118
Ecommerce,44380,1244,4958,54791.7601,48.474
Ecommerce,3364,14689,1991,182884.5912,84.5252
Ecommerce,34936,13136,3600,41497.7495,8.5325
Ecommerce,16057,11853,1151,185398.6824,96.8129
Ecommerce,46296,15961,2534,146524.6401,45.5435
Ecommerce,14848,13025,4849,169513.4987,47.6124
Ecommerce,41525,17892,1195,142989.3076,80.6633
Ecommerce,47100,18214,4430,86010.3212,65.1291
Ecommerce,33742,774,2348,59046.2541,95.8105
Ecommerce,34902,16470,4699,143320.8506,55.8454
Ecommerce,43484,13412,4271,56550.3875,55.1528
Ecommerce,49777,379,2725,16634.0271,96.2709
Ecommerce,23991,7961,1927,56442.598,93.0455
Ecommerce,11588,18254,508,151076.4121,22.3851
Ecommerce,58,5527,690,159602.7274,30.8708
Ecommerce,41782,15571,1899,52902.5278,63.3769
Ecommerce,17678,8407,3627,64549.9398,93.5232
Ecommerce,10358,19295,1580,108134.8862,52.6142
Ecommerce,17048,7906,406,59359.9527,75.008
Ecommerce,25940,9120,557,127515.2119,4.7595
Ecommerce,30544,5505,770,51065.0862,50.2854
Ecommerce,37286,15099,3805,24656.0606,15.1007
Ecommerce,24609,8396,2495,29881.3954,24.7347
Ecommerce,12776,10909,2392,35256.637,16.7596
Ecommerce,33968,7100,4043,38829.6841,19.3086
Ecommerce,47028,5089,433,200000.0,95.9825
Ecommerce,10225,5706,1171,135663.3012,30.251
Ecommerce,49850,16779,3221,34365.4631,53.2311
Ecommerce,40437,1617,3452,89923.4159,1.4532
Ecommerce,9701,15664,3103,55719.4385,79.197
Ecommerce,1597,16716,4468,144857.6756,65.0296
Ecommerce,38553,10117,2802,174864.6197,25.4843
Ecommerce,31297,14268,1049,80164.2415,4.1765
Ecommerce,46945,6112,299,85569.1759,30.1899
Ecommerce,30821,8625,263,78572.8146,61.2392
Ecommerce,36584,15294,3850,92067.3969,3.6644
Ecommerce,31229,4995,2791,13160.5663,8.4789
Ecommerce,18621,7913,527,114176.0102,38.2955
Ecommerce,12899,10099,872,193763.7257,15.4681
Ecommerce,28521,18372,4035,169296.943,60.9929
Ecommerce,49889,5848,2825,168345.8377,17.9937
Ecommerce,13164,15904,3322,49557.871,99.8274
Ecommerce,12106,14782,3642,121030.9398,46.5785
Ecommerce,25513,7654,2612,172883.1005,12.9311
Ecommerce,8332,3403,2600,6825.4381,8.3364
Ecommerce,9123,7317,2564,178318.5023,42.4882
Ecommerce,40821,1751,4098,7817.8382,79.3587
Ecommerce,28100,3311,2920,200000.0,45.3898
Ecommerce,41830,12251,1307,17184.9733,13.4547
Ecommerce,25004,16311,4261,81211.9166,49.156
Ecommerce,47741,12640,4673,7288.7762,33.9938
Ecommerce,39202,15309,4882,7298.1236,48.9484
Ecommerce,36636,17356,2705,177930.7067,39.9046
Ecommerce,33523,13287,61,11586.8679,65.935
Ecommerce,9060,19151,2085,162150.5186,82.5639
Ecommerce,44926,19421,4567,186593.7238,87.9736
Ecommerce,12861,4352,4823,193196.6922,73.7187
Ecommerce,8912,16923,2486,167735.7021,33.1403
Ecommerce,43405,17118,1402,189773.7739,43.7887
Ecommerce,3486,4707,3201,3411.176,62.6281
Ecommerce,27318,16748,2658,200000.0,22.4749
Ecommerce,29700,4033,134,3541.0023,71.6515
Ecommerce,36241,16694,34,23793.1904,67.0244
Ecommerce,43857,10857,2986,20862.6511,67.9724
Ecommerce,46734,12417,655,152406.0952,34.5451
Ecommerce,47538,15264,1943,13430.1047,60.0818
Ecommerce,18149,15664,397,57774.3872,16.7425
Ecommerce,43444,19101,1459,130135.5936,19.879
Ecommerce,15220,2529,1110,103943.0723,74.9923
Ecommerce,19944,11171,3684,24776.0509,37.4523
Ecommerce,15098,7807,1439,108339.5478,54.2045
Ecommerce,5499,2176,4821,67185.8928,27.4533
Ecommerce,11666,2583,2065,118820.1207,21.9818
Ecommerce,16048,12564,3497,108957.8731,78.0924
Ecommerce,46291,15900,4182,190626.833,79.0419
Ecommerce,47693,10956,4314,169852.0558,83.1677
Ecommerce,1978,13887,3041,0.0,83.9694
Ecommerce,29575,5514,3720,31955.3863,43.0781
Ecommerce,41416,9846,3216,183876.798,77.7644
Ecommerce,8468,5381,397,104776.8157,38.6527
Ecommerce,37879,11186,4817,153207.4907,5.2312
Ecommerce,4408,8969,370,96269.7668,67.5869
Ecommerce,37109,18417,3528,155839.1545,16.779
Ecommerce,47162,8559,4766,32483.2,42.7857
Ecommerce,46284,7793,482,144313.998,16.7575
Ecommerce,21161,3029,702,177023.7297,38.2589
Ecommerce,18295,4610,1535,47268.3679,85.7831
Ecommerce,15546,1791,784,77006.9927,58.7228
Ecommerce,29924,6625,4355,114587.1793,13.4843
