Application,GDP_USD_millions,Inflation_pct,Unemployment_pct,Exports_USD_millions,Imports_USD_millions
Economics,146305.7119,18.9787,27.7156,15530.3471,73460.0209
Economics,139035.9415,11.7697,10.5767,38168.355,66554.1091
Economics,13781.9953,9.7313,18.9308,80258.2371,34083.0728
Economics,64476.6539,44.4963,7.6045,49883.6106,81448.2808
Economics,167474.7653,47.0847,16.3267,1497.9143,7773.2744
Economics,67465.9503,23.7017,12.2262,82454.6678,64805.8985
Economics,70472.8781,27.7937,5.5304,19526.4435,98548.0685
Economics,178736.1074,17.155,41.1194,13495.3681,3795.8008
Economics,5674.2592,47.0876,31.4035,85944.3587,92675.4696
Economics,144215.751,44.9462,26.6155,73057.1495,82763.0276
Economics,75000.3622,46.3251,35.4311,53629.5404,94013.2855
Economics,136205.7492,-2.9609,38.4116,71215.8674,58690.8236
Economics,174956.2091,46.2305,1.1377,77511.3979,90017.833
Economics,106063.6443,-4.8939,35.913,16370.8317,71728.0895
Economics,40428.5599,0.2983,43.8423,63918.3167,40234.9137
Economics,172459.6165,2.6771,5.6731,4240.1669,67249.3384
Economics,170725.018,45.4145,45.2293,2938.9568,58830.0497
Economics,162968.6947,35.1792,23.0398,72945.7031,41801.6485
Economics,155316.9211,-1.977,8.7957,38964.8408,94967.0851
Economics,183106.7075,27.8287,22.6924,8332.4718,28433.6085
Economics,16963.424,36.1059,4.4893,32823.9389,98239.6497
Economics,140868.1465,46.6095,18.601,92499.1715,19460.2118
Economics,33556.4012,30.9323,24.4364,17303.6601,91382.6747
Economics,106030.3952,39.0947,25.0189,11825.9914,42756.4729
Economics,139718.8956,34.5669,3.9039,50815.5728,26800.7102
Economics,19811.6642,30.847,11.686,34183.379,59159.6153
Economics,71723.0211,15.3563,17.155,76652.4685,33704.3254
Economics,72127.6996,20.0715,45.9392,54544.6505,48600.2042
Economics,81534.9742,24.6506,31.1683,48550.1756,8389.2397
Economics,116080.3694,41.0145,1.2698,51267.5459,30465.5807
Economics,73042.066,7.9117,42.3014,0.0,1658.4163
Economics,86406.9108,4.7102,30.0191,11904.5366,93559.5595
Economics,161484.1428,19.3978,19.0083,13134.3184,12264.8097
Economics,35841.0993,14.4964,8.8995,80543.952,30841.9007
Economics,163636.5272,2.6202,16.278,81200.0256,0.0
Economics,65015.9444,10.2195,7.919,63326.895,18189.2346
Economics,33914.6302,39.8729,48.5207,80185.7765,69444.7947
Economics,4692.3033,0.4053,28.7861,99267.9372,61113.6052
Economics,116664.3953,23.6363,34.8955,81012.1306,389.3104
Economics,48782.8865,32.9723,36.9852,90409.7187,71037.0492
Economics,156115.2806,-4.0192,39.4941,30058.4486,4001.1503
Economics,200000.0,30.2292,39.8771,20493.516,57954.2581
Economics,152359.4637,-3.0986,24.2091,87356.6015,44419.6569
Economics,131490.9558,0.9551,27.4906,66300.4454,22168.2517
Economics,112512.1882,24.5319,23.3909,90467.7632,23653.0169
Economics,194296.4589,18.7929,28.8457,47865.7401,85995.262
Economics,128198.5527,19.493,15.9233,38421.9132,67001.5144
Economics,45164.3342,26.1499,27.6589,22526.5001,74583.1641
Economics,38704.4831,35.1968,35.2566,39004.6248,65383.7008
Economics,152596.7731,23.1682,26.102,34526.8202,72882.2027
Economics,82220.498,49.9253,46.4291,56065.4348,2418.0211
Economics,152118.5283,17.8026,0.3958,0.0,80223.4234
Economics,76616.535,-2.0112,42.5836,24111.5633,32573.3939
Economics,147420.2439,44.2422,16.6771,17080.9361,70845.1749
Economics,143662.5024,38.5503,14.6589,57551.8165,68640.0173
Economics,134446.6885,23.4165,29.0534,60771.6844,32705.651
Economics,122208.2184,9.5824,8.6559,50253.5369,60851.9436
Economics,54802.175,38.006,33.7099,88511.5909,77466.9954
Economics,34567.6936,46.7325,5.9184,87075.9172,58777.9482
Economics,73769.1044,12.7595,43.5751,95645.2451,76527.7163
Economics,178281.64,-2.8202,40.73,92198.2833,0.0
Economics,152596.5785,42.3192,31.1971,85951.0501,14582.2194
Economics,183039.5438,41.1265,5.5216,13584.96,1521.7417
Economics,135667.8651,9.6927,20.449,25933.28,62420.0491
Economics,188962.2471,47.0981,39.5504,93889.6841,49919.3683
Economics,30315.7176,13.3502,45.2902,82889.8391,40448.714
Economics,114247.2126,17.6296,45.5738,72113.2352,11060.9332
Economics,67469.5259,3.981,32.8528,94222.0326,77405.7661
Economics,126389.912,46.1159,37.7573,40594.1892,29023.8911
Economics,176373.4546,38.6922,26.5294,100000.0,38822.0327
Economics,180720.165,26.1092,26.0221,12585.5178,33930.4792
Economics,190345.7609,34.4882,34.089,32404.8397,76747.6536
Economics,187878.1021,20.8259,33.091,68506.8728,96307.1987
Economics,131150.7453,2.23,18.9854,69368.1533,37642.724
Economics,33188.3343,13.8335,37.685,45389.6668,86081.649
Economics,166203.2004,-0.5387,3.393,99654.1732,20261.8934
Economics,123048.7096,41.5208,47.2448,30292.9031,25388.909
Economics,35247.1784,8.1242,45.7719,22252.2211,19164.7237
Economics,109782.7156,-0.8217,25.2838,97793.468,22042.0371
Economics,115963.1626,40.0321,27.4611,84371.1468,88189.3614
Economics,190094.1009,24.2958,3.321,1158.0393,92476.1434
Economics,33080.1798,-1.7236,43.2556,14311.9253,67663.9972
Economics,112367.4026,15.8954,24.0479,40740.0282,45994.2868
Economics,91386.5392,23.5971,30.2349,91532.1063,45366.7329
Economics,109573.7832,29.6274,9.5673,87022.0525,70183.5546
Economics,140540.0726,47.7044,1.6645,50862.4147,75972.4293
Economics,193026.2512,28.0659,49.5253,52026.8259,75621.3879
Economics,157953.7507,44.8194,38.125,25601.5422,38060.0441
Economics,40084.2469,9.4041,28.4869,50336.7676,37002.4347
Economics,1777.7979,7.279,23.6239,51161.5248,74350.0982
Economics,103574.1403,37.7396,37.0948,33290.3395,22181.8974
Economics,15206.5262,19.5902,23.1325,32195.8707,42015.438
Economics,21672.8149,27.4997,41.2654,75847.2428,38932.4366
Economics,50602.2512,7.8821,7.3091,19681.406,11269.4462
Economics,1601.7578,41.5771,0.3973,52917.351,46181.4074
Economics,134686.8676,35.046,9.6051,74658.68,93231.9872
Economics,27118.6686,38.9965,17.7637,77768.0661,6473.0536
Economics,97654.6821,17.4977,50.0,7168.6055,31294.8067
Economics,128965.3483,5.8414,1.2202,83521.2567,79119.7681
Economics,116821.8211,-4.4142,43.2667,5962.6919,27083.1336
Economics,171815.2091,46.8961,14.2894,89432.1489,1177.8845
Economics,136203.884,-3.2394,44.5813,35970.1239,34529.759
Economics,14404.2746,36.7189,9.0962,84939.8402,11887.1811
Economics,67074.5096,2.3932,37.9395,77462.7583,11592.2612
Economics,27832.1449,25.325,47.3801,97522.9808,72858.1907
Economics,83544.7664,6.0456,2.9429,24467.0923,55404.8105
Economics,29852.9902,35.1838,27.0917,51030.2666,57114.4123
Economics,160094.899,-3.2437,23.8072,87467.9079,81731.7152
Economics,77586.6713,1.7979,30.7615,74035.9639,90963.2086
Economics,159828.0733,45.4583,40.7906,46740.7756,64342.0371
Economics,9298.8027,32.8683,14.5196,60875.026,26313.431
Economics,194850.8421,18.0247,4.8771,74317.1713,16371.2831
Economics,103568.9221,-4.7707,25.8544,65226.0554,65494.9473
Economics,138510.3688,50.0,19.908,94083.022,36126.951
Economics,48252.2534,22.3413,39.603,77946.3505,8085.7147
Economics,24209.9862,-4.9595,41.7027,79487.2195,8724.3564
Economics,181465.5917,23.7452,13.484,52618.3248,79090.8347
Economics,173409.0629,44.4235,40.6632,18124.5393,40817.7431
Economics,115089.3558,29.0413,28.1346,30211.2624,81194.8756
Economics,155906.3996,22.1419,34.4415,9375.4426,24691.2149
Economics,131479.4647,35.2684,31.6209,86776.2625,95631.0134
Economics,98590.816,39.4982,10.3085,41484.1329,66011.0439
Economics,109151.4076,38.9423,15.7017,94926.5689,2162.1662
Economics,2401.4463,21.4826,22.2798,52057.3238,93891.4495
Economics,69030.9436,32.1215,16.5607,24908.2959,2661.3892
Economics,56627.9989,35.6034,31.1411,75701.8082,63370.8253
Economics,191203.7393,21.0278,18.3742,8500.8137,50301.5841
Economics,1529.0998,45.7887,2.5702,91024.1823,64433.9299
Economics,184718.1196,12.6424,24.6879,20776.9289,57751.7701
Economics,135450.006,36.1401,44.2544,79843.7918,86405.7796
Economics,3862.2483,13.9495,20.0062,12956.8881,23089.3954
Economics,24521.4505,24.6806,13.6131,13129.4738,69958.7208
Economics,107397.1499,31.8485,9.2649,6810.0989,29824.8325
Economics,187443.1783,5.4569,6.6264,7055.1949,51190.5804
Economics,70542.4411,10.1161,8.1285,21269.7733,32405.0713
Economics,50019.309,44.2183,49.6031,74900.6159,95088.2928
Economics,121887.9315,41.5939,42.3281,94241.8968,69210.899
Economics,121906.4253,19.9879,0.0573,71542.9727,16753.9935
Economics,9907.6845,41.8404,42.9678,79004.0041,12700.2041
Economics,129328.7962,6.069,37.4765,1380.0819,94270.005
Economics,35351.5314,0.7887,1.4104,9622.0382,30492.3146
Economics,159962.4122,-0.4724,19.71,72979.2847,88845.5708
Economics,106130.1425,19.8731,7.0631,82578.9195,13364.9572
Economics,124836.2499,20.267,23.2334,28264.1853,15313.6372
Economics,167018.8434,23.0333,15.9179,518.2664,93290.2293
Economics,56967.7636,33.2679,9.588,45696.6972,80078.3613
Economics,160507.3323,28.6336,29.917,73984.1228,11689.8318
Economics,176072.0625,-2.5541,3.5119,4023.2267,43553.8733
Economics,182096.4889,32.4103,50.0,96380.7976,41227.9302
Economics,81187.6017,29.9089,40.7587,9643.0971,43739.4247
Economics,80148.7044,47.7403,8.3647,63580.6382,89998.0662
Economics,172966.8016,46.8795,12.9596,67384.1218,94541.3235
Economics,185561.5924,6.3984,22.5766,73630.3535,60863.6163
Economics,79451.0798,-3.0536,43.507,32611.1601,81782.3341
Economics,91305.2075,7.5838,3.3076,52620.5381,86947.536
Economics,72321.7631,41.8392,35.0774,31540.84,4743.6344
Economics,53780.2444,35.3368,32.2362,100000.0,91589.4813
Economics,187703.1747,2.9344,7.7773,92964.4782,99331.2262
Economics,4377.2503,20.5807,45.5264,68436.1471,23863.5411
Economics,70432.3772,24.4344,17.4547,23607.5808,26845.2257
Economics,120334.243,-0.2717,19.4052,33786.2915,43232.5664
Economics,13713.986,37.0568,12.0646,9600.0577,50371.7097
Economics,172275.2416,29.9686,13.1495,59038.8561,49220.6543
Economics,32784.1387,48.1867,31.3678,67076.1189,60597.5585
Economics,145398.3973,-3.363,18.6362,41256.911,6932.4386
Economics,189178.3116,8.7084,17.885,79253.7486,30772.1398
Economics,76675.144,16.5808,37.8332,76739.0581,93721.0549
Economics,200000.0,11.2403,19.6402,143.2263,5589.327
Economics,200000.0,1.3276,30.725,30040.643,29919.0504
Economics,50256.4639,11.58,6.7046,78374.4497,95204.5388
Economics,85690.4788,10.9859,39.3144,16742.4904,3013.8661
Economics,182373.9372,35.8644,10.6991,72536.1686,46080.5328
Economics,24468.6067,4.6853,7.7004,26662.6385,51565.7596
Economics,99211.2642,0.7316,41.3674,39667.869,7390.0454
Economics,200000.0,39.7611,31.8328,2635.0896,94620.7545
Economics,16682.6106,45.1833,26.4235,80710.7508,97701.2387
Economics,191497.0213,22.7822,42.1283,18004.504,85767.6262
Economics,75500.2922,35.7372,2.9268,22048.2131,24874.678
Economics,164067.5504,8.6716,42.6907,85195.1838,63111.4101
Economics,50377.4605,37.6275,21.0298,37453.7611,6841.5464
Economics,145388.32,26.8924,14.0012,83475.2701,98667.0757
Economics,81374.1292,8.8725,8.7319,68708.8798,55942.3874
Economics,131533.9772,9.3354,1.4839,23562.664,88515.2246
Economics,59774.2375,31.4506,15.3476,21041.2999,45200.5079
Economics,194728.645,44.0255,35.235,27997.4196,77878.4316
Economics,1288.0297,49.1862,27.5985,89840.5048,79082.9355
Economics,185862.8862,-4.0526,38.4114,58878.5543,64014.3761
Economics,20761.9074,30.8061,14.1615,87594.5406,30821.6666
Economics,149510.7358,28.8321,46.284,96298.5425,26146.076
Economics,58462.2859,-1.4668,42.1411,39092.5377,18497.8568
Economics,154110.3617,7.0397,35.4555,51373.6307,8823.2345
Economics,47138.7076,30.0701,27.1106,74191.9934,15364.5835
Economics,37494.3946,16.3659,28.6583,53435.4609,30136.4561
Economics,143331.39,-0.6097,41.3424,89561.0722,24904.8625
Economics,13032.3067,30.2348,32.7267,22630.6839,42025.8772
Economics,23641.762,19.6626,7.1794,7563.5002,70962.995
Economics,16022.5942,-1.7592,30.088,97569.0987,40277.0392
Economics,87553.3247,7.6653,19.1195,65552.0893,61985.1419
Economics,34287.0636,-4.267,26.9355,90803.2715,49612.9012
Economics,159297.3819,36.6392,34.2978,13486.7143,21655.1195
Economics,139967.9446,34.4006,38.7164,30505.4766,62892.2483
Economics,4733.5626,14.9913,46.3612,37329.9181,17639.9433
Economics,169301.8412,16.5989,38.604,43950.2346,48600.4176
Economics,102145.2033,22.1221,3.8184,39403.4838,56719.2457
Economics,158325.6555,43.8384,4.9941,87694.9494,32778.7122
Economics,45610.1113,1.9631,11.0011,100000.0,90002.3945
Economics,95248.1339,-3.9698,34.2789,12692.6042,45598.0516
Economics,27385.9976,28.4089,5.6648,65784.5351,38007.7512
Economics,106167.6674,40.6951,19.8329,46624.9601,8106.8109
Economics,47357.6389,18.2093,38.7631,30890.1171,89695.352
Economics,128659.179,42.9522,33.79,89916.4074,65987.8432
Economics,38619.6918,12.8025,0.6861,8173.4732,26117.4297
Economics,66597.9313,-4.4154,12.4331,44787.0862,63489.3516
Economics,187093.492,8.8127,30.2823,27537.3291,33024.1871
Economics,170875.1986,7.0529,2.0263,74194.7628,903.1349
Economics,1141.1201,44.0882,20.5737,6838.7338,59398.522
Economics,133590.8948,8.8887,44.2847,60495.4757,44528.9385
Economics,168528.6669,32.0068,32.4935,68931.8833,27649.7498
Economics,150371.8634,7.3627,21.0912,11463.1988,43550.3247
Economics,70999.5837,-4.759,42.7406,51389.906,36810.4447
Economics,52988.7155,14.9572,5.4172,37536.5052,6985.1148
Economics,139685.7692,30.0937,32.597,40979.4838,41701.2953
Economics,159379.855,49.9038,20.1115,98317.4941,29052.701
Economics,100.0,37.8841,26.8724,19667.1873,61877.1289
Economics,123407.2072,16.983,1.7948,68790.6913,12318.2166
Economics,115669.1249,24.9212,30.7775,95675.2265,88160.4577
Economics,143614.0977,6.2482,48.2128,90354.5788,0.0
Economics,175691.5025,8.8835,4.632,88879.2781,73236.3609
Economics,49450.1892,23.3539,48.6803,4536.3619,81996.294
Economics,41595.434,15.0951,2.0207,58674.2262,42877.4338
Economics,76173.094,47.1998,6.5723,86805.8824,73000.8171
Economics,118524.5661,41.0101,28.0792,89880.1634,87349.4613
Economics,54475.2538,-4.7659,44.787,100000.0,45888.0838
Economics,173789.5809,46.8305,7.4722,2346.5978,57346.3836
Economics,28278.3035,5.5196,47.3008,31814.2456,56769.0765
Economics,100.0,47.0075,11.7099,6932.9317,26578.5168
Economics,149584.7247,0.3745,13.4062,40415.8042,43580.8842
Economics,93515.8023,22.9628,3.048,22777.8084,20562.9239
Economics,135353.4615,13.9933,13.1442,58601.2068,60480.9109
Economics,1934.5414,12.1494,24.2214,72889.1979,74439.4515
Economics,154573.3589,38.364,15.4717,36654.9498,6206.5342
Economics,21528.4291,15.8884,25.1028,87189.6195,65437.9988
Economics,117093.9778,-0.4001,19.1716,27732.1724,78012.3666
Economics,161572.687,11.884,4.1338,44116.3921,64671.2288
Economics,177665.9519,22.5563,16.3938,56190.2508,19355.1586
Economics,160219.8975,44.6034,18.5483,74941.8854,42090.5352
Economics,129181.7906,40.0977,39.4493,56035.2505,23579.9999
Economics,146189.8099,34.531,15.6379,10926.3223,66732.4196
Economics,177069.1816,3.9915,15.8266,73880.7205,94778.8629
Economics,46272.1089,44.412,22.9155,0.0,17637.0613
Economics,51130.7769,28.2439,45.7658,19461.722,9686.0857
Economics,134399.8128,3.0143,10.1813,55629.238,74645.8796
Economics,38556.4835,13.0762,11.2382,35424.3364,86124.542
Economics,135204.4419,31.482,49.0789,63628.5731,86886.9585
Economics,16808.6098,22.2775,8.0269,53958.1108,65226.7324
Economics,9554.5433,9.3335,10.5228,66352.1923,63944.4095
Economics,62542.3393,9.5205,21.1046,39764.3021,57320.0473
Economics,9386.4645,16.6941,48.47,80687.8486,23316.4409
Economics,91043.3014,20.5398,46.5211,94398.4159,90162.601
Economics,193471.9567,-3.6945,6.8899,0.0,25029.5087
Economics,115494.7723,0.6752,12.9409,29723.9446,11598.8436
Economics,18104.5364,23.9036,36.6516,50078.2138,26736.6822
Economics,156799.6119,16.8815,2.0163,92813.8764,32670.7645
Economics,76531.8965,7.6846,45.9495,33612.5298,0.0
Economics,71281.8316,19.284,4.2716,49048.7379,7393.437
Economics,96493.323,37.1803,9.0764,7064.9112,23213.0864
Economics,187284.1807,19.3032,1.6311,56587.2319,77337.042
Economics,64238.9535,-2.7159,48.8293,1156.2341,78840.4714
Economics,32736.8951,41.12,33.4899,72356.3757,43876.5758
Economics,14401.4201,11.5995,47.615,23012.0045,76584.6593
Economics,53725.1885,46.8474,0.4578,30967.1828,57390.4581
Economics,97538.2477,49.1666,46.0368,72217.7925,3177.462
Economics,38142.8966,25.6002,29.4017,42567.4763,84414.0352
Economics,193259.5543,-2.7584,19.3873,26241.0887,615.1673
Economics,54816.9846,40.0402,49.6894,27839.5892,68146.6405
Economics,196430.1898,20.9233,26.4716,87229.9676,57660.5404
Economics,65996.5107,19.7329,37.5038,14280.9519,50196.0817
Economics,94196.7074,-2.0154,8.6869,100000.0,38581.6395
Economics,105450.3083,30.8296,36.2659,34266.4022,56797.7341
Economics,64788.8026,21.1928,42.312,33349.5002,100000.0
Economics,92382.0999,0.5349,45.9672,85776.7584,67619.3412
Economics,93305.0543,3.6118,6.3495,5480.8729,47550.9057
Economics,10347.0064,5.8525,18.0606,8985.0594,79679.3662
Economics,110817.0195,42.5122,18.1692,89307.6855,91912.1597
Economics,57061.2944,7.4899,40.4543,61163.2594,29730.2011
Economics,13773.2055,41.3349,4.3405,66336.877,53306.7057
Economics,119822.97,32.3519,30.121,89211.882,12112.6809
Economics,158603.3215,46.3213,41.7967,74185.6144,59167.7477
Economics,151250.4237,28.4385,6.5752,40559.1154,76618.3037
Economics,65886.3582,24.0265,44.2795,35276.1165,66447.2498
Economics,5878.2456,34.066,33.2671,40162.2154,60509.3846
Economics,165246.3478,-2.8397,31.9863,2600.7831,85159.8653
Economics,111751.4001,26.5368,13.5304,21062.3791,76543.2339
Economics,168110.4269,12.966,7.3371,41912.3553,23403.9159
Economics,171346.5277,43.6577,32.5108,92918.0055,19564.5826
Economics,44062.153,-0.2282,31.7149,8109.0116,28336.4987
Economics,136187.2075,20.3999,0.8021,0.0,82870.0004
Economics,111158.0682,0.0929,34.402,13874.4004,42567.1683
Economics,1197.4739,36.1434,0.2647,12098.3091,97867.2916
Economics,196896.8918,48.2177,31.997,76569.4729,30432.4329
Economics,187686.0054,42.7709,40.4398,65722.8878,18485.3716
Economics,158887.4053,20.3211,31.9431,94719.6728,59323.1375
Economics,52029.2971,7.2192,32.4362,24322.3959,95616.159
Economics,94160.1029,40.1318,14.6566,3154.5278,68169.7957
Economics,6061.2711,-1.437,6.1841,35655.3525,61411.7149
Economics,52500.1728,38.4068,24.6329,81143.2834,10873.5047
Economics,151385.2074,32.7243,6.2954,74082.924,68430.7176
Economics,60640.5107,19.8465,0.4457,80017.7286,32530.2908
Economics,76244.2395,34.1769,29.3796,42825.7163,10370.1516
Economics,46281.0486,15.069,3.365,17513.4132,96152.6932
Economics,29818.9365,11.277,45.7145,100000.0,86855.0993
Economics,176252.1344,12.8048,21.4969,6493.6098,96337.0866
Economics,56883.9938,27.4796,22.4233,46447.722,83326.7641
Economics,81387.2835,0.4393,44.8271,99010.0364,98155.8035
Economics,53269.3053,22.0277,31.3911,22454.6276,4515.9306
Economics,127483.6107,34.491,2.3177,75870.3831,88113.2329
Economics,22024.2371,26.914,49.4434,63790.8907,14611.0312
Economics,37633.613,45.9763,4.8563,49269.4335,69269.7191
Economics,41409.2181,5.4286,3.967,89775.6109,70779.7671
Economics,17228.0491,16.0384,20.7146,69386.7185,90001.969
Economics,196603.9643,6.6999,34.1346,36113.4234,38760.9257
Economics,48392.9571,3.0387,15.7686,88168.5732,15743.435
Economics,75534.3841,1.8369,22.6722,28164.0347,61598.2146
Economics,142238.0785,39.9572,29.0036,29858.8531,16178.3931
Economics,140545.313,28.6194,7.2995,19998.815,7530.0269
Economics,22379.0444,7.5087,5.032,49237.3597,29524.3429
Economics,54674.9192,0.8022,29.3839,51350.9245,5214.628
Economics,22846.379,24.017,5.2756,59920.9562,4330.4671
Economics,67097.8072,28.129,30.0517,84782.6528,55458.2922
Economics,124941.8414,21.4412,0.6381,23073.3576,87808.0647
Economics,194959.8256,3.7782,34.5269,77059.5626,43296.7105
Economics,98885.9766,23.0467,32.8369,72345.3736,42359.425
Economics,121074.3339,37.6258,16.1624,76641.1074,67465.0045
Economics,20995.7002,42.3119,45.4499,88329.9223,18646.8903
Economics,179950.3878,12.8709,35.1664,32924.2153,11452.2538
Economics,93426.2677,1.4529,12.7865,47730.4152,61226.7997
Economics,6112.9925,25.8512,22.3182,88746.6079,100000.0
Economics,100.0,13.8186,17.0287,70164.3189,15892.4764
Economics,112720.1732,7.2988,42.383,20180.4725,13581.247
Economics,119238.7728,25.0985,44.3749,74927.5082,84448.8009
Economics,96015.8688,7.1535,27.0089,12715.5084,43328.3818
Economics,174940.3235,25.0434,32.1331,70764.3298,46408.015
Economics,100128.021,24.1505,11.942,96987.8731,65151.6552
Economics,10498.5485,36.5807,7.3694,0.0,17264.3764
Economics,153558.5272,3.6247,24.0459,29019.4102,53624.3545
Economics,48300.591,7.4562,22.5138,42136.5659,84014.0319
Economics,139546.3823,16.0798,33.4761,36435.1306,75848.4927
Economics,154094.4329,-0.9096,3.6385,61244.7594,53554.8861
Economics,59657.6285,1.6731,24.2826,5432.9421,96699.9712
Economics,94977.3441,19.6697,45.6487,64070.167,44186.8783
Economics,15552.9995,25.3907,37.0786,54418.1735,54731.1104
Economics,47047.4114,48.5982,13.7233,42956.0031,89110.1277
Economics,23559.6581,17.4168,9.2987,40960.8889,75628.6897
Economics,30371.7034,41.4868,6.0408,53204.1701,88848.1499
Economics,14257.6429,36.6476,43.0314,46032.4137,29419.9891
Economics,181743.1439,50.0,20.7965,85370.9421,56852.4623
Economics,68466.0667,30.8348,9.453,15028.1083,88119.2662
Economics,62717.7794,17.221,3.4553,79514.4879,86809.2305
Economics,16908.6178,18.5073,27.5156,19816.478,69472.8843
Economics,64521.7584,-3.7299,35.8925,8618.4526,26908.6063
Economics,38799.7743,-4.061,14.1894,28222.2069,19495.5499
Economics,49572.886,3.7621,5.6167,5441.0213,76154.7676
Economics,19990.2091,2.675,39.545,16951.8311,72127.673
Economics,8717.4578,4.479,39.4457,8257.7308,33792.7005
Economics,19043.0798,22.2371,22.3717,66024.9108,38271.7921
Economics,177454.8183,37.6193,4.6381,91252.1729,93294.6381
Economics,118204.9344,42.5293,3.8735,34460.4325,56714.1268
Economics,33050.2441,21.7762,11.7814,94348.6608,51556.77
Economics,146000.5937,10.8366,23.9266,71663.6083,37778.778
Economics,154654.4267,27.5787,6.4141,68762.0318,53464.3708
Economics,184347.5394,37.9347,12.8718,98283.5512,48732.1908
Economics,36062.9306,36.1176,15.8393,27910.401,44307.5793
Economics,76076.1989,33.1018,40.7269,71991.2149,2882.0331
Economics,102210.197,-5.0,44.0578,54962.7126,88787.0901
Economics,1855.9744,29.5293,34.1957,92792.7789,43419.0031
Economics,15181.4428,35.0386,15.6928,60837.1196,53257.6474
Economics,99915.6365,11.5999,33.0637,55778.165,90854.546
Economics,49914.4685,16.8801,39.3914,28854.5794,74045.7501
Economics,161222.7369,48.6205,23.874,57120.4898,46994.6312
Economics,113928.1946,4.5896,39.4905,27431.3504,54263.1823
Economics,108824.3232,43.718,39.7062,53002.2572,16813.2122
Economics,124525.4559,28.8253,11.7838,77654.871,34782.2711
Economics,117976.368,37.849,9.8185,57998.848,9765.4413
Economics,63381.2947,24.2802,26.4091,12916.094,17197.6815
Economics,119838.5762,36.4006,27.7573,19333.5711,22286.5672
Economics,124527.4547,46.8335,30.7727,54857.7994,23320.7236
Economics,57899.9738,33.071,23.2496,23888.9146,62564.5193
Economics,144536.8691,0.6087,9.6218,93592.4318,62780.7225
Economics,76144.8832,20.078,30.2649,92782.4387,78882.2373
Economics,86521.9886,20.98,23.1084,58281.1373,10464.3109
Economics,200000.0,29.5676,38.9804,80606.4471,92321.671
Economics,48536.4877,25.9146,40.4163,32145.5157,52114.9854
Economics,113589.2059,21.7634,11.4889,21486.2479,92305.8971
Economics,5954.5039,12.5614,4.604,28793.5337,20254.6238
Economics,174084.6391,4.4321,45.1255,73006.1985,86745.4889
Economics,75114.79,12.7786,37.6916,61958.536,43136.3816
Economics,25351.3393,-0.933,2.1661,94288.951,30592.6471
Economics,138657.1919,45.6221,42.788,72801.1183,56603.9554
Economics,81544.0754,48.5011,36.176,89212.6766,93953.7419
