Application,Attendance_pct,Marks_percent,StudyHours_per_week,Assignments_submitted,Participation_score
Education,98.1482,14.8514,12.6541,14,4.6802
Education,52.5144,61.095,9.0514,5,5.5049
Education,87.0446,51.2843,10.7895,1,2.2301
Education,88.2288,4.3095,59.1133,14,1.5611
Education,63.5399,45.2476,12.6321,10,9.3797
Education,85.4896,63.0053,11.5158,4,9.6898
Education,81.8362,24.3895,10.6245,9,5.3827
Education,66.4584,12.0567,20.0914,19,2.995
Education,85.9872,89.3552,36.7506,19,9.4117
Education,96.9128,63.8347,5.8696,17,8.0854
Education,64.7578,16.7067,9.0126,11,2.1034
Education,99.3307,60.9559,59.4659,16,3.0894
Education,63.5974,72.0904,37.4132,16,0.0932
Education,57.8896,58.7026,9.3722,3,6.169
Education,53.2836,11.6325,33.6962,18,5.2977
Education,59.678,14.8567,13.7199,17,1.563
Education,67.4804,2.9927,58.5856,19,3.7254
Education,86.3276,20.1584,24.319,20,9.3182
Education,52.9233,8.832,9.4237,9,6.5059
Education,77.3508,79.6085,37.5562,13,8.5311
Education,73.9589,1.4137,7.9618,19,7.9622
Education,62.1072,60.1169,32.8282,12,8.8889
Education,54.2157,83.3257,51.5361,13,0.2028
Education,60.0961,87.6608,22.7318,3,2.6346
Education,61.1025,41.4822,27.2319,3,4.1891
Education,84.0724,64.8789,6.1377,3,6.4719
Education,63.2986,95.2017,38.5733,10,5.9474
Education,66.9838,69.3752,7.723,0,2.3122
Education,54.42,90.4403,18.6766,5,2.5581
Education,82.0491,70.6323,49.5197,4,4.2385
Education,73.3549,9.4625,10.1427,4,2.5966
Education,66.1201,23.1577,50.2287,11,9.8711
Education,84.1331,94.9934,38.5139,14,9.7471
Education,84.7688,83.6432,7.4663,5,1.0835
Education,68.9648,42.8223,10.9481,11,6.8237
Education,84.997,16.7776,40.8104,13,2.05
Education,66.7685,15.7395,45.2755,10,7.0889
Education,61.7548,91.9585,38.1405,7,7.6433
Education,85.7951,17.7543,41.4075,19,0.4737
Education,85.9369,39.195,21.5835,6,6.8092
Education,94.8409,94.4823,1.5427,5,8.8718
Education,76.5759,1.717,30.6605,12,2.4404
Education,61.9052,63.8084,34.3727,5,0.9503
Education,91.1931,35.079,40.6612,19,5.5313
Education,59.1214,7.0875,14.1013,1,4.9137
Education,97.9554,55.4942,10.3522,10,9.4297
Education,66.6796,45.6625,48.753,7,4.1202
Education,52.0627,11.5916,49.5988,3,4.0651
